                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3341,                 9.3534,                 2.9923,                0.00579,                0.01254,                0.00193,                 0.0005,                 4.0515,                 6.9146,                 2.0779,               4.66e-05,               4.66e-05,               4.66e-05
                      2,                  3.999,                  5.144,                 2.3213,                0.02741,                0.06897,                0.00669,                0.00167,                  3.694,                 6.3269,                 1.8832,             9.5341e-05,             9.5341e-05,             9.5341e-05
                      3,                 3.6713,                 3.8537,                 2.0194,                0.11517,                0.07837,                0.02843,                0.00786,                  3.606,                 3.1579,                 1.9569,             0.00014389,             0.00014389,             0.00014389
                      4,                  3.567,                 3.3897,                 1.9658,                0.09134,                0.11912,                0.04014,                0.01148,                 3.5499,                 3.6597,                 1.8449,             0.00019224,             0.00019224,             0.00019224
                      5,                  3.423,                 3.0432,                  1.886,                0.14808,                0.12226,                0.06344,                0.01998,                 3.3129,                 2.7417,                 1.8386,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.4031,                 3.3738,                 1.8639,                0.22141,                0.10031,                0.07102,                 0.0234,                  3.306,                 2.5053,                 1.7573,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.2548,                 2.7686,                 1.8117,                0.16124,                0.09718,                0.06964,                0.02388,                 3.2279,                 2.4166,                 1.8193,             0.00023023,             0.00023023,             0.00023023
                      8,                 3.1474,                 2.7124,                 1.8111,                0.17319,                0.13636,                 0.0843,                0.03032,                 3.1601,                 2.2669,                 1.7521,             0.00022977,             0.00022977,             0.00022977
                      9,                 3.1978,                 2.6744,                 1.7695,                0.21185,                0.12226,                0.09167,                0.03178,                 3.1117,                 2.4401,                 1.7082,             0.00022931,             0.00022931,             0.00022931
                     10,                 3.0479,                 2.4912,                 1.7257,                0.25113,                0.13824,                0.09931,                0.03565,                 3.0488,                 2.2186,                 1.7246,             0.00022885,             0.00022885,             0.00022885
                     11,                  2.994,                 2.4626,                 1.7213,                0.23461,                0.12382,                 0.1044,                0.03584,                 2.9958,                 2.2307,                 1.6412,             0.00022839,             0.00022839,             0.00022839
                     12,                 3.0288,                 2.4767,                 1.7088,                0.27265,                0.12696,                0.10889,                0.04084,                 2.9207,                 2.1906,                  1.635,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.8668,                 2.4078,                 1.6476,                0.24873,                0.13648,                0.10187,                0.03478,                 2.9083,                 2.2616,                 1.6231,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.9133,                 2.3866,                 1.7041,                0.25925,                0.10971,                0.09918,                0.03551,                 3.0695,                 2.2494,                 1.7027,               0.000227,               0.000227,               0.000227
                     15,                  2.895,                 2.3443,                 1.6544,                 0.2341,                0.16458,                0.10912,                0.03988,                  2.981,                 2.1875,                 1.6462,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.8569,                 2.3893,                 1.6083,                0.25073,                 0.1442,                0.11085,                0.04104,                 2.9404,                 2.1499,                 1.6539,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.8197,                 2.2962,                 1.5983,                 0.2741,                0.14263,                0.11549,                0.04264,                 2.8363,                 2.0387,                 1.6232,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.7531,                 2.2677,                 1.6106,                0.21755,                0.15831,                0.10831,                0.04088,                 2.8634,                  1.988,                 1.6474,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.7783,                 2.2684,                 1.6206,                0.25643,                0.13166,                0.11004,                0.04065,                 2.9623,                 2.0328,                 1.6781,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.7722,                 2.2216,                 1.5764,                0.27554,                0.13636,                 0.1201,                0.04253,                 2.9031,                 2.0847,                 1.6223,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.6979,                 2.1469,                 1.5809,                0.27495,                0.14263,                0.11439,                0.03894,                 2.8728,                 2.0678,                 1.6156,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.6241,                 2.1062,                 1.5413,                0.25578,                0.12226,                0.10943,                0.04261,                 2.8467,                 2.0594,                 1.6167,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.7064,                 2.1044,                 1.5632,                0.27235,                0.15831,                 0.1217,                0.04122,                 2.8788,                 2.1063,                 1.6165,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.6863,                 2.0981,                 1.5403,                0.29597,                0.15831,                0.12524,                0.04799,                 2.8065,                 2.0254,                 1.5736,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.6183,                 2.0804,                 1.5266,                0.32006,                 0.1489,                0.12179,                0.04628,                 2.7831,                 1.9768,                 1.5849,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.6586,                 2.1468,                 1.5296,                0.30289,                 0.1442,                0.12752,                0.04745,                  2.781,                 1.9859,                 1.5759,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.5654,                 2.0522,                  1.485,                0.31562,                0.16614,                0.13323,                0.04727,                 2.7895,                 2.0139,                 1.5553,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.5741,                 2.0296,                 1.4874,                0.29083,                0.15674,                0.12745,                0.04936,                 2.7665,                 2.0268,                 1.5185,             0.00022054,             0.00022054,             0.00022054
                     29,                 2.5532,                 2.0366,                 1.5216,                0.34063,                0.17085,                0.14338,                0.05011,                 2.7913,                 1.9622,                 1.5558,             0.00022008,             0.00022008,             0.00022008
                     30,                 2.5128,                 1.9708,                 1.4785,                0.32317,                0.15987,                0.13778,                0.04867,                 2.7754,                 1.9333,                 1.5828,             0.00021962,             0.00021962,             0.00021962
                     31,                 2.5293,                 1.9979,                 1.5107,                  0.286,                0.19279,                0.13693,                0.04773,                 2.7166,                 1.9259,                  1.569,             0.00021916,             0.00021916,             0.00021916
                     32,                 2.4181,                 1.9134,                 1.4452,                0.26572,                0.16614,                0.12921,                 0.0507,                  2.763,                 1.9689,                 1.5449,              0.0002187,              0.0002187,              0.0002187
                     33,                 2.4989,                  1.982,                 1.4552,                0.31101,                0.15674,                0.13459,                0.05218,                 2.7937,                 1.9878,                 1.5514,             0.00021824,             0.00021824,             0.00021824
                     34,                 2.4735,                 1.8989,                 1.4534,                0.26363,                0.18339,                0.13698,                0.05197,                  2.808,                 1.9395,                 1.5597,             0.00021778,             0.00021778,             0.00021778
                     35,                 2.3479,                 1.8039,                 1.3946,                0.27333,                0.18495,                0.13652,                0.05145,                 2.7581,                 2.0108,                 1.5307,             0.00021731,             0.00021731,             0.00021731
                     36,                 2.3656,                  1.778,                 1.3846,                0.27034,                0.17241,                0.13144,                0.05005,                 2.7763,                 2.0157,                 1.5265,             0.00021685,             0.00021685,             0.00021685
                     37,                 2.3624,                 1.8366,                 1.4259,                0.27516,                0.17085,                0.13619,                0.04847,                  2.757,                 1.9507,                 1.5403,             0.00021639,             0.00021639,             0.00021639
                     38,                 2.3903,                  1.864,                 1.4189,                0.29255,                0.17371,                0.13271,                0.05032,                 2.8075,                 1.8847,                 1.5544,             0.00021593,             0.00021593,             0.00021593
                     39,                 2.4074,                 1.8404,                 1.4217,                0.30121,                0.18025,                0.12986,                0.04712,                  2.835,                 1.9643,                 1.5958,             0.00021547,             0.00021547,             0.00021547
                     40,                  2.362,                 1.8402,                 1.4003,                0.27794,                0.17555,                0.12539,                0.04609,                 2.8005,                 1.9979,                 1.5927,             0.00021501,             0.00021501,             0.00021501
                     41,                 2.2677,                 1.7444,                 1.3726,                0.25408,                0.18652,                0.12802,                 0.0486,                 2.7705,                 1.9849,                 1.5631,             0.00021455,             0.00021455,             0.00021455
                     42,                 2.3001,                 1.7027,                 1.3721,                0.27289,                0.17241,                0.12422,                 0.0474,                 2.7236,                 2.0345,                 1.5701,             0.00021409,             0.00021409,             0.00021409
                     43,                 2.2742,                 1.7069,                 1.3444,                0.29954,                0.16301,                0.12059,                0.04593,                 2.7281,                 1.9598,                 1.5714,             0.00021362,             0.00021362,             0.00021362
                     44,                 2.1591,                 1.6375,                 1.3093,                0.29528,                0.16771,                0.12623,                0.04714,                 2.7868,                 1.9784,                 1.6119,             0.00021316,             0.00021316,             0.00021316
                     45,                 2.2055,                 1.7154,                 1.3607,                0.27569,                0.16585,                0.12935,                0.04986,                 2.7534,                 1.9514,                 1.5679,              0.0002127,              0.0002127,              0.0002127
                     46,                 2.1723,                 1.6636,                 1.3251,                0.27665,                0.17085,                0.13398,                0.04904,                 2.6857,                 1.9235,                 1.5239,             0.00021224,             0.00021224,             0.00021224
                     47,                 2.1158,                 1.5939,                 1.3113,                0.28487,                0.17555,                0.14068,                0.05029,                 2.7212,                 1.9206,                 1.5647,             0.00021178,             0.00021178,             0.00021178
                     48,                 2.1611,                 1.5763,                 1.3033,                0.28429,                0.16928,                0.13962,                0.05288,                 2.8089,                 1.9244,                 1.6013,             0.00021132,             0.00021132,             0.00021132
                     49,                 2.1283,                 1.5895,                 1.3146,                0.24667,                0.17398,                0.13255,                0.04722,                  2.767,                 1.8881,                 1.6332,             0.00021086,             0.00021086,             0.00021086
                     50,                 2.1132,                  1.615,                 1.3045,                0.24429,                0.17085,                0.11602,                0.04336,                 2.8658,                 1.9739,                 1.6566,             0.00021039,             0.00021039,             0.00021039
                     51,                 2.0637,                 1.5531,                 1.2759,                0.28139,                0.17085,                0.12373,                0.04396,                  2.785,                 1.9589,                 1.5833,             0.00020993,             0.00020993,             0.00020993
                     52,                 2.0957,                 1.5677,                 1.2833,                0.29707,                0.16928,                0.12733,                0.04988,                 2.7442,                 1.9535,                 1.5508,             0.00020947,             0.00020947,             0.00020947
                     53,                 1.9311,                 1.7681,                 1.2056,                0.25506,                0.17398,                0.12886,                0.05109,                 2.7357,                 1.9225,                 1.5411,             0.00020901,             0.00020901,             0.00020901
                     54,                 1.9855,                 1.4644,                 1.2437,                0.25609,                0.17241,                0.13332,                0.05171,                 2.8114,                 1.8729,                 1.5901,             0.00020855,             0.00020855,             0.00020855
                     55,                 2.0592,                 1.4992,                 1.2598,                0.26323,                0.18652,                0.13322,                0.05242,                 2.7199,                 1.9203,                 1.5676,             0.00020809,             0.00020809,             0.00020809
                     56,                 2.0831,                 1.5007,                 1.2696,                0.25774,                0.17555,                0.13071,                0.04795,                 2.7293,                 1.8854,                 1.5419,             0.00020763,             0.00020763,             0.00020763
                     57,                 2.0495,                 1.4895,                 1.2486,                0.25776,                0.16144,                0.12928,                 0.0488,                 2.7994,                 1.9539,                 1.5733,             0.00020716,             0.00020716,             0.00020716
                     58,                 2.0253,                 1.4774,                 1.2618,                0.25032,                0.16458,                0.12034,                0.04499,                 2.7939,                 2.0096,                 1.5541,              0.0002067,              0.0002067,              0.0002067
