                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2998,                 7.7565,                 3.0285,                  0.004,                0.08359,                0.00346,                 0.0008,                 4.1706,                 6.5904,                 2.2263,              2.796e-05,              2.796e-05,              2.796e-05
                      2,                 4.2036,                 5.3622,                 2.5674,                0.06373,                 0.0356,                0.00906,                0.00216,                 3.8868,                  4.482,                  1.908,             5.8249e-05,             5.8249e-05,             5.8249e-05
                      3,                 3.9104,                   4.13,                 2.1561,                0.04346,                0.05263,                0.01274,                0.00376,                 3.6973,                 5.4435,                 1.7484,             8.8537e-05,             8.8537e-05,             8.8537e-05
                      4,                 3.7872,                 3.4791,                 1.9687,                0.12936,                0.08359,                0.03601,                0.01118,                 3.6214,                 3.6433,                 1.7218,             0.00011882,             0.00011882,             0.00011882
                      5,                 3.7164,                 3.2576,                 1.9642,                0.11014,                0.07895,                0.03707,                0.00963,                 3.4617,                 3.6022,                 1.6701,              0.0001491,              0.0001491,              0.0001491
                      6,                 3.4327,                 2.9635,                 1.8821,                0.14868,                0.08824,                0.05287,                0.01671,                 3.3345,                 2.4741,                  1.657,             0.00017937,             0.00017937,             0.00017937
                      7,                 3.4732,                 2.9578,                 1.8301,                0.17238,                0.10681,                0.06038,                0.01807,                 3.2637,                 2.4628,                 1.6576,             0.00020963,             0.00020963,             0.00020963
                      8,                 3.3967,                 2.8187,                 1.8317,                0.18191,                0.07895,                0.06867,                0.02193,                 3.3271,                 2.2043,                 1.6664,             0.00023289,             0.00023289,             0.00023289
                      9,                 3.2806,                  2.717,                 1.7749,                0.17237,                0.10372,                0.06661,                 0.0223,                 3.1515,                 2.2396,                 1.6273,             0.00023285,             0.00023285,             0.00023285
                     10,                 3.2844,                 2.6274,                 1.7748,                0.16228,                0.10217,                0.06014,                0.01807,                 3.2714,                 2.2453,                 1.6118,             0.00023282,             0.00023282,             0.00023282
                     11,                 3.2995,                 2.5386,                 1.7529,                0.10781,                0.10836,                0.03961,                 0.0124,                 3.1291,                 2.4262,                 1.5977,             0.00023277,             0.00023277,             0.00023277
                     12,                 3.2563,                 2.5105,                  1.781,                0.11624,                0.11728,                0.03834,                0.01046,                 3.1527,                 2.5302,                 1.5872,             0.00023272,             0.00023272,             0.00023272
                     13,                   3.15,                  2.442,                 1.7554,                0.22967,                0.09752,                0.07863,                0.02676,                 3.2901,                  2.131,                 1.6327,             0.00023267,             0.00023267,             0.00023267
                     14,                 3.0738,                 2.3351,                 1.7252,                0.24693,                  0.113,                0.08727,                0.03058,                 3.1471,                 2.0496,                 1.5657,             0.00023262,             0.00023262,             0.00023262
                     15,                 3.1706,                 2.3553,                 1.6701,                0.18329,                0.14087,                0.09494,                0.03136,                 3.0734,                 2.1619,                 1.5214,             0.00023255,             0.00023255,             0.00023255
                     16,                 3.0095,                  2.341,                 1.6555,                0.27669,                0.13003,                0.10113,                0.03263,                 3.0976,                 2.1184,                 1.5417,             0.00023249,             0.00023249,             0.00023249
                     17,                  2.981,                 2.2669,                   1.66,                0.27047,                0.13622,                0.10986,                0.03582,                 3.0695,                  1.982,                 1.5623,             0.00023242,             0.00023242,             0.00023242
                     18,                 3.0011,                 2.2801,                 1.6784,                0.23632,                0.15944,                0.11277,                0.03571,                 3.0513,                 2.0081,                 1.5744,             0.00023234,             0.00023234,             0.00023234
                     19,                 2.9554,                 2.2504,                 1.6277,                0.21818,                0.14087,                0.10553,                0.03301,                 2.9992,                 2.0907,                 1.5288,             0.00023226,             0.00023226,             0.00023226
                     20,                 3.0217,                 2.2732,                 1.6532,                0.29687,                0.13777,                0.12568,                0.04249,                 2.9791,                 2.0043,                 1.5289,             0.00023218,             0.00023218,             0.00023218
                     21,                 2.8907,                 2.2317,                 1.6529,                0.31565,                0.11455,                0.10165,                0.03264,                 3.0965,                 2.0263,                 1.5744,             0.00023209,             0.00023209,             0.00023209
                     22,                 2.9022,                 2.1937,                 1.6579,                0.28614,                0.14396,                 0.1151,                0.03748,                 3.0137,                 1.9385,                 1.5506,               0.000232,               0.000232,               0.000232
                     23,                   2.91,                 2.1986,                 1.6387,                0.22946,                0.13158,                0.09685,                0.03402,                 3.0246,                 2.0348,                 1.5104,              0.0002319,              0.0002319,              0.0002319
                     24,                 2.8016,                 2.1817,                 1.5867,                0.24459,                0.16841,                0.10817,                0.03603,                 3.0187,                 1.9928,                 1.5451,              0.0002318,              0.0002318,              0.0002318
                     25,                 2.8551,                 2.1502,                 1.6099,                0.28102,                0.15944,                0.11537,                0.04004,                 2.9408,                 1.9558,                 1.5651,             0.00023169,             0.00023169,             0.00023169
                     26,                 2.8271,                 2.1385,                 1.6256,                0.27081,                0.13467,                0.10501,                0.03448,                 3.0042,                 2.0447,                 1.5963,             0.00023158,             0.00023158,             0.00023158
                     27,                 2.7652,                 2.1519,                 1.5991,                 0.2641,                0.14241,                0.11818,                0.03973,                 3.0233,                 2.0092,                 1.6108,             0.00023146,             0.00023146,             0.00023146
                     28,                 2.8627,                 2.1035,                 1.6123,                 0.2734,                0.16873,                0.13102,                0.04702,                 2.8814,                 1.8796,                 1.5163,             0.00023134,             0.00023134,             0.00023134
                     29,                 2.7324,                 2.1027,                 1.5633,                0.26573,                0.16099,                0.12932,                0.04836,                 2.8333,                 1.8852,                 1.4838,             0.00023122,             0.00023122,             0.00023122
                     30,                 2.7919,                 2.0798,                 1.5796,                0.26309,                0.17028,                0.11878,                0.04142,                 2.9106,                 1.9129,                  1.517,             0.00023109,             0.00023109,             0.00023109
                     31,                 2.7237,                 2.0254,                 1.5688,                0.28707,                0.15325,                0.12274,                0.04464,                 2.8058,                 1.9223,                  1.473,             0.00023096,             0.00023096,             0.00023096
                     32,                 2.7345,                 2.0406,                 1.5473,                0.28539,                0.16563,                 0.1321,                0.04903,                 2.8086,                 1.9587,                 1.4574,             0.00023082,             0.00023082,             0.00023082
                     33,                 2.7319,                 2.0627,                 1.5435,                0.30579,                0.15325,                0.12305,                0.04638,                 2.7926,                 1.9238,                 1.4685,             0.00023068,             0.00023068,             0.00023068
                     34,                 2.6593,                 1.9881,                 1.5373,                0.28431,                0.14513,                0.11508,                0.04058,                  2.835,                 1.9254,                  1.496,             0.00023053,             0.00023053,             0.00023053
                     35,                 2.5871,                 1.9613,                 1.5175,                0.34816,                0.14551,                0.12182,                0.04206,                 2.7417,                 2.0002,                 1.4916,             0.00023038,             0.00023038,             0.00023038
                     36,                 2.5713,                 1.9434,                 1.5092,                0.30485,                 0.1548,                0.11792,                0.04179,                 2.8147,                 1.9667,                 1.5318,             0.00023022,             0.00023022,             0.00023022
                     37,                 2.5771,                 1.9695,                 1.5102,                0.34295,                0.16563,                0.13104,                 0.0443,                  2.825,                 1.9062,                 1.4899,             0.00023006,             0.00023006,             0.00023006
                     38,                 2.5818,                  1.904,                 1.4897,                0.27433,                0.17647,                0.12746,                0.04832,                 2.8042,                 1.8497,                 1.4634,              0.0002299,              0.0002299,              0.0002299
                     39,                 2.6005,                 1.8834,                 1.4887,                0.26418,                0.17957,                 0.1277,                0.04464,                 2.8606,                 1.9046,                    1.5,             0.00022973,             0.00022973,             0.00022973
                     40,                 2.4268,                 1.8088,                 1.4398,                 0.2987,                0.15944,                0.13398,                0.04744,                 2.7782,                  1.877,                 1.5141,             0.00022955,             0.00022955,             0.00022955
                     41,                 2.5878,                 1.9553,                 1.4916,                0.29035,                0.17028,                0.12402,                0.04315,                 2.7588,                 1.9626,                 1.4922,             0.00022938,             0.00022938,             0.00022938
                     42,                 2.5262,                 1.8946,                 1.4731,                0.29213,                0.14396,                0.11229,                0.03814,                 2.7911,                 2.0422,                 1.5105,             0.00022919,             0.00022919,             0.00022919
                     43,                 2.5481,                 1.9033,                  1.478,                0.31271,                0.15789,                0.13251,                0.04848,                 2.8271,                 1.9749,                 1.5053,             0.00022901,             0.00022901,             0.00022901
                     44,                 2.4495,                 1.8431,                 1.4363,                0.30088,                0.15635,                0.13563,                0.04853,                 2.8401,                 1.9268,                 1.4978,             0.00022882,             0.00022882,             0.00022882
                     45,                 2.4638,                 1.8047,                 1.4416,                0.25305,                0.20124,                0.13847,                0.04862,                 2.8136,                 1.8596,                 1.4977,             0.00022862,             0.00022862,             0.00022862
                     46,                 2.5087,                 1.7983,                 1.4538,                0.27847,                0.17337,                0.13703,                0.04999,                 2.8073,                 1.8665,                 1.4916,             0.00022842,             0.00022842,             0.00022842
                     47,                 2.4853,                 1.8565,                 1.4377,                0.27611,                 0.1904,                0.14566,                0.05214,                 2.7303,                 1.8397,                  1.495,             0.00022822,             0.00022822,             0.00022822
                     48,                 2.3975,                 1.7715,                 1.4329,                0.32631,                0.18111,                0.14576,                0.05236,                 2.7277,                 1.8628,                  1.492,             0.00022801,             0.00022801,             0.00022801
                     49,                 2.4093,                 1.7335,                 1.3845,                0.29449,                0.16873,                0.13131,                0.04961,                 2.7592,                 1.9364,                  1.486,             0.00022779,             0.00022779,             0.00022779
                     50,                 2.4612,                 1.7798,                 1.4212,                0.26762,                0.13467,                0.11101,                0.03832,                 2.8422,                  2.047,                 1.5285,             0.00022758,             0.00022758,             0.00022758
                     51,                 2.4327,                 1.7672,                 1.4105,                0.27814,                 0.1548,                 0.1266,                0.04447,                 2.8353,                 1.9435,                 1.5178,             0.00022736,             0.00022736,             0.00022736
                     52,                 2.3698,                 1.6753,                 1.3987,                0.26606,                0.15789,                0.12878,                0.04454,                 2.7755,                 1.9463,                 1.5174,             0.00022713,             0.00022713,             0.00022713
                     53,                 2.3617,                 1.7497,                 1.4163,                0.25398,                0.15015,                0.11565,                0.03968,                 2.8778,                 2.0236,                 1.5516,              0.0002269,              0.0002269,              0.0002269
                     54,                  2.352,                 1.7032,                 1.4077,                0.24009,                0.16254,                 0.1231,                0.04324,                 2.8187,                 1.9567,                 1.5269,             0.00022666,             0.00022666,             0.00022666
                     55,                 2.3564,                 1.6743,                 1.3769,                 0.2722,                0.18063,                0.12116,                0.04267,                 2.7864,                 1.9032,                 1.4972,             0.00022642,             0.00022642,             0.00022642
                     56,                 2.3588,                 1.7319,                 1.3951,                0.24012,                0.17492,                0.12831,                0.04215,                 2.8482,                 1.9161,                  1.491,             0.00022618,             0.00022618,             0.00022618
                     57,                 2.2736,                 1.6738,                 1.3679,                0.28552,                0.15325,                0.12991,                0.04376,                 2.9134,                 1.9606,                 1.5461,             0.00022593,             0.00022593,             0.00022593
                     58,                 2.3491,                 1.7019,                  1.378,                0.27097,                0.18576,                0.13311,                 0.0459,                 2.8286,                 1.9461,                 1.5077,             0.00022568,             0.00022568,             0.00022568
                     59,                 2.3123,                 1.6669,                 1.3713,                 0.2858,                0.18266,                0.13597,                0.04697,                 2.7776,                 1.9166,                 1.4637,             0.00022543,             0.00022543,             0.00022543
                     60,                 2.2862,                 1.6681,                 1.3549,                0.24563,                0.17337,                0.11756,                0.04233,                 2.8207,                 1.9396,                 1.4659,             0.00022517,             0.00022517,             0.00022517
                     61,                 2.2801,                 1.6504,                 1.3308,                 0.2653,                0.16718,                0.12081,                0.04411,                 2.8214,                  1.929,                 1.4693,              0.0002249,              0.0002249,              0.0002249
                     62,                 2.2616,                 1.6228,                 1.3606,                0.30133,                0.16563,                   0.13,                0.05164,                 2.7788,                 1.9234,                 1.5002,             0.00022463,             0.00022463,             0.00022463
                     63,                 2.1942,                 1.5795,                 1.3381,                0.28779,                0.16201,                0.12934,                0.04837,                 2.8273,                 1.9126,                 1.5294,             0.00022436,             0.00022436,             0.00022436
                     64,                 2.2689,                 1.6481,                 1.3575,                0.28262,                0.14241,                0.11232,                0.04319,                  2.861,                 2.0069,                  1.549,             0.00022408,             0.00022408,             0.00022408
                     65,                 2.1566,                 1.5518,                 1.3097,                0.26954,                0.16409,                0.12207,                0.04317,                 2.8773,                 1.9571,                 1.5564,              0.0002238,              0.0002238,              0.0002238
                     66,                 2.0851,                 1.5155,                 1.2937,                0.22608,                0.15944,                0.11879,                0.04511,                 2.8391,                 1.9701,                 1.5323,             0.00022351,             0.00022351,             0.00022351
                     67,                 2.1883,                 1.6088,                  1.331,                0.25313,                0.17337,                0.13189,                0.04561,                 2.8493,                 1.9211,                 1.5234,             0.00022322,             0.00022322,             0.00022322
                     68,                  2.163,                 1.5579,                 1.3256,                0.27335,                0.15015,                0.12456,                 0.0441,                  2.845,                 1.9427,                 1.5311,             0.00022293,             0.00022293,             0.00022293
                     69,                 2.1413,                 1.5147,                 1.3109,                0.27106,                0.17028,                0.13089,                0.04262,                  2.893,                 1.9672,                  1.539,             0.00022263,             0.00022263,             0.00022263
                     70,                 2.1898,                 1.5495,                 1.3213,                0.30618,                0.16718,                0.13517,                0.04311,                 2.8788,                 1.9616,                 1.5248,             0.00022233,             0.00022233,             0.00022233
                     71,                 2.0715,                 1.4771,                 1.2698,                0.29819,                0.16409,                0.14195,                0.05111,                 2.8005,                 1.8949,                 1.4895,             0.00022202,             0.00022202,             0.00022202
                     72,                 2.0698,                 1.4944,                 1.2724,                0.26755,                0.17647,                0.13471,                0.05134,                  2.792,                 1.9034,                  1.495,             0.00022171,             0.00022171,             0.00022171
                     73,                 2.1182,                  1.525,                 1.3049,                0.26812,                0.17183,                0.13161,                0.04762,                  2.823,                 1.8375,                 1.5153,              0.0002214,              0.0002214,              0.0002214
                     74,                 2.0775,                 1.4669,                 1.2867,                0.25487,                0.17685,                0.12782,                0.04377,                 2.8308,                 1.8254,                 1.5141,             0.00022108,             0.00022108,             0.00022108
                     75,                 2.0711,                 1.4774,                 1.2648,                0.29004,                0.16563,                 0.1231,                0.04563,                 2.8093,                 1.8833,                 1.5008,             0.00022076,             0.00022076,             0.00022076
                     76,                 2.0362,                 1.4657,                 1.2739,                0.27829,                0.15789,                0.12473,                0.04927,                 2.8685,                 1.8844,                 1.5433,             0.00022043,             0.00022043,             0.00022043
                     77,                 2.0555,                 1.4438,                 1.2866,                 0.2709,                0.16254,                0.12813,                0.04885,                  2.857,                  1.846,                 1.5169,              0.0002201,              0.0002201,              0.0002201
                     78,                  2.047,                 1.4472,                 1.2636,                0.25772,                0.16873,                0.12668,                0.04965,                 2.8162,                 1.8953,                 1.5082,             0.00021976,             0.00021976,             0.00021976
