                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2409,                  7.712,                 2.8541,                0.00192,                0.00385,                0.00107,                0.00053,                 4.1018,                 5.7221,                 2.3975,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.1832,                 6.8503,                 2.6364,                  8e-05,                0.00078,                  5e-05,                      0,                 3.9729,                 6.0219,                 2.2292,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.9613,                 5.8632,                 2.1865,                0.65625,                0.00235,                0.00064,                0.00012,                 3.8509,                 5.7851,                 2.0312,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.9173,                 5.3456,                   2.04,                0.69515,                0.00392,                 0.0014,                0.00022,                  3.875,                 5.1435,                  1.985,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.7772,                 4.7207,                 1.9115,                 0.4713,                0.01152,                0.00492,                0.00157,                 3.9622,                 6.2349,                 2.1123,             0.00011232,             0.00011232,             0.00011232
                      6,                 3.6831,                 4.4316,                 1.8494,                0.28825,                0.01238,                0.00861,                0.00396,                 3.8366,                 6.4237,                 2.0656,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.5768,                 4.0764,                 1.7798,                0.40075,                 0.0284,                0.01233,                0.00505,                  3.539,                 5.0007,                 1.8495,             0.00015794,             0.00015794,             0.00015794
                      8,                 3.5317,                 3.8857,                 1.7416,                0.41191,                 0.0273,                0.01623,                0.00698,                 3.4773,                 4.6452,                 1.7877,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.4343,                 3.7962,                 1.7105,                0.45448,                0.03191,                0.02139,                0.00955,                 3.3188,                 4.3721,                  1.732,             0.00020319,             0.00020319,             0.00020319
                     10,                 3.3206,                 3.6528,                 1.7017,                0.50844,                0.02143,                0.02479,                0.01099,                 3.2404,                 4.0913,                 1.6901,             0.00022568,             0.00022568,             0.00022568
                     11,                 3.2643,                 3.5409,                 1.6446,                0.49632,                 0.0282,                0.02958,                0.01244,                 3.1915,                 3.6588,                 1.6735,             0.00024807,             0.00024807,             0.00024807
                     12,                 3.2089,                 3.4315,                 1.6555,                0.51591,                0.03505,                0.03138,                0.01392,                 3.0874,                 3.4415,                 1.6456,             0.00027037,             0.00027037,             0.00027037
                     13,                 3.1356,                 3.4303,                  1.687,                0.39717,                0.03407,                0.03247,                0.01443,                 3.0693,                 3.3877,                 1.6655,             0.00029258,             0.00029258,             0.00029258
                     14,                 3.1565,                 3.3871,                 1.6848,                  0.393,                0.05298,                0.04584,                0.01915,                 3.0042,                 3.3175,                 1.6648,              0.0003147,              0.0003147,              0.0003147
                     15,                   3.13,                 3.2472,                  1.629,                0.41566,                0.05115,                0.04736,                0.01912,                 2.8926,                 3.2905,                 1.6308,             0.00032377,             0.00032377,             0.00032377
                     16,                  3.198,                 3.2785,                 1.6617,                0.40667,                0.04781,                0.05271,                0.02112,                 2.8857,                 3.3056,                 1.6163,             0.00032311,             0.00032311,             0.00032311
                     17,                 3.0885,                 3.1281,                 1.6151,                0.31511,                0.06446,                0.05177,                0.02372,                 2.8771,                 3.5562,                 1.6114,             0.00032245,             0.00032245,             0.00032245
                     18,                 3.0644,                 3.1486,                 1.5899,                0.28192,                0.05745,                0.05584,                0.02538,                 2.9014,                 3.2966,                 1.6244,             0.00032179,             0.00032179,             0.00032179
                     19,                 2.9756,                 2.9741,                 1.5538,                0.45297,                0.03989,                0.06366,                 0.0318,                 2.9572,                 3.2198,                 1.6275,             0.00032113,             0.00032113,             0.00032113
                     20,                 2.9557,                 3.0304,                 1.5338,                0.48596,                0.05349,                0.06366,                0.02763,                 2.8007,                 3.0341,                 1.5292,             0.00032047,             0.00032047,             0.00032047
                     21,                 2.9973,                 2.9343,                 1.5445,                0.44115,                0.05987,                0.07074,                0.03012,                 2.7416,                 3.1103,                 1.5115,             0.00031981,             0.00031981,             0.00031981
                     22,                 2.9611,                 2.9532,                  1.566,                0.25797,                0.07624,                0.07155,                0.03229,                 2.6459,                 3.0422,                 1.4889,             0.00031915,             0.00031915,             0.00031915
                     23,                 2.9474,                 2.8514,                 1.5066,                0.35548,                0.08627,                 0.0802,                0.03335,                 2.6473,                 2.7321,                 1.4665,             0.00031849,             0.00031849,             0.00031849
                     24,                 2.9084,                 2.8457,                 1.5058,                0.38949,                0.06945,                0.08296,                0.03781,                 2.6341,                 2.7361,                  1.453,             0.00031784,             0.00031784,             0.00031784
                     25,                  2.821,                  2.693,                  1.474,                0.37378,                0.07853,                0.09495,                0.04349,                 2.6203,                 2.7061,                 1.4623,             0.00031718,             0.00031718,             0.00031718
                     26,                 2.8274,                 2.7171,                 1.4672,                0.46986,                 0.0597,                0.10731,                0.04938,                  2.575,                 2.5601,                 1.4317,             0.00031652,             0.00031652,             0.00031652
                     27,                 2.8509,                 2.7596,                 1.4705,                0.34594,                0.08238,                0.09826,                0.04684,                 2.6057,                 2.5528,                 1.4371,             0.00031586,             0.00031586,             0.00031586
