                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 25.546,                      0,                      0,                      0,                      0,                      0,                 2.2726,                 5.5608,                 1.0399,             7.6991e-05,             7.6991e-05,             7.6991e-05
                      2,                      0,                0.59505,                      0,                      0,                      0,                      0,                      0,                 2.7628,                 6.4417,                 1.2933,             0.00013935,             0.00013935,             0.00013935
                      3,                      0,                0.14043,                      0,                      0,                      0,                      0,                      0,                 3.0821,                 7.1498,                 1.6229,             0.00018632,             0.00018632,             0.00018632
                      4,                      0,                0.03116,                      0,                      0,                      0,                      0,                      0,                 3.3632,                 7.6047,                 2.0025,              0.0001638,              0.0001638,              0.0001638
                      5,                      0,                0.00791,                      0,                      0,                      0,                      0,                      0,                 3.4491,                 7.6555,                 2.4126,             0.00014073,             0.00014073,             0.00014073
                      6,                      0,                0.00376,                      0,                      0,                      0,                      0,                      0,                 3.4655,                 7.8739,                 2.4443,             0.00011767,             0.00011767,             0.00011767
                      7,                      0,                0.00294,                      0,                      0,                      0,                      0,                      0,                  3.542,                 8.0176,                 2.5128,             9.4598e-05,             9.4598e-05,             9.4598e-05
                      8,                      0,                0.00259,                      0,                      0,                      0,                      0,                      0,                 3.5076,                 8.0752,                 2.4988,             7.1531e-05,             7.1531e-05,             7.1531e-05
                      9,                      0,                0.00248,                      0,                      0,                      0,                      0,                      0,                  3.487,                 8.1192,                 2.4578,             4.8464e-05,             4.8464e-05,             4.8464e-05
                     10,                      0,                 0.0024,                      0,                      0,                      0,                      0,                      0,                 3.5013,                 8.1433,                 2.4646,             2.5397e-05,             2.5397e-05,             2.5397e-05
