                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3725,                 27.636,                 2.3688,                0.05829,                0.09133,                0.02564,                0.00853,                 3.1002,                 2.9792,                 1.1138,              0.0033102,              0.0033102,              0.0033102
                      2,                 2.6408,                 6.2147,                 1.2489,                0.02088,                0.66099,                0.04595,                0.01507,                 2.9221,                 2.9948,                 1.3076,              0.0066304,              0.0066304,              0.0066304
                      3,                  2.542,                 4.4144,                 1.2763,                0.03068,                0.04954,                0.01619,                0.00538,                 3.7902,                 4.8142,                 2.1187,              0.0099373,              0.0099373,              0.0099373
                      4,                 2.5062,                  4.366,                 1.3039,                0.01871,                0.56502,                0.03624,                0.01289,                 2.8549,                 3.0098,                 1.4594,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.4575,                 4.7096,                 1.2732,                0.02304,                0.51238,                 0.0363,                0.01177,                 3.0981,                 3.5029,                 1.3515,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.5365,                 4.7129,                  1.253,                0.01732,                 0.6517,                 0.0301,                0.01088,                 2.7753,                 2.9932,                 1.2338,               0.009901,               0.009901,               0.009901
                      7,                 2.2977,                  4.327,                 1.2205,                0.02008,                0.70433,                0.04751,                0.01683,                 2.5185,                 3.1934,                 1.2363,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.3676,                 3.9491,                 1.2503,                0.02329,                0.60217,                0.03913,                0.01687,                 2.6752,                 3.0072,                 1.1391,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.2585,                 4.1679,                 1.1721,                0.04481,                 0.1517,                0.02888,                0.01317,                 2.5629,                 3.9691,                 1.1169,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.3745,                 5.2683,                 1.0986,                0.02496,                0.58824,                 0.0369,                0.01214,                 2.7629,                 3.5604,                 1.1808,              0.0098218,              0.0098218,              0.0098218
                     11,                  2.341,                  3.844,                 1.1626,                0.01191,                0.45511,                0.01203,                0.00437,                  2.808,                 3.0596,                 1.1715,               0.009802,               0.009802,               0.009802
                     12,                 2.2969,                 3.9561,                 1.1488,                0.01953,                0.64551,                0.04574,                0.01574,                 2.7529,                 3.0464,                 1.3445,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2388,                 3.9783,                 1.0855,                0.02146,                0.67647,                 0.0502,                0.01847,                  2.467,                 3.3356,                 1.0824,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.1387,                 4.0044,                 1.0644,                0.03781,                0.48607,                0.04147,                0.01652,                 2.6605,                 3.9106,                 1.1102,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.2594,                  4.292,                 1.0869,                0.01872,                0.71517,                0.02755,                0.01259,                 2.4145,                 2.8439,                 1.0523,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.2171,                 3.7896,                 1.0835,                0.02166,                0.65015,                0.04297,                0.01606,                 2.5166,                 3.0777,                 1.0634,               0.009703,               0.009703,               0.009703
                     17,                 2.1071,                 3.7392,                 1.0504,                0.01873,                0.63622,                0.03945,                0.01672,                 2.3957,                 2.9002,                 1.0714,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.2395,                 3.6298,                 1.0933,                0.01777,                0.66873,                 0.0395,                0.01565,                 2.5225,                 2.9546,                 1.0736,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.2484,                 3.8003,                 1.0683,                0.01958,                0.63777,                0.03734,                0.01392,                 2.4811,                 3.1174,                 1.1307,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.2498,                 3.6546,                 1.0917,                0.01744,                0.66409,                0.04044,                0.01482,                 2.5548,                 2.9011,                 1.0868,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.2238,                 3.5869,                 1.0388,                0.01818,                0.65325,                0.04062,                0.01727,                 2.5164,                 2.8392,                 1.0811,               0.009604,               0.009604,               0.009604
                     22,                 2.1386,                 3.2135,                 1.0425,                0.01848,                 0.6192,                  0.032,                0.01398,                 2.3796,                  3.178,                 1.0369,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.2145,                 3.6315,                 1.0328,                0.01958,                 0.6904,                0.04187,                0.01719,                  2.281,                 2.8607,                 1.0391,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.1238,                 3.5525,                 1.0441,                0.01825,                0.69505,                0.04282,                0.01555,                 2.4234,                 2.8082,                 1.1125,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.0781,                 3.3894,                0.99541,                0.01843,                0.66099,                0.04009,                0.01858,                 2.5051,                 2.9794,                  1.044,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.1443,                 3.3357,                 1.0026,                0.02818,                0.47833,                0.03596,                0.01583,                 2.5678,                 3.7301,                 1.0413,               0.009505,               0.009505,               0.009505
                     27,                 2.0835,                 3.5458,                0.99084,                  0.017,                0.63467,                0.04162,                0.01681,                 2.4426,                 2.8608,                 1.0733,              0.0094852,              0.0094852,              0.0094852
