                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9436,                 7.6723,                  3.174,                0.01385,                0.23839,                0.00816,                0.00243,                 3.3168,                 6.2446,                 1.6583,             7.6113e-05,             7.6113e-05,             7.6113e-05
                      2,                 3.0468,                 3.5665,                 1.7721,                0.04475,                0.08999,                 0.0361,                 0.0131,                 3.0213,                  2.716,                 1.3182,             0.00015348,             0.00015348,             0.00015348
                      3,                 2.7025,                 3.4475,                 1.3994,                0.08878,                0.26935,                0.06352,                0.02348,                 2.6508,                 3.8037,                 1.1598,             0.00023053,             0.00023053,             0.00023053
                      4,                 2.6635,                 2.8301,                 1.2497,                0.09286,                0.39938,                0.08938,                 0.0312,                 2.7657,                 2.9469,                 1.0419,             0.00023162,             0.00023162,             0.00023162
                      5,                  2.443,                 2.5951,                  1.235,                0.11712,                0.13158,                0.07205,                 0.0311,                 2.5727,                 3.0616,                 1.0999,             0.00023115,             0.00023115,             0.00023115
                      6,                 2.3827,                 2.6221,                 1.2333,                 0.2366,                0.16563,                0.10915,                 0.0423,                   2.46,                 2.5124,                 1.1452,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.3297,                 2.5785,                 1.1851,                0.22359,                0.28019,                0.14455,                0.05986,                 2.3924,                 2.4019,                 1.1066,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.3065,                  2.478,                 1.1947,                0.29297,                0.17492,                0.16009,                0.06475,                 2.3263,                 2.5434,                 1.1086,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.2489,                 2.3727,                 1.1535,                0.35418,                0.19505,                0.20282,                0.08699,                  2.319,                 2.2412,                 1.0979,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.1798,                  2.333,                 1.1295,                0.35468,                0.23652,                0.20079,                0.08455,                 2.2237,                 2.2235,                  1.064,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.1681,                 2.3337,                 1.1077,                0.32447,                0.21827,                0.18796,                0.08671,                 2.1704,                  2.254,                 1.0165,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.2144,                 2.4613,                 1.1283,                0.44548,                0.17647,                0.21251,                0.10041,                 2.0912,                 2.1926,                  1.009,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.0617,                 2.2951,                 1.0769,                0.47598,                0.15325,                 0.2166,                0.10001,                 2.1942,                 2.2362,                 1.0625,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.1215,                 2.4062,                 1.0848,                0.37435,                0.22136,                0.20936,                0.09735,                 2.0959,                 2.1837,                 1.0172,               0.000227,               0.000227,               0.000227
                     15,                 2.0981,                 2.8972,                 1.1098,                0.30293,                0.23065,                  0.208,                0.09276,                  2.106,                 2.2154,                 1.0088,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.1052,                 2.2363,                 1.0704,                0.31151,                 0.2322,                0.21051,                0.09918,                 2.1357,                 2.1822,                 0.9861,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.0816,                 2.2881,                 1.0723,                0.37106,                0.21362,                0.21301,                0.09848,                 2.0263,                 2.1011,                  1.014,             0.00022562,             0.00022562,             0.00022562
                     18,                 1.9661,                 2.2014,                 1.0447,                0.38364,                0.22446,                0.22085,                 0.0988,                 2.0541,                 2.0895,                0.97714,             0.00022516,             0.00022516,             0.00022516
                     19,                 1.9679,                 2.2796,                 1.0489,                0.34658,                0.25077,                0.21662,                0.09548,                 2.0887,                 2.0874,                 1.0126,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.0082,                 2.2403,                 1.0117,                0.36315,                0.24981,                0.22905,                0.10919,                 2.0274,                 2.0995,                0.95389,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.0213,                 2.2067,                 1.0352,                0.38917,                0.20588,                 0.2318,                0.10421,                 2.1347,                 2.1281,                0.97906,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.0309,                  2.196,                  1.023,                0.32574,                0.24458,                0.21985,                0.10518,                 2.1066,                 2.2286,                0.94493,             0.00022331,             0.00022331,             0.00022331
                     23,                  1.981,                 2.1572,                0.97347,                0.42495,                0.26471,                0.25911,                0.12093,                 2.0796,                 2.0291,                0.97001,             0.00022285,             0.00022285,             0.00022285
                     24,                  1.986,                 2.2235,                 1.0686,                0.40439,                0.29412,                0.26123,                0.12028,                 2.0362,                 2.0579,                0.97895,             0.00022239,             0.00022239,             0.00022239
                     25,                 1.9789,                 2.1218,                 1.0235,                0.35729,                0.23837,                 0.2534,                0.12152,                 2.1162,                 2.0704,                 1.0028,             0.00022193,             0.00022193,             0.00022193
                     26,                 1.9874,                 2.1713,                 1.0326,                0.35713,                0.25713,                0.23979,                  0.119,                 2.0497,                 2.1597,                0.94754,             0.00022147,             0.00022147,             0.00022147
                     27,                 1.9656,                 2.1648,                 1.0147,                0.37281,                0.24923,                0.24579,                0.12174,                 2.0425,                 2.0378,                0.94968,             0.00022101,             0.00022101,             0.00022101
                     28,                 1.9383,                 2.1779,                 1.0269,                0.34276,                0.26471,                0.24061,                0.12111,                 2.0078,                 2.0844,                0.94958,             0.00022054,             0.00022054,             0.00022054
                     29,                 1.8994,                 2.1183,                   1.01,                0.36926,                0.26625,                0.24044,                0.12117,                 2.0449,                 2.0452,                0.96323,             0.00022008,             0.00022008,             0.00022008
                     30,                 1.9456,                  2.104,                  1.001,                0.39142,                0.28793,                0.26342,                 0.1254,                 2.0226,                 2.0044,                0.95188,             0.00021962,             0.00021962,             0.00021962
                     31,                 1.9417,                 2.1251,                 1.0115,                0.39199,                0.24613,                0.24909,                 0.1228,                 2.0054,                 1.9982,                0.95225,             0.00021916,             0.00021916,             0.00021916
                     32,                 1.9679,                 2.0845,                 1.0228,                0.39915,                0.30186,                 0.2677,                0.13185,                 2.0508,                 1.9848,                0.97157,              0.0002187,              0.0002187,              0.0002187
                     33,                 1.8945,                 2.1212,                0.98194,                0.44078,                0.25232,                0.25622,                0.12748,                 2.0215,                 2.0351,                0.94925,             0.00021824,             0.00021824,             0.00021824
                     34,                 1.8913,                 2.0973,                0.98415,                0.40971,                 0.2709,                0.26674,                0.13439,                 1.9601,                 1.9756,                0.94187,             0.00021778,             0.00021778,             0.00021778
                     35,                 1.9425,                 2.1252,                0.99884,                0.37917,                 0.3065,                0.27116,                0.13171,                 1.9814,                 1.9957,                0.94875,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.9551,                 2.1241,                 1.0009,                0.35773,                0.24572,                0.23526,                0.11876,                 2.0152,                  2.036,                0.96407,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.9134,                 2.1539,                0.98386,                0.41475,                0.27864,                0.28483,                0.13928,                 2.0012,                 2.0342,                0.94198,             0.00021639,             0.00021639,             0.00021639
                     38,                 1.9351,                  2.128,                 1.0074,                0.39079,                 0.2274,                0.24432,                0.12321,                 2.1058,                 2.0428,                0.97454,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.8955,                 2.0952,                0.97403,                0.38381,                0.29721,                0.25944,                0.12876,                 2.0584,                 2.0433,                0.98379,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.8933,                  2.064,                 1.0034,                0.40359,                0.26935,                0.27413,                0.14001,                 2.0105,                 1.9824,                0.93912,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.9378,                 2.0868,                0.98592,                0.40776,                0.27554,                0.26603,                0.12381,                 2.0276,                 1.9916,                0.95241,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.9258,                 2.0819,                0.99402,                0.41191,                0.26471,                0.26122,                0.12823,                  2.021,                 1.9925,                0.96719,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.8758,                 2.1519,                0.96739,                0.40077,                0.28575,                0.27086,                0.13084,                 2.0217,                 2.0124,                 0.9463,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.8862,                 2.0869,                  1.026,                0.38441,                0.24458,                0.25117,                 0.1256,                 2.0622,                  2.083,                0.93316,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.8391,                 2.0252,                0.97687,                0.41312,                0.27245,                0.26067,                0.12898,                  1.973,                  2.054,                0.93743,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.8301,                  2.055,                0.97145,                0.46183,                0.27245,                0.28008,                 0.1413,                  1.983,                 1.9731,                0.94648,             0.00021224,             0.00021224,             0.00021224
