                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1814,                 5.7763,                 2.7211,                      0,                      0,                      0,                      0,                 3.8643,                 5.1208,                 2.4591,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.1097,                  5.637,                 2.4655,                      0,                      0,                      0,                      0,                 3.6802,                 5.0488,                 2.0852,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.8796,                 5.3585,                 2.0557,                      0,                      0,                      0,                      0,                 3.6519,                 4.9565,                 1.8326,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.8944,                 5.1101,                 1.9008,                      0,                      0,                      0,                      0,                 3.7117,                 4.9357,                 1.8107,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.7507,                 4.7028,                  1.803,                      0,                      0,                      0,                      0,                 3.5765,                 4.8317,                 1.8069,             0.00011232,             0.00011232,             0.00011232
                      6,                 3.6514,                 4.2065,                 1.7222,                0.01743,                0.01244,                0.01129,                0.00296,                 3.4821,                 4.6974,                 1.7921,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.6908,                 3.6688,                 1.7089,                0.03326,                0.11353,                0.03987,                 0.0115,                 3.3713,                 4.3565,                  1.751,             0.00015794,             0.00015794,             0.00015794
                      8,                 3.6235,                 3.2868,                 1.7045,                0.02693,                0.17418,                0.03757,                0.01081,                 3.3055,                 4.0649,                 1.7041,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.5571,                 3.1288,                 1.6763,                0.01964,                0.25039,                0.03451,                0.00934,                 3.1937,                 3.4839,                  1.588,             0.00020319,             0.00020319,             0.00020319
                     10,                 3.4763,                 2.9997,                 1.6505,                0.14613,                 0.0865,                0.03489,                0.00954,                 3.1831,                 3.2865,                 1.6216,             0.00022568,             0.00022568,             0.00022568
                     11,                 3.4773,                 2.9708,                 1.6324,                0.14708,                0.10109,                0.03645,                0.01026,                  3.221,                 3.1268,                   1.65,             0.00024807,             0.00024807,             0.00024807
                     12,                 3.4015,                 2.8149,                 1.6433,                0.18346,                0.09487,                0.04536,                0.01338,                  3.256,                 2.9981,                 1.6582,             0.00027037,             0.00027037,             0.00027037
                     13,                 3.3624,                 2.7689,                  1.661,                0.15795,                0.10731,                0.04514,                0.01374,                 3.2617,                 2.9671,                 1.6598,             0.00029258,             0.00029258,             0.00029258
                     14,                 3.3788,                 2.7332,                 1.6626,                0.17099,                 0.1042,                0.04588,                0.01451,                 3.3212,                 2.9837,                 1.7058,              0.0003147,              0.0003147,              0.0003147
