                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1584,                 6.2201,                 2.6746,                0.00833,                0.06376,                0.01118,                0.00242,                 3.9327,                 5.1047,                 2.3464,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.0323,                 4.9501,                 2.3809,                0.09734,                0.05754,                 0.0192,                0.00405,                 3.8733,                 5.9255,                 2.1883,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.6753,                 3.3222,                 1.9864,                0.09368,                0.04977,                0.01857,                0.00415,                 3.7843,                 4.4625,                 2.0233,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.5638,                 3.0414,                 1.8656,                  0.049,                0.07465,                0.01214,                0.00339,                   3.69,                 6.3721,                 1.9271,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.4617,                 2.8322,                 1.8271,                0.16681,                0.07621,                0.05662,                0.02182,                 3.1288,                 3.3194,                 1.7514,             0.00011232,             0.00011232,             0.00011232
                      6,                  3.148,                 2.6453,                 1.7236,                0.15413,                0.09176,                0.06331,                 0.0254,                  3.287,                  4.031,                 1.8015,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.0772,                 2.5212,                 1.6621,                 0.2075,                0.12753,                0.08528,                0.03297,                 2.9093,                 2.6095,                 1.6786,             0.00015794,             0.00015794,             0.00015794
                      8,                 3.0273,                 2.3521,                 1.6448,                0.10724,                0.12908,                 0.0576,                0.02327,                 2.9376,                  4.383,                 1.7253,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.0018,                 2.3631,                 1.7017,                0.01004,                0.17729,                0.00561,                0.00237,                 2.7317,                    inf,                 1.6867,             0.00020319,             0.00020319,             0.00020319
                     10,                 2.8487,                 2.2565,                  1.653,                0.01385,                0.23484,                0.00839,                0.00341,                 2.7009,                    inf,                 1.6379,             0.00022568,             0.00022568,             0.00022568
                     11,                 2.8596,                 2.1898,                 1.5747,                0.21922,                0.14308,                0.10195,                0.04366,                 2.6983,                 2.5731,                 1.6309,             0.00024807,             0.00024807,             0.00024807
                     12,                 2.8563,                 2.2254,                 1.5984,                0.18946,                0.13841,                0.05675,                0.02057,                 2.7467,                 2.6646,                  1.672,             0.00027037,             0.00027037,             0.00027037
