                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1899,                 5.8415,                 2.7511,                0.00624,                0.05132,                0.00365,                0.00103,                 3.8052,                 4.9686,                 2.3759,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.1182,                 4.8762,                 2.5196,                  0.035,                0.05599,                0.01484,                0.00608,                 3.8826,                 4.4375,                 2.0762,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.7283,                 3.3259,                 1.9349,                0.03343,                0.08398,                0.00956,                0.00259,                 3.5301,                 12.923,                 1.9002,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.5819,                 3.0785,                 1.8144,                0.08234,                0.09176,                0.03057,                0.00795,                 3.5309,                 7.7057,                 1.8487,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.3519,                 2.7869,                 1.7548,                0.10979,                0.12131,                0.05897,                0.02036,                 3.2482,                 3.7903,                 1.7374,             0.00011232,             0.00011232,             0.00011232
                      6,                 3.2015,                 2.7177,                 1.6837,                0.12882,                0.10763,                0.03954,                0.01059,                 3.1869,                 9.3409,                  1.675,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.0656,                 2.4791,                 1.5936,                0.12328,                0.11198,                0.05015,                 0.0193,                 3.0121,                 6.1501,                 1.6342,             0.00015794,             0.00015794,             0.00015794
                      8,                  3.094,                 2.5438,                 1.6119,                0.07859,                0.12908,                0.02996,                0.00988,                 2.9323,                 6.1659,                 1.6095,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.0506,                 2.4619,                 1.6381,                0.15552,                0.14774,                0.07821,                 0.0287,                 2.7348,                 2.8797,                 1.5467,             0.00020319,             0.00020319,             0.00020319
                     10,                 2.9051,                 2.3175,                 1.6005,                0.23764,                0.12753,                0.08959,                0.03324,                 2.6566,                 2.6722,                  1.551,             0.00022568,             0.00022568,             0.00022568
                     11,                   2.91,                 2.2744,                 1.5539,                0.27329,                0.12908,                0.08929,                0.03418,                 2.7529,                 2.8616,                 1.6192,             0.00024807,             0.00024807,             0.00024807
                     12,                 2.9205,                  2.321,                 1.5981,                0.18547,                 0.1804,                0.08786,                0.03329,                 2.7337,                 3.3925,                 1.5794,             0.00027037,             0.00027037,             0.00027037
                     13,                 2.8037,                 2.1902,                 1.5914,                0.09551,                0.16174,                 0.0328,                0.01164,                 2.7081,                 7.8579,                  1.551,             0.00029258,             0.00029258,             0.00029258
                     14,                 2.8257,                 2.1693,                 1.5661,                0.18574,                0.15863,                0.08254,                0.02908,                  2.656,                 2.7875,                 1.5238,              0.0003147,              0.0003147,              0.0003147
                     15,                 2.9186,                 2.1187,                 1.5279,                0.17887,                0.15086,                0.08329,                0.03173,                 2.6089,                 2.8242,                 1.5004,             0.00032377,             0.00032377,             0.00032377
                     16,                 2.8707,                 2.1704,                 1.5419,                0.19342,                0.16019,                0.08863,                0.03685,                 2.5318,                 3.0944,                 1.5235,             0.00032311,             0.00032311,             0.00032311
                     17,                 2.7997,                 2.0614,                 1.5146,                0.19146,                0.12908,                0.09132,                0.03859,                  2.537,                  2.627,                 1.5012,             0.00032245,             0.00032245,             0.00032245
                     18,                    2.8,                 2.1071,                 1.5013,                0.20983,                0.15552,                0.08669,                0.03403,                 2.5425,                 3.2113,                 1.4272,             0.00032179,             0.00032179,             0.00032179
                     19,                 2.6441,                 1.8969,                 1.4501,                0.21953,                0.15397,                0.10829,                 0.0449,                 2.6174,                 3.3914,                 1.5173,             0.00032113,             0.00032113,             0.00032113
                     20,                 2.6725,                 1.9812,                 1.4907,                0.23724,                0.16952,                0.12216,                 0.0541,                 2.3793,                 2.6113,                 1.4038,             0.00032047,             0.00032047,             0.00032047
