                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2603,                 7.0636,                 2.8197,                0.00275,                0.04355,                0.00159,                0.00036,                  4.074,                  5.808,                 2.2879,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.2049,                 6.0046,                 2.5925,                 0.0027,                0.05288,                0.00143,                0.00038,                 4.0686,                 6.0067,                 2.2196,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.8613,                 3.6888,                 2.1157,                0.01536,                0.06532,                 0.0047,                 0.0012,                 4.0578,                 37.884,                 2.0897,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.7963,                 3.3299,                 1.9366,                0.02043,                0.11042,                0.00874,                0.00234,                 3.9173,                  72.96,                 2.0577,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.6279,                 3.0095,                 1.8987,                0.03598,                0.09642,                0.01247,                0.00346,                 3.7079,                 37.213,                 2.0088,             0.00011232,             0.00011232,             0.00011232
                      6,                 3.3945,                 2.7602,                 1.7486,                0.07267,                0.08709,                 0.0208,                  0.006,                 3.4723,                 9.5405,                 1.8264,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.2095,                 2.5533,                 1.6637,                0.06514,                0.10575,                0.02233,                0.00692,                 3.1253,                 15.902,                 1.6063,             0.00015794,             0.00015794,             0.00015794
                      8,                 3.1571,                 2.4724,                 1.6529,                0.12952,                0.10109,                0.04749,                0.01726,                 2.9902,                 5.4006,                 1.5352,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.1127,                  2.436,                 1.6804,                0.17353,                0.14463,                0.08355,                0.03179,                 2.8274,                 3.5251,                 1.5645,             0.00020319,             0.00020319,             0.00020319
                     10,                 3.0059,                 2.3465,                 1.6457,                0.14961,                0.13686,                0.08236,                0.03284,                 2.8218,                 2.9383,                 1.5253,             0.00022568,             0.00022568,             0.00022568
                     11,                 2.9438,                 2.3431,                 1.5426,                0.13793,                0.12597,                0.06828,                 0.0258,                 2.9081,                 2.7162,                 1.5632,             0.00024807,             0.00024807,             0.00024807
                     12,                  2.961,                 2.3386,                 1.5724,                0.22507,                0.13596,                0.08644,                0.02984,                 2.7886,                 3.1261,                 1.5133,             0.00027037,             0.00027037,             0.00027037
                     13,                  2.853,                 2.2857,                 1.5796,                0.21567,                0.15863,                0.09166,                0.03286,                  2.801,                 2.6471,                 1.5362,             0.00029258,             0.00029258,             0.00029258
                     14,                 2.8596,                 2.3023,                 1.5727,                0.22507,                0.16019,                 0.0953,                0.04077,                 2.6479,                 2.4647,                 1.5139,              0.0003147,              0.0003147,              0.0003147
                     15,                   2.93,                 2.2355,                 1.5309,                0.22712,                0.16174,                0.09602,                0.03926,                 2.6597,                 2.6045,                 1.4894,             0.00032377,             0.00032377,             0.00032377
                     16,                 2.9368,                  2.232,                 1.5394,                0.15266,                0.13375,                0.08182,                0.03197,                  2.575,                 2.6314,                 1.4545,             0.00032311,             0.00032311,             0.00032311
                     17,                 2.8015,                 2.0939,                 1.4959,                0.15445,                0.16174,                0.09006,                0.03935,                  2.601,                 3.1105,                 1.4818,             0.00032245,             0.00032245,             0.00032245
                     18,                 2.8737,                 2.1233,                  1.507,                0.31535,                0.14463,                0.11611,                0.05262,                 2.5291,                 2.2408,                 1.4199,             0.00032179,             0.00032179,             0.00032179
                     19,                 2.7438,                 2.0417,                 1.4455,                0.30233,                0.12753,                0.11096,                0.04819,                 2.5095,                 2.2782,                 1.4127,             0.00032113,             0.00032113,             0.00032113
                     20,                 2.6899,                 2.0097,                 1.4718,                0.22888,                0.18351,                0.12664,                0.05944,                 2.3939,                   2.43,                 1.3696,             0.00032047,             0.00032047,             0.00032047
                     21,                 2.7128,                 1.9282,                 1.4986,                0.26829,                0.15241,                0.12503,                0.06011,                  2.354,                 2.2291,                 1.3551,             0.00031981,             0.00031981,             0.00031981
                     22,                 2.6874,                 2.0039,                 1.4972,                0.25156,                0.16796,                 0.1253,                 0.0547,                 2.4167,                 2.1371,                 1.3669,             0.00031915,             0.00031915,             0.00031915
                     23,                 2.6894,                 1.9309,                 1.4421,                0.29591,                0.15552,                0.11541,                0.04659,                 2.4886,                 2.7191,                   1.41,             0.00031849,             0.00031849,             0.00031849
                     24,                 2.7237,                 1.9865,                 1.4724,                0.29588,                 0.1804,                0.14135,                0.06673,                 2.3541,                 2.2972,                 1.3867,             0.00031784,             0.00031784,             0.00031784
                     25,                 2.5297,                 1.8491,                 1.4121,                0.35267,                0.17574,                0.14815,                0.06796,                 2.3067,                 2.2508,                 1.3629,             0.00031718,             0.00031718,             0.00031718
                     26,                 2.6138,                 1.8644,                 1.4508,                0.32956,                 0.1944,                0.16608,                0.07957,                 2.2618,                 1.9909,                 1.3369,             0.00031652,             0.00031652,             0.00031652
                     27,                 2.6173,                 1.9162,                 1.4249,                0.28709,                0.18818,                0.14877,                0.06451,                 2.3792,                 2.2917,                 1.3642,             0.00031586,             0.00031586,             0.00031586
                     28,                 2.5672,                 1.8544,                 1.4039,                0.29946,                0.18663,                0.15339,                0.07217,                 2.3008,                 1.9459,                 1.3217,              0.0003152,              0.0003152,              0.0003152
                     29,                  2.562,                 1.8253,                 1.3969,                0.32788,                0.19129,                0.16495,                0.07959,                 2.2044,                 1.7456,                 1.2994,             0.00031454,             0.00031454,             0.00031454
                     30,                 2.4612,                 1.8307,                  1.393,                0.29838,                0.18818,                0.15641,                0.07368,                 2.2528,                 1.8008,                 1.3414,             0.00031388,             0.00031388,             0.00031388
                     31,                 2.5591,                 1.8153,                 1.4332,                0.30757,                0.22862,                0.17578,                0.08553,                 2.1798,                 1.8164,                 1.3363,             0.00031322,             0.00031322,             0.00031322
                     32,                  2.425,                 1.7296,                 1.3627,                0.33002,                0.22084,                0.17869,                0.08896,                 2.2057,                 1.7647,                 1.3352,             0.00031256,             0.00031256,             0.00031256
                     33,                 2.4161,                 1.7257,                 1.3385,                0.33911,                0.21928,                0.17915,                0.09132,                 2.1679,                 1.7304,                 1.3157,              0.0003119,              0.0003119,              0.0003119
                     34,                 2.4051,                 1.7276,                 1.3485,                0.35773,                0.22551,                0.18748,                0.09504,                 2.1975,                 1.6781,                 1.2968,             0.00031124,             0.00031124,             0.00031124
                     35,                 2.5031,                  1.731,                 1.3862,                0.35946,                0.22954,                0.18854,                0.08844,                 2.2218,                 1.7528,                  1.312,             0.00031058,             0.00031058,             0.00031058
                     36,                 2.4244,                  1.662,                 1.3516,                0.37776,                0.25039,                0.20255,                0.09959,                 2.0891,                 1.6344,                   1.27,             0.00030992,             0.00030992,             0.00030992
                     37,                  2.404,                 1.6769,                 1.3276,                 0.3889,                0.24417,                 0.2076,                0.10607,                 2.0064,                 1.6156,                 1.2386,             0.00030926,             0.00030926,             0.00030926
                     38,                 2.3378,                 1.6243,                 1.3252,                0.35797,                0.25505,                0.21593,                0.10961,                 2.0199,                 1.6555,                 1.2261,              0.0003086,              0.0003086,              0.0003086
                     39,                 2.2482,                 1.5822,                 1.3016,                0.36126,                0.25972,                0.22038,                0.11437,                  1.963,                 1.5775,                  1.203,             0.00030795,             0.00030795,             0.00030795
                     40,                 2.2998,                 1.6063,                 1.3058,                0.41532,                0.23173,                0.22438,                0.11576,                  1.954,                 1.6004,                    1.2,             0.00030729,             0.00030729,             0.00030729
                     41,                 2.2737,                 1.5901,                 1.2954,                0.37469,                0.23328,                0.21476,                0.11152,                 1.9815,                 1.6551,                  1.206,             0.00030663,             0.00030663,             0.00030663
                     42,                  2.199,                 1.5218,                 1.2756,                0.40023,                0.25039,                0.21496,                 0.1087,                 2.0212,                 1.6696,                 1.2288,             0.00030597,             0.00030597,             0.00030597
                     43,                 2.2647,                 1.5627,                 1.2707,                 0.3961,                0.26128,                0.22249,                0.11429,                 1.9862,                  1.539,                 1.2249,             0.00030531,             0.00030531,             0.00030531
                     44,                 2.2768,                 1.6018,                 1.2852,                0.40996,                0.27061,                0.23383,                0.12048,                 1.9437,                 1.5391,                   1.21,             0.00030465,             0.00030465,             0.00030465
                     45,                 2.4166,                 1.6788,                 1.3296,                0.41702,                0.26588,                0.23647,                0.12368,                 1.9233,                 1.5134,                 1.1999,             0.00030399,             0.00030399,             0.00030399
                     46,                   2.15,                 1.5164,                 1.2659,                0.42661,                0.27527,                0.23371,                 0.1211,                 1.9238,                 1.4703,                  1.192,             0.00030333,             0.00030333,             0.00030333
                     47,                 2.2101,                 1.5043,                 1.2704,                0.44316,                0.27061,                0.23493,                0.11812,                 1.8624,                 1.5217,                 1.1811,             0.00030267,             0.00030267,             0.00030267
                     48,                 2.1303,                 1.4697,                 1.2251,                0.48503,                0.23876,                0.23431,                0.12287,                 1.9131,                 1.5013,                 1.1943,             0.00030201,             0.00030201,             0.00030201
                     49,                 2.1258,                 1.4309,                 1.2455,                0.50766,                0.24883,                0.24152,                0.12691,                 1.8861,                 1.4629,                 1.1824,             0.00030135,             0.00030135,             0.00030135
                     50,                 2.1683,                 1.4956,                 1.2868,                0.55413,                 0.2395,                0.24526,                0.13109,                 1.8707,                 1.4961,                 1.1768,             0.00030069,             0.00030069,             0.00030069
                     51,                 2.0636,                 1.3925,                 1.2087,                0.52085,                0.25194,                0.25942,                0.14499,                 1.8165,                 1.5097,                 1.1448,             0.00030003,             0.00030003,             0.00030003
                     52,                 2.0688,                 1.4098,                 1.2011,                0.50529,                0.25972,                0.27084,                0.15125,                 1.7617,                 1.4217,                 1.1272,             0.00029937,             0.00029937,             0.00029937
                     53,                 2.1774,                 1.4484,                   1.23,                0.48818,                0.27216,                0.27314,                0.15183,                 1.7424,                 1.4334,                 1.1233,             0.00029871,             0.00029871,             0.00029871
                     54,                  2.188,                 1.4833,                 1.2555,                0.47331,                0.25661,                0.25595,                0.13957,                 1.7722,                 1.4478,                 1.1298,             0.00029805,             0.00029805,             0.00029805
                     55,                 2.1456,                 1.4459,                 1.2334,                0.51127,                0.26439,                 0.2665,                0.14594,                 1.7706,                 1.3511,                 1.1291,              0.0002974,              0.0002974,              0.0002974
                     56,                 2.1136,                 1.4515,                 1.2462,                0.55252,                0.27076,                0.27014,                0.14368,                 1.7546,                 1.4249,                 1.1343,             0.00029674,             0.00029674,             0.00029674
                     57,                 2.0614,                 1.4127,                 1.2239,                0.54107,                0.25972,                0.25827,                0.14097,                 1.7534,                 1.4361,                 1.1296,             0.00029608,             0.00029608,             0.00029608
                     58,                 2.0024,                 1.3654,                 1.2153,                0.52219,                0.26905,                0.26423,                0.14936,                 1.7409,                 1.3938,                 1.1196,             0.00029542,             0.00029542,             0.00029542
                     59,                 1.9952,                 1.3427,                 1.1892,                0.54546,                0.27527,                0.28025,                0.15323,                 1.7257,                 1.3685,                 1.1168,             0.00029476,             0.00029476,             0.00029476
                     60,                  1.906,                 1.2744,                 1.1847,                 0.4975,                0.29393,                0.28553,                0.15921,                 1.7204,                 1.3369,                 1.1174,              0.0002941,              0.0002941,              0.0002941
                     61,                 1.9673,                 1.3237,                 1.1816,                 0.4963,                0.28809,                0.28934,                0.16612,                 1.7033,                 1.2751,                 1.1078,             0.00029344,             0.00029344,             0.00029344
                     62,                 1.9692,                 1.3395,                 1.1689,                0.56805,                0.29393,                0.30576,                0.17237,                  1.709,                 1.2603,                 1.1029,             0.00029278,             0.00029278,             0.00029278
                     63,                 1.9786,                 1.2745,                 1.1744,                0.56202,                0.30327,                0.29782,                0.16279,                  1.765,                 1.3533,                  1.114,             0.00029212,             0.00029212,             0.00029212
                     64,                 1.9887,                  1.348,                 1.1841,                0.54995,                0.29647,                0.30104,                0.17263,                  1.653,                 1.2752,                 1.0883,             0.00029146,             0.00029146,             0.00029146
                     65,                 1.8838,                 1.2462,                   1.17,                0.52864,                0.29128,                0.29715,                0.17247,                 1.6653,                 1.2492,                 1.0911,              0.0002908,              0.0002908,              0.0002908
                     66,                 1.9395,                 1.2946,                 1.1741,                0.58099,                0.27527,                0.30153,                0.17197,                 1.6696,                 1.2463,                 1.0929,             0.00029014,             0.00029014,             0.00029014
                     67,                 1.9197,                 1.2695,                 1.1655,                0.59628,                0.28771,                0.31294,                0.17491,                 1.6558,                 1.2809,                  1.084,             0.00028948,             0.00028948,             0.00028948
                     68,                 1.8826,                 1.2535,                 1.1462,                0.53021,                0.30716,                0.31119,                0.17741,                 1.6161,                 1.3425,                 1.0849,             0.00028882,             0.00028882,             0.00028882
                     69,                 1.9586,                 1.3095,                 1.1669,                0.56422,                0.30327,                0.32012,                0.18409,                 1.6176,                 1.2985,                 1.0794,             0.00028816,             0.00028816,             0.00028816
                     70,                  1.883,                 1.2701,                 1.1485,                0.55106,                0.30171,                0.31336,                0.18478,                 1.6064,                 1.2686,                 1.0598,             0.00028751,             0.00028751,             0.00028751
                     71,                 1.8901,                 1.2705,                  1.138,                0.58691,                 0.3126,                0.32344,                0.18808,                 1.5593,                 1.2149,                 1.0527,             0.00028685,             0.00028685,             0.00028685
                     72,                 1.8183,                 1.2178,                 1.1449,                0.63526,                0.30879,                0.32699,                0.19297,                 1.5728,                 1.1939,                 1.0573,             0.00028619,             0.00028619,             0.00028619
                     73,                 1.8865,                 1.2663,                 1.1677,                0.62748,                0.30016,                 0.3235,                0.19617,                 1.5474,                 1.2297,                 1.0493,             0.00028553,             0.00028553,             0.00028553
                     74,                 1.9272,                 1.2676,                 1.1424,                 0.5236,                0.32306,                0.31381,                0.18932,                 1.5751,                 1.3497,                 1.0581,             0.00028487,             0.00028487,             0.00028487
                     75,                 1.9061,                 1.2578,                 1.1473,                 0.5867,                0.32504,                 0.3315,                0.19753,                 1.5877,                 1.2634,                 1.0499,             0.00028421,             0.00028421,             0.00028421
                     76,                 1.8045,                 1.2243,                 1.1479,                0.59541,                0.31571,                 0.3343,                0.19738,                 1.5834,                 1.2191,                 1.0417,             0.00028355,             0.00028355,             0.00028355
                     77,                 1.7752,                 1.1959,                  1.127,                0.61262,                0.31726,                0.33485,                0.19716,                 1.5535,                  1.208,                 1.0295,             0.00028289,             0.00028289,             0.00028289
                     78,                 1.7142,                 1.1306,                 1.1086,                0.58917,                0.31571,                0.32939,                0.19265,                 1.5077,                 1.2506,                 1.0146,             0.00028223,             0.00028223,             0.00028223
                     79,                 1.8318,                 1.1943,                 1.1344,                0.59387,                0.32193,                 0.3365,                0.20278,                 1.4866,                 1.2213,                 1.0121,             0.00028157,             0.00028157,             0.00028157
