                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2937,                 8.0867,                 2.8626,                0.00222,                0.04355,                0.00193,                0.00058,                 4.1792,                 6.2509,                 2.4084,              1.998e-05,              1.998e-05,              1.998e-05
                      2,                 4.2316,                 6.8905,                 2.6316,                0.00214,                0.04199,                0.00304,                 0.0009,                 4.0336,                 5.8114,                 2.2209,             4.3204e-05,             4.3204e-05,             4.3204e-05
                      3,                 3.9404,                  4.556,                 2.1027,                0.03241,                0.04355,                0.00908,                0.00214,                 3.8593,                 4.5964,                 2.0429,             6.6336e-05,             6.6336e-05,             6.6336e-05
                      4,                 3.8595,                 3.9604,                 1.9438,                0.02381,                0.05599,                0.00905,                0.00246,                 3.7981,                  4.356,                 1.9291,             8.9376e-05,             8.9376e-05,             8.9376e-05
                      5,                 3.6999,                 3.4916,                 1.8123,                0.05695,                0.07932,                0.02041,                0.00633,                 3.8149,                 5.7367,                 1.9168,             0.00011232,             0.00011232,             0.00011232
                      6,                 3.6073,                  3.231,                 1.7904,                0.09141,                0.08398,                0.02777,                0.00799,                 3.8016,                 3.9478,                 1.9743,             0.00013518,             0.00013518,             0.00013518
                      7,                 3.5344,                 2.9587,                 1.7525,                0.08508,                0.10264,                 0.0301,                0.00989,                 3.3674,                 4.6367,                 1.7658,             0.00015794,             0.00015794,             0.00015794
                      8,                  3.463,                 2.8673,                 1.7336,                0.10574,                0.09953,                0.03536,                0.01282,                 3.2819,                 3.6743,                 1.7353,             0.00018061,             0.00018061,             0.00018061
                      9,                 3.3863,                 2.7948,                 1.7153,                0.16958,                0.10886,                0.05342,                0.01891,                 3.1122,                 3.0912,                 1.6636,             0.00020319,             0.00020319,             0.00020319
                     10,                 3.2604,                 2.6524,                  1.672,                0.13713,                0.10575,                0.05078,                0.01645,                 2.9859,                 3.0863,                 1.6359,             0.00022568,             0.00022568,             0.00022568
                     11,                 3.2062,                 2.5998,                 1.6315,                0.13418,                0.13063,                0.06351,                0.02157,                 3.0555,                 2.6738,                 1.6794,             0.00024807,             0.00024807,             0.00024807
                     12,                 3.2335,                 2.5603,                 1.6521,                0.16795,                0.13219,                0.07816,                0.02896,                 3.1698,                 2.7165,                 1.7276,             0.00027037,             0.00027037,             0.00027037
                     13,                 3.1707,                 2.4725,                 1.6495,                0.20853,                 0.1042,                0.07049,                0.02371,                 3.1041,                 2.6452,                 1.7031,             0.00029258,             0.00029258,             0.00029258
                     14,                 3.0562,                 2.4182,                 1.6084,                0.20982,                 0.1353,                 0.0689,                0.02076,                 3.0112,                 3.1288,                 1.6704,              0.0003147,              0.0003147,              0.0003147
                     15,                 3.0719,                 2.3548,                 1.5487,                0.19077,                 0.1353,                0.08688,                0.03286,                 2.7659,                 2.4257,                 1.5562,             0.00032377,             0.00032377,             0.00032377
                     16,                 3.1106,                 2.3829,                 1.5914,                0.22001,                0.14774,                0.09158,                0.03699,                 2.7273,                 2.5217,                  1.534,             0.00032311,             0.00032311,             0.00032311
                     17,                 3.0043,                 2.2433,                 1.5468,                0.20178,                 0.1493,                0.09442,                0.03762,                 2.7325,                 2.4858,                 1.5241,             0.00032245,             0.00032245,             0.00032245
                     18,                 2.9539,                 2.2542,                 1.5421,                0.23805,                 0.1353,                0.09773,                0.03949,                 2.7405,                 2.1941,                 1.5525,             0.00032179,             0.00032179,             0.00032179
                     19,                 2.8584,                 2.1118,                 1.5223,                0.20963,                0.16019,                0.10052,                0.03784,                 2.7067,                 2.4117,                  1.543,             0.00032113,             0.00032113,             0.00032113
                     20,                 2.8904,                 2.2061,                 1.5583,                0.25139,                0.17729,                0.11608,                0.04709,                 2.5896,                 2.0953,                 1.4859,             0.00032047,             0.00032047,             0.00032047
                     21,                 2.9442,                 2.1552,                 1.5353,                0.26348,                0.16796,                0.12345,                0.05221,                 2.5549,                 2.0959,                 1.4682,             0.00031981,             0.00031981,             0.00031981
                     22,                 2.8718,                 2.1641,                 1.5259,                0.23032,                0.16019,                0.10965,                0.04439,                 2.6154,                 2.1969,                  1.495,             0.00031915,             0.00031915,             0.00031915
                     23,                 2.8759,                  2.085,                 1.4904,                0.22653,                0.15708,                0.10188,                0.04041,                 2.6106,                 2.1122,                 1.4592,             0.00031849,             0.00031849,             0.00031849
                     24,                 2.8266,                 2.0988,                 1.4921,                0.24462,                0.17107,                0.12029,                0.05486,                 2.5511,                  1.942,                 1.3982,             0.00031784,             0.00031784,             0.00031784
                     25,                  2.765,                 2.0169,                 1.4413,                0.25042,                0.17574,                0.11863,                0.05146,                 2.5431,                 1.9763,                 1.3923,             0.00031718,             0.00031718,             0.00031718
                     26,                 2.7762,                 2.0003,                 1.4629,                0.23303,                 0.1633,                0.11225,                0.04929,                  2.537,                 2.0853,                 1.4019,             0.00031652,             0.00031652,             0.00031652
                     27,                 2.8194,                 2.0185,                 1.4555,                0.26234,                 0.1633,                0.11722,                0.05107,                 2.5033,                 2.0715,                 1.3783,             0.00031586,             0.00031586,             0.00031586
                     28,                 2.7138,                 1.9575,                 1.4318,                0.26614,                0.17885,                0.12554,                0.05727,                 2.4796,                 2.0199,                 1.3709,              0.0003152,              0.0003152,              0.0003152
                     29,                 2.7318,                 1.9668,                  1.428,                0.26942,                0.18507,                0.13326,                0.06053,                 2.4677,                 1.9925,                 1.3638,             0.00031454,             0.00031454,             0.00031454
                     30,                 2.6285,                 1.9977,                   1.41,                0.22856,                0.16035,                0.12021,                0.05349,                 2.5115,                 2.1078,                 1.3843,             0.00031388,             0.00031388,             0.00031388
                     31,                 2.7012,                 1.9225,                 1.4181,                0.24325,                0.18196,                0.12698,                0.05781,                 2.4484,                 1.9797,                 1.3815,             0.00031322,             0.00031322,             0.00031322
                     32,                 2.6597,                 1.9139,                 1.3919,                0.29594,                0.17885,                0.14196,                0.06404,                 2.4395,                 1.7864,                 1.3904,             0.00031256,             0.00031256,             0.00031256
                     33,                 2.6081,                 1.8796,                 1.3717,                0.29788,                0.18663,                0.13651,                0.06514,                 2.4265,                 1.8395,                 1.4006,              0.0003119,              0.0003119,              0.0003119
                     34,                 2.6273,                 1.9193,                  1.397,                0.28847,                0.18196,                0.13939,                0.06791,                 2.3639,                 1.7995,                 1.3634,             0.00031124,             0.00031124,             0.00031124
                     35,                 2.6403,                 1.9183,                 1.4185,                0.24556,                0.19596,                0.13297,                0.06152,                  2.416,                 1.8441,                 1.3731,             0.00031058,             0.00031058,             0.00031058
                     36,                 2.5671,                 1.8426,                 1.3805,                0.29282,                0.17885,                0.14087,                0.06488,                 2.4336,                 1.8873,                 1.3978,             0.00030992,             0.00030992,             0.00030992
                     37,                  2.652,                 1.8845,                 1.4023,                0.29906,                0.17574,                 0.1417,                0.06541,                 2.3931,                 1.8785,                 1.3837,             0.00030926,             0.00030926,             0.00030926
                     38,                 2.5513,                 1.7916,                 1.3655,                0.30701,                0.20394,                0.15581,                0.07101,                  2.332,                 1.8015,                 1.3553,              0.0003086,              0.0003086,              0.0003086
                     39,                 2.5258,                 1.7972,                 1.3789,                0.33197,                0.20529,                0.17866,                0.08531,                 2.2734,                 1.7234,                 1.3335,             0.00030795,             0.00030795,             0.00030795
                     40,                 2.4972,                 1.7573,                 1.3773,                 0.2982,                0.20218,                0.17888,                0.08676,                 2.1823,                 1.7029,                 1.3179,             0.00030729,             0.00030729,             0.00030729
                     41,                 2.4971,                 1.7607,                 1.3507,                0.33347,                0.20218,                0.18795,                0.09148,                 2.1242,                 1.6655,                 1.2849,             0.00030663,             0.00030663,             0.00030663
                     42,                 2.4512,                 1.6866,                 1.3434,                0.33165,                0.20684,                0.18574,                0.08521,                  2.165,                 1.6866,                 1.2799,             0.00030597,             0.00030597,             0.00030597
                     43,                 2.4864,                 1.7119,                 1.3255,                  0.359,                0.18974,                0.17992,                0.08886,                  2.141,                 1.6367,                 1.2695,             0.00030531,             0.00030531,             0.00030531
                     44,                 2.4912,                 1.7582,                 1.3328,                0.36136,                0.19751,                0.18556,                0.08734,                 2.1422,                 1.6829,                 1.2783,             0.00030465,             0.00030465,             0.00030465
                     45,                 2.6356,                 1.8755,                 1.3857,                0.34544,                0.20995,                0.18319,                0.08642,                 2.1193,                 1.6561,                 1.2801,             0.00030399,             0.00030399,             0.00030399
                     46,                 2.3712,                  1.681,                 1.3388,                0.35913,                0.20684,                0.18356,                0.08943,                 2.1057,                 1.6123,                 1.2831,             0.00030333,             0.00030333,             0.00030333
                     47,                 2.4257,                 1.6784,                 1.3476,                0.35293,                0.21617,                0.19341,                0.09886,                  2.048,                 1.5743,                 1.2563,             0.00030267,             0.00030267,             0.00030267
                     48,                 2.3756,                 1.6555,                 1.3107,                0.36947,                0.21773,                 0.1894,                0.09382,                 2.0288,                 1.5786,                 1.2304,             0.00030201,             0.00030201,             0.00030201
                     49,                 2.3228,                 1.6164,                 1.2896,                0.38651,                0.22084,                0.19338,                0.09693,                 2.0394,                 1.5791,                 1.2327,             0.00030135,             0.00030135,             0.00030135
                     50,                 2.4073,                 1.6519,                 1.3281,                0.36095,                0.22862,                0.19948,                0.09693,                 2.0324,                 1.5644,                 1.2403,             0.00030069,             0.00030069,             0.00030069
                     51,                  2.306,                  1.602,                 1.2791,                0.40376,                0.21617,                0.19739,                0.09821,                 2.0402,                 1.5794,                 1.2423,             0.00030003,             0.00030003,             0.00030003
                     52,                 2.2972,                 1.6086,                 1.2774,                0.40723,                0.22757,                0.20583,                 0.1003,                 2.0237,                 1.5671,                 1.2305,             0.00029937,             0.00029937,             0.00029937
                     53,                 2.4495,                  1.667,                 1.3133,                0.39709,                0.24173,                0.21017,                0.10345,                 2.0132,                 1.5473,                 1.2159,             0.00029871,             0.00029871,             0.00029871
                     54,                 2.4203,                   1.69,                 1.3042,                 0.3788,                0.22551,                0.20536,                0.10344,                  2.055,                 1.5151,                 1.2327,             0.00029805,             0.00029805,             0.00029805
                     55,                 2.3947,                 1.6467,                 1.3003,                0.40339,                0.23328,                0.20927,                0.10864,                 2.0134,                 1.5004,                 1.2264,              0.0002974,              0.0002974,              0.0002974
                     56,                 2.3817,                 1.6845,                  1.303,                0.43483,                0.23691,                 0.2234,                0.11353,                 1.9794,                 1.5378,                 1.2089,             0.00029674,             0.00029674,             0.00029674
                     57,                 2.3136,                 1.6611,                 1.2939,                0.43881,                 0.2395,                0.22705,                0.11357,                 1.9827,                 1.4979,                 1.2078,             0.00029608,             0.00029608,             0.00029608
                     58,                 2.2559,                 1.5811,                 1.2906,                0.41273,                0.22706,                0.21806,                0.10958,                 1.9761,                 1.5035,                    1.2,             0.00029542,             0.00029542,             0.00029542
                     59,                 2.2323,                 1.5422,                 1.2579,                0.42593,                0.23639,                0.22223,                0.11176,                 1.9626,                 1.5314,                 1.2029,             0.00029476,             0.00029476,             0.00029476
                     60,                  2.171,                 1.5106,                 1.2608,                 0.4359,                0.24417,                0.22836,                 0.1174,                  1.964,                 1.5067,                 1.2006,              0.0002941,              0.0002941,              0.0002941
                     61,                 2.2373,                 1.5239,                 1.2656,                0.44562,                0.25039,                0.23815,                0.12151,                 1.9499,                  1.476,                 1.1869,             0.00029344,             0.00029344,             0.00029344
                     62,                 2.2276,                 1.5107,                 1.2589,                0.43884,                0.27216,                  0.237,                0.12248,                 1.9268,                 1.4719,                 1.1861,             0.00029278,             0.00029278,             0.00029278
                     63,                 2.2816,                 1.5087,                 1.2698,                 0.4365,                0.25194,                0.23291,                0.11761,                 1.9635,                 1.4819,                 1.2039,             0.00029212,             0.00029212,             0.00029212
                     64,                 2.1915,                  1.519,                  1.234,                0.44453,                0.25194,                0.23364,                0.11885,                 1.9338,                 1.4333,                 1.1823,             0.00029146,             0.00029146,             0.00029146
                     65,                 2.1222,                 1.4522,                 1.2316,                0.46683,                0.24728,                0.23056,                0.11596,                 1.9765,                 1.4492,                 1.1993,              0.0002908,              0.0002908,              0.0002908
                     66,                 2.2142,                 1.4924,                 1.2396,                0.45374,                0.24728,                0.22944,                 0.1165,                 1.9588,                 1.4462,                 1.1929,             0.00029014,             0.00029014,             0.00029014
                     67,                 2.1688,                 1.4722,                 1.2407,                0.47039,                0.25039,                0.23795,                0.12499,                 1.8612,                 1.4052,                 1.1534,             0.00028948,             0.00028948,             0.00028948
                     68,                 2.1147,                  1.399,                  1.209,                0.47264,                0.24883,                0.24739,                0.13158,                 1.8203,                 1.4092,                 1.1317,             0.00028882,             0.00028882,             0.00028882
                     69,                  2.213,                 1.5376,                 1.2403,                0.43397,                0.25816,                0.24289,                0.13398,                 1.8092,                 1.3929,                 1.1255,             0.00028816,             0.00028816,             0.00028816
                     70,                 2.1358,                 1.4787,                 1.2162,                0.47465,                0.24572,                0.24512,                0.13287,                 1.8379,                 1.4542,                 1.1321,             0.00028751,             0.00028751,             0.00028751
                     71,                 2.2013,                 1.4924,                 1.2118,                 0.4667,                0.26283,                0.25149,                0.13297,                 1.7896,                  1.455,                 1.1232,             0.00028685,             0.00028685,             0.00028685
                     72,                 2.1385,                 1.4372,                 1.2202,                0.47695,                 0.2581,                0.24735,                0.13302,                 1.8182,                  1.416,                 1.1482,             0.00028619,             0.00028619,             0.00028619
                     73,                 2.1464,                 1.4375,                 1.2408,                0.47413,                0.26283,                0.25282,                0.13465,                 1.7937,                 1.3918,                 1.1457,             0.00028553,             0.00028553,             0.00028553
                     74,                  2.207,                 1.4728,                 1.2393,                0.48513,                0.25644,                0.24284,                0.12626,                 1.8299,                 1.4442,                 1.1706,             0.00028487,             0.00028487,             0.00028487
                     75,                 2.1738,                 1.4759,                 1.2368,                0.49853,                0.25816,                0.24999,                0.13161,                 1.7898,                 1.4167,                  1.156,             0.00028421,             0.00028421,             0.00028421
                     76,                 2.0677,                 1.4171,                 1.2038,                0.49678,                 0.2675,                0.26063,                0.13903,                 1.7638,                 1.4201,                 1.1446,             0.00028355,             0.00028355,             0.00028355
