                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0605,                 5.2322,                 2.5348,                0.07315,                0.07863,                   0.02,                0.00468,                 3.7419,                 4.3318,                 1.9114,              5.592e-05,              5.592e-05,              5.592e-05
                      2,                 3.5602,                 3.4293,                 2.0017,                0.05464,                0.16489,                0.02199,                0.00662,                 3.2481,                 10.572,                 1.8708,             0.00011394,             0.00011394,             0.00011394
                      3,                 3.2707,                 2.9966,                 1.9013,                0.10897,                0.18397,                0.04524,                0.01352,                 2.9575,                 19.966,                 1.6053,             0.00017174,             0.00017174,             0.00017174
                      4,                 3.1768,                 2.6429,                 1.8521,                0.18641,                0.11985,                0.08196,                0.03149,                 2.8936,                 3.3831,                 1.6881,              0.0002293,              0.0002293,              0.0002293
                      5,                  3.141,                 2.4798,                 1.8328,                0.15522,                0.15267,                0.06202,                0.02209,                  2.795,                 3.4875,                 1.6278,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.0876,                 2.4832,                 1.8462,                0.27619,                0.19429,                0.14454,                0.05382,                 2.7203,                 2.1208,                 1.5986,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.9834,                 2.3507,                 1.7699,                0.28829,                 0.1687,                0.13638,                0.04474,                 2.7002,                 2.1541,                 1.5785,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9292,                 2.3116,                 1.7451,                0.19954,                0.15802,                0.08186,                0.03109,                  2.644,                 2.2774,                  1.547,             0.00022977,             0.00022977,             0.00022977
                      9,                   2.95,                 2.2913,                 1.7068,                0.28531,                0.19771,                 0.1392,                0.04713,                 2.6062,                 2.4371,                 1.5238,             0.00022931,             0.00022931,             0.00022931
                     10,                  2.859,                 2.1721,                 1.6539,                0.39246,                0.20992,                0.17897,                 0.0678,                 2.4814,                 1.9292,                 1.4773,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.8041,                 2.2169,                 1.6999,                0.43702,                 0.2145,                 0.2017,                0.07639,                 2.4723,                 1.8128,                 1.4628,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.7971,                  2.142,                 1.6575,                 0.3628,                0.20229,                0.16613,                0.06281,                 2.4935,                 1.8389,                 1.4724,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.7803,                 2.1799,                 1.6606,                0.31751,                0.21603,                0.16536,                0.06593,                 2.4402,                 2.0149,                 1.4714,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.7432,                 2.0868,                 1.6277,                0.41105,                0.21527,                0.20618,                0.08228,                 2.3952,                 1.7519,                 1.4275,               0.000227,               0.000227,               0.000227
