                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.085,                 5.2678,                 2.6393,                0.02606,                0.02977,                 0.0072,                0.00183,                 3.6477,                 6.1106,                 1.9689,              5.592e-05,              5.592e-05,              5.592e-05
                      2,                 3.5668,                 3.7178,                 2.0894,                0.12608,                0.12202,                0.04427,                0.01257,                 3.2314,                 4.0503,                 1.6733,             0.00011394,             0.00011394,             0.00011394
                      3,                 3.3558,                  3.059,                 1.9595,                0.07665,                0.09296,                0.03043,                0.00941,                 3.3387,                  4.587,                 1.7128,             0.00017174,             0.00017174,             0.00017174
                      4,                 3.3018,                 2.7944,                 1.8992,                 0.0806,                0.09008,                0.03798,                0.01487,                 2.8437,                 4.7904,                 1.6252,              0.0002293,              0.0002293,              0.0002293
                      5,                 3.1964,                 2.5552,                 1.8319,                0.09588,                0.16107,                0.04015,                0.01428,                 2.7691,                 3.5389,                 1.5985,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.1215,                 2.5272,                 1.8065,                0.17533,                0.18168,                0.08123,                 0.0303,                  2.606,                  2.319,                 1.5172,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.0066,                 2.4162,                 1.7623,                0.15849,                0.14656,                0.07111,                 0.0235,                 2.8598,                 2.4858,                 1.6352,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9699,                 2.3587,                 1.7674,                0.31527,                 0.1916,                0.14736,                0.05822,                 2.5156,                 1.9003,                 1.4951,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.8616,                 2.2518,                 1.6922,                 0.3577,                0.21221,                0.18273,                 0.0701,                 2.4352,                 1.8832,                 1.4791,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.8645,                 2.2169,                 1.6887,                0.39553,                0.20534,                0.17967,                0.06834,                    2.5,                 1.9384,                 1.4687,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.8311,                 2.2726,                 1.7105,                0.36588,                0.19847,                0.17315,                0.06708,                 2.5931,                 1.9864,                 1.4828,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.8156,                 2.1848,                 1.6709,                 0.4062,                0.21984,                0.19582,                0.07857,                   2.36,                 1.7504,                 1.3901,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.8172,                 2.1889,                 1.6637,                0.40911,                0.21679,                0.19804,                0.08067,                 2.3054,                 1.7745,                 1.3796,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.7721,                 2.1125,                 1.6365,                0.45921,                0.22061,                0.21313,                0.08453,                 2.3363,                 1.7373,                 1.3974,               0.000227,               0.000227,               0.000227
                     15,                 2.7215,                 2.0878,                  1.629,                0.42916,                0.23128,                0.22354,                0.09439,                 2.2614,                 1.7254,                 1.3731,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.6693,                 2.1157,                 1.5984,                0.44039,                0.24122,                0.22459,                0.09465,                 2.2344,                 1.6413,                 1.3584,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.6217,                 2.0448,                 1.6179,                0.40987,                0.24427,                0.23513,                0.10139,                 2.2913,                 1.6759,                 1.3901,             0.00022562,             0.00022562,             0.00022562
                     18,                  2.581,                 1.9912,                 1.5787,                0.44171,                 0.2687,                0.25861,                 0.1097,                 2.1812,                 1.6125,                 1.3377,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.5792,                 1.9668,                 1.5616,                 0.4841,                0.24809,                0.25697,                0.11036,                   2.23,                 1.6483,                 1.3389,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.5825,                  1.926,                 1.5452,                0.46438,                0.28321,                0.27483,                0.11832,                 2.1575,                 1.5593,                 1.3334,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.3957,                 1.8417,                  1.483,                0.53125,                0.26794,                0.27714,                0.12477,                 2.1579,                 1.5109,                 1.3441,             0.00022377,             0.00022377,             0.00022377
                     22,                  2.454,                   1.88,                 1.4989,                0.49877,                0.27481,                0.27819,                0.12256,                 2.1431,                 1.5144,                 1.3255,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.4452,                 1.8475,                 1.4791,                0.50688,                0.28405,                0.29571,                0.12947,                 2.1576,                 1.4882,                 1.3125,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.4087,                 1.8462,                  1.496,                0.54565,                0.26718,                0.29564,                0.14191,                 2.0167,                 1.5539,                 1.2696,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.3512,                 1.8038,                 1.4395,                0.53173,                0.27911,                0.30566,                0.15026,                 1.9292,                 1.3775,                  1.245,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.2408,                 1.7019,                 1.4316,                0.52337,                0.29542,                0.30795,                0.15236,                 1.9631,                 1.4345,                 1.2646,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.2897,                 1.7049,                 1.4369,                0.52695,                0.30442,                0.33362,                 0.1653,                 1.8986,                  1.383,                 1.2289,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.2805,                 1.7185,                 1.4195,                0.54177,                 0.3145,                0.34122,                0.16915,                 1.8774,                  1.365,                 1.2159,             0.00022054,             0.00022054,             0.00022054
                     29,                 2.2058,                 1.6996,                 1.3932,                0.62611,                0.31221,                0.35204,                 0.1815,                 1.8802,                 1.3451,                 1.2201,             0.00022008,             0.00022008,             0.00022008
                     30,                  2.145,                  1.607,                 1.3628,                0.57306,                0.31603,                0.34306,                0.17091,                 1.8643,                 1.3696,                 1.2195,             0.00021962,             0.00021962,             0.00021962
                     31,                  2.122,                 1.5651,                 1.3357,                0.57226,                0.31908,                0.34578,                0.17045,                 1.9621,                 1.3345,                 1.2325,             0.00021916,             0.00021916,             0.00021916
                     32,                 2.1293,                 1.6043,                 1.3794,                 0.6099,                0.32137,                0.35865,                0.18368,                 1.8445,                 1.2692,                 1.2028,              0.0002187,              0.0002187,              0.0002187
                     33,                 2.1023,                 1.5832,                 1.3481,                0.59136,                0.32977,                0.35701,                 0.1831,                  1.826,                 1.3116,                 1.2018,             0.00021824,             0.00021824,             0.00021824
                     34,                 2.0653,                 1.5215,                 1.3153,                0.61313,                0.34351,                0.37571,                 0.1935,                 1.7822,                 1.2633,                 1.1893,             0.00021778,             0.00021778,             0.00021778
                     35,                 2.0464,                 1.4816,                 1.3218,                0.60546,                 0.3458,                0.37729,                0.18096,                 1.8496,                  1.219,                 1.2129,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.9774,                 1.4538,                 1.2796,                0.65052,                0.36489,                0.40656,                0.20958,                 1.7295,                 1.1561,                 1.1558,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.9363,                 1.4476,                 1.2879,                0.67198,                0.35811,                0.40748,                0.21473,                 1.7711,                 1.1828,                 1.1625,             0.00021639,             0.00021639,             0.00021639
