                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1907,                 6.1828,                 2.6858,                0.03678,                 0.0458,                 0.0131,                0.00308,                 3.9486,                  68.76,                 2.0152,              5.592e-05,              5.592e-05,              5.592e-05
                      2,                 3.6906,                 3.7967,                 2.0696,                0.08116,                0.07786,                0.02671,                0.00837,                 3.5553,                 9.1535,                 1.7994,             0.00011394,             0.00011394,             0.00011394
                      3,                 3.3736,                  3.073,                 1.9145,                0.16662,                0.12595,                 0.0742,                0.02795,                 3.0736,                 2.5057,                 1.7128,             0.00017174,             0.00017174,             0.00017174
                      4,                 3.3223,                 2.7837,                 1.8513,                 0.2314,                0.15725,                0.10128,                0.03557,                 2.8006,                 2.1038,                 1.5894,              0.0002293,              0.0002293,              0.0002293
                      5,                 3.1904,                 2.5539,                 1.8029,                0.23399,                0.15954,                0.10386,                0.03555,                 2.8613,                 2.3429,                 1.6332,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.1682,                 2.5271,                 1.7607,                0.25404,                0.17939,                0.11858,                0.04201,                 2.7085,                 2.0536,                  1.521,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.0237,                 2.3915,                 1.7081,                0.27635,                0.16183,                0.12763,                0.04823,                 2.8159,                 1.9959,                 1.5933,             0.00023023,             0.00023023,             0.00023023
                      8,                 3.0131,                 2.3417,                  1.733,                0.28054,                0.18168,                0.13007,                0.05042,                 2.7193,                  2.078,                 1.5507,             0.00022977,             0.00022977,             0.00022977
                      9,                  2.939,                 2.2812,                 1.6798,                0.31742,                0.19695,                0.15451,                0.05866,                 2.7005,                 2.0764,                 1.5398,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.8706,                 2.1957,                 1.6527,                0.30964,                0.20534,                0.14393,                0.05252,                 2.5798,                  1.928,                 1.4805,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.8066,                 2.1901,                 1.6597,                0.37357,                0.20992,                0.18409,                0.07112,                 2.4981,                 1.9382,                 1.4748,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.8213,                 2.1913,                 1.6556,                0.41348,                0.20611,                0.19168,                0.07553,                 2.4877,                 1.8589,                 1.4391,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.8059,                 2.1945,                 1.6136,                0.37385,                0.21057,                0.19177,                0.07707,                 2.4614,                 1.8563,                 1.4296,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.7568,                 2.1314,                  1.596,                0.37895,                0.21705,                0.20128,                0.08101,                 2.4297,                 1.8907,                 1.4385,               0.000227,               0.000227,               0.000227
                     15,                 2.6825,                 2.0685,                 1.5752,                 0.4234,                0.22824,                0.21767,                0.09182,                 2.3695,                 1.8692,                  1.401,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.6658,                 2.1087,                 1.5601,                0.47017,                0.22443,                0.22661,                0.09335,                 2.3709,                 1.8691,                 1.3936,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.5966,                 2.0258,                 1.5709,                0.44931,                0.24427,                0.23672,                0.09534,                 2.3446,                 1.7706,                 1.3914,             0.00022562,             0.00022562,             0.00022562
                     18,                  2.556,                 1.9806,                 1.5265,                0.48758,                0.24122,                0.25127,                0.10716,                 2.2441,                 1.6104,                 1.3468,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.5445,                 1.9484,                 1.4979,                0.41513,                0.24427,                0.24848,                0.10834,                  2.247,                 1.7235,                 1.3549,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.5668,                 1.9219,                 1.5085,                0.46049,                0.24809,                0.25619,                0.11461,                 2.1947,                 1.5523,                  1.344,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.4068,                 1.8375,                 1.4649,                0.45366,                0.26183,                0.25735,                0.11349,                 2.1858,                 1.5741,                 1.3297,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.4364,                 1.8407,                 1.4488,                0.53091,                0.26489,                0.28008,                0.12904,                  2.118,                 1.4922,                    1.3,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.4615,                 1.8591,                 1.4754,                0.49059,                0.27939,                 0.2845,                0.12818,                 2.1839,                 1.5623,                 1.3134,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.4067,                 1.8433,                 1.4608,                0.49721,                0.28233,                0.29395,                0.12611,                 2.1377,                 1.6595,                 1.2856,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.4015,                 1.8553,                 1.4186,                0.53596,                0.29313,                0.29662,                0.12979,                 2.1115,                 1.5141,                 1.2876,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.2947,                 1.6911,                 1.4137,                0.50047,                0.29618,                0.31128,                0.14703,                 2.0582,                 1.4339,                 1.2779,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.3203,                 1.6875,                 1.4079,                0.50465,                0.30153,                0.31414,                0.14809,                 2.0516,                 1.4367,                 1.2626,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.2764,                 1.6579,                 1.3726,                0.59943,                0.30153,                 0.3386,                0.16347,                 1.9992,                 1.3937,                 1.2411,             0.00022054,             0.00022054,             0.00022054
                     29,                 2.2639,                 1.6967,                 1.3816,                0.56657,                0.29237,                 0.3194,                0.15935,                 1.9293,                 1.3914,                 1.2203,             0.00022008,             0.00022008,             0.00022008
                     30,                 2.1999,                  1.625,                 1.3512,                0.57477,                0.31145,                0.33866,                0.16171,                 1.9156,                 1.3752,                 1.2179,             0.00021962,             0.00021962,             0.00021962
                     31,                  2.166,                 1.6188,                 1.3344,                0.57369,                0.30382,                0.34165,                0.17128,                 1.8875,                 1.3123,                 1.2088,             0.00021916,             0.00021916,             0.00021916
                     32,                 2.0924,                  1.579,                 1.3307,                0.54151,                0.31603,                0.33485,                0.17479,                 1.8604,                 1.3633,                 1.1914,              0.0002187,              0.0002187,              0.0002187
                     33,                 2.1462,                 1.5929,                 1.3224,                0.57309,                0.32748,                0.35737,                0.17925,                 1.8624,                 1.3739,                 1.1852,             0.00021824,             0.00021824,             0.00021824
                     34,                 2.1199,                  1.528,                 1.3039,                0.60552,                0.32443,                0.35629,                0.18382,                 1.8054,                 1.2939,                 1.1561,             0.00021778,             0.00021778,             0.00021778
                     35,                  2.098,                 1.5073,                 1.3085,                0.58504,                0.34763,                0.37031,                0.18072,                 1.8538,                 1.2408,                 1.1798,             0.00021731,             0.00021731,             0.00021731
                     36,                 2.0271,                 1.4642,                 1.2723,                0.58505,                0.33511,                0.35807,                0.18038,                 1.8445,                 1.2904,                 1.1877,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.9625,                 1.4574,                 1.2752,                 0.6289,                0.32977,                0.36884,                0.18402,                 1.8404,                 1.3058,                 1.1722,             0.00021639,             0.00021639,             0.00021639
                     38,                 2.0338,                 1.4543,                 1.2753,                0.66419,                0.33435,                 0.3951,                0.20631,                 1.7567,                 1.2131,                 1.1539,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.9542,                 1.4042,                  1.251,                0.66491,                0.35725,                0.40223,                0.20678,                 1.7743,                 1.1981,                 1.1405,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.8786,                 1.3478,                 1.2173,                0.68477,                0.35878,                0.41052,                0.21173,                 1.7202,                 1.1796,                 1.1245,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.9217,                 1.3369,                 1.2297,                  0.657,                0.36412,                0.41054,                0.22339,                 1.6433,                 1.1549,                 1.1148,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.8852,                 1.3621,                 1.2382,                0.61256,                0.38321,                0.41352,                0.22243,                  1.703,                 1.1419,                 1.1402,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.8651,                  1.322,                 1.2087,                0.66984,                0.38253,                0.43056,                0.23675,                 1.6592,                 1.0932,                 1.1095,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.8377,                 1.3012,                 1.2043,                0.69513,                0.36725,                0.43442,                0.23423,                 1.6555,                 1.1208,                 1.1164,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.8155,                 1.2808,                 1.2091,                0.64143,                0.38234,                0.43211,                0.22835,                 1.6796,                 1.1666,                 1.1055,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.7822,                 1.2496,                 1.1876,                0.68402,                0.38397,                0.44351,                0.23856,                 1.6275,                  1.101,                 1.0944,             0.00021224,             0.00021224,             0.00021224
