                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2005,                 6.0752,                 2.6804,                      0,                      0,                      0,                      0,                  3.635,                 5.0915,                 1.8094,              5.592e-05,              5.592e-05,              5.592e-05
                      2,                  3.923,                 5.4118,                 2.1294,                0.00846,                0.00382,                 0.0092,                0.00384,                 3.6547,                 4.7081,                 1.7899,             0.00011394,             0.00011394,             0.00011394
                      3,                 3.7838,                 4.1116,                 1.9591,                0.02732,                0.20305,                0.03227,                 0.0107,                 3.3416,                 3.5408,                 1.7195,             0.00017174,             0.00017174,             0.00017174
                      4,                 3.6733,                 3.4763,                 1.8619,                0.12037,                0.11298,                 0.0403,                  0.011,                 3.4064,                 2.6159,                  1.719,              0.0002293,              0.0002293,              0.0002293
                      5,                 3.5777,                 3.1617,                 1.8082,                0.13535,                0.11908,                0.05399,                0.01523,                   3.34,                 2.5949,                 1.6981,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.5295,                 3.1291,                 1.8148,                0.19479,                0.11145,                0.07631,                0.02507,                 3.1641,                 2.4304,                 1.6581,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.3801,                  2.948,                 1.7868,                0.19651,                0.13664,                0.08847,                0.02829,                 3.1039,                 2.3834,                 1.6126,             0.00023023,             0.00023023,             0.00023023
                      8,                 3.3395,                 2.9258,                 1.7427,                0.17641,                0.13359,                0.08116,                0.02804,                 3.0086,                 2.2889,                 1.5771,             0.00022977,             0.00022977,             0.00022977
                      9,                 3.2946,                    2.9,                 1.7544,                0.23949,                0.13774,                0.09705,                0.03304,                 3.0399,                 2.2451,                 1.6169,             0.00022931,             0.00022931,             0.00022931
                     10,                 3.2135,                 2.7772,                 1.7325,                 0.2367,                0.16489,                0.10611,                0.03303,                  3.005,                 2.1718,                 1.5893,             0.00022885,             0.00022885,             0.00022885
                     11,                 3.1839,                 2.8222,                 1.7539,                0.25752,                0.16031,                0.11211,                0.03749,                 3.0112,                 2.1874,                 1.5921,             0.00022839,             0.00022839,             0.00022839
                     12,                  3.145,                 2.8034,                 1.7161,                0.27198,                0.14962,                0.10497,                0.03479,                 2.8625,                 2.1806,                 1.5572,             0.00022793,             0.00022793,             0.00022793
