                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   4.18,                 6.0957,                  2.668,                0.03567,                0.05486,                0.00981,                0.00213,                 3.7968,                 7.6718,                 1.9966,               4.66e-05,               4.66e-05,               4.66e-05
                      2,                 3.5796,                  3.661,                 2.0129,                0.09473,                0.09404,                0.03199,                0.00833,                 3.3507,                 5.5489,                 1.9552,             9.5341e-05,             9.5341e-05,             9.5341e-05
                      3,                 3.3266,                 3.1515,                 1.9722,                0.16844,                0.08777,                0.03524,                0.01035,                 3.4909,                  5.352,                 2.0066,             0.00014389,             0.00014389,             0.00014389
                      4,                 3.2508,                 2.9307,                 1.8649,                0.07612,                0.11285,                0.02245,                0.00705,                 3.1932,                 6.1732,                 1.8986,             0.00019224,             0.00019224,             0.00019224
                      5,                 3.1253,                 2.8167,                  1.847,                0.03216,                0.05956,                0.01489,                 0.0061,                 3.1886,                 5.2141,                 1.9014,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.2113,                 3.0628,                 1.9056,                0.14766,                0.16458,                0.07133,                0.02718,                 3.0293,                 3.2641,                 1.7919,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.0281,                 2.4832,                 1.8286,                 0.1242,                0.14263,                0.05135,                0.01886,                 3.1004,                  3.336,                 1.8203,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9885,                 2.5283,                 1.8082,                  0.198,                0.12539,                0.09559,                0.03694,                 3.0123,                 2.4011,                 1.8082,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.9738,                 2.4484,                 1.7961,                0.18106,                0.16218,                0.10229,                0.04015,                 2.9481,                 2.2786,                 1.7907,             0.00022931,             0.00022931,             0.00022931
                     10,                  2.893,                 2.3197,                 1.7519,                0.25704,                0.14107,                0.10477,                0.03607,                 2.8015,                 2.5537,                 1.7366,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.8467,                 2.2704,                 1.7606,                 0.2474,                0.14577,                0.11702,                0.04566,                  2.848,                 2.2759,                 1.7177,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.8819,                 2.3995,                 1.7199,                0.22641,                 0.1442,                0.10946,                0.04026,                 2.8991,                 2.5949,                  1.722,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.6668,                 2.2439,                 1.6545,                0.29824,                 0.1489,                0.12651,                0.05045,                 2.8397,                 2.1547,                 1.7082,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.6995,                 2.2155,                 1.6969,                0.27597,                0.14577,                0.10729,                 0.0425,                 2.8472,                 2.2116,                 1.7391,               0.000227,               0.000227,               0.000227
                     15,                 2.6312,                 2.1489,                 1.6277,                0.20826,                0.15517,                0.10822,                0.04209,                 2.9001,                 2.2404,                  1.753,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.5829,                 2.0817,                  1.571,                0.23699,                0.15361,                0.10857,                0.04439,                 2.8066,                 2.1656,                 1.7074,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.5496,                   2.08,                 1.5595,                0.25287,                0.14734,                0.10921,                0.04326,                 2.8538,                 2.1697,                 1.7425,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.5394,                  2.054,                 1.6038,                 0.2862,                0.18652,                   0.14,                0.05408,                 2.7975,                 2.1113,                 1.6927,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.5054,                 2.0499,                 1.6071,                0.29398,                0.17085,                0.13026,                0.05001,                 2.8434,                 2.1277,                 1.7199,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.5384,                 2.0156,                 1.5704,                 0.3452,                0.19592,                0.15107,                0.05777,                   2.72,                  1.981,                 1.6596,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.3275,                  1.893,                 1.5194,                0.28585,                0.16614,                0.12565,                0.04832,                 2.8288,                  2.217,                 1.7093,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.3569,                 1.8975,                 1.5201,                0.26166,                0.18495,                0.13023,                 0.0479,                 2.8251,                 2.1306,                  1.694,             0.00022331,             0.00022331,             0.00022331
