                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2268,                 6.2861,                 2.8637,                0.02008,                0.02978,                0.00838,                0.00223,                 3.7384,                 5.1362,                 2.0758,               4.66e-05,               4.66e-05,               4.66e-05
                      2,                 3.6338,                 3.9453,                 2.0784,                0.08713,                0.08621,                0.02055,                0.00491,                 3.4718,                 6.1585,                 1.6869,             9.5341e-05,             9.5341e-05,             9.5341e-05
                      3,                 3.3552,                 3.2639,                 1.9106,                0.19932,                0.10031,                0.06902,                0.02569,                 3.1745,                 4.0938,                 1.8148,             0.00014389,             0.00014389,             0.00014389
                      4,                 3.2651,                 2.9733,                 1.8807,                0.12013,                0.12226,                0.07229,                0.02402,                 3.0753,                   3.52,                 1.8305,             0.00019224,             0.00019224,             0.00019224
                      5,                 3.1127,                 2.8247,                  1.822,                0.19764,                0.10815,                0.06126,                0.01756,                 3.0935,                 3.1782,                 1.7243,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.1807,                 3.1042,                  1.861,                0.17713,                0.11442,                0.08628,                0.03192,                 3.0621,                 2.7498,                 1.7208,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.0313,                 2.5244,                 1.7766,                0.20681,                0.15047,                0.10575,                0.03829,                 2.8714,                 2.7163,                 1.7442,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9541,                 2.5575,                 1.7767,                0.16646,                 0.1395,                0.08069,                0.02898,                 2.8957,                 2.5046,                 1.6979,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.9665,                 2.4782,                 1.7588,                  0.211,                0.10815,                0.08902,                0.03959,                 2.8944,                 2.5783,                 1.7483,             0.00022931,             0.00022931,             0.00022931
                     10,                  2.903,                 2.3016,                 1.7047,                0.27716,                0.15517,                0.12069,                0.04511,                 2.9747,                 2.3741,                 1.7546,             0.00022885,             0.00022885,             0.00022885
                     11,                  2.787,                 2.2798,                 1.6999,                  0.254,                0.13502,                0.10497,                0.03951,                 2.8288,                  2.172,                 1.7098,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.8897,                   2.36,                 1.7121,                0.22265,                0.15047,                0.10842,                 0.0444,                 2.8651,                 2.2737,                 1.6293,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.6678,                 2.2513,                 1.6307,                0.28663,                0.16301,                0.13286,                0.04773,                 2.8055,                  2.134,                 1.6691,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.7664,                 2.2659,                 1.6989,                0.24883,                0.14902,                0.12612,                0.04644,                 2.7386,                  2.045,                 1.6352,               0.000227,               0.000227,               0.000227
                     15,                 2.7015,                 2.1902,                 1.6265,                0.23509,                0.17398,                0.12261,                0.04455,                 2.7687,                 2.1456,                 1.6373,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.6475,                 2.1326,                 1.5905,                0.24652,                0.18652,                0.12493,                0.04536,                 2.6941,                 1.9546,                 1.6661,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.5784,                 2.0881,                 1.5582,                0.24774,                0.18339,                0.12248,                 0.0446,                 2.6893,                 2.0511,                 1.6971,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.5516,                 2.0781,                  1.579,                 0.2761,                0.18809,                0.14442,                0.05305,                 2.7466,                 1.9646,                  1.659,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.5366,                 2.0894,                  1.579,                0.29165,                0.17712,                0.14944,                0.05336,                 2.7119,                 1.9792,                 1.5981,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.5488,                 2.0218,                 1.5371,                0.27198,                0.18025,                0.12776,                0.04558,                 2.7623,                 2.0297,                 1.6371,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.4103,                 1.9585,                 1.5258,                0.25696,                0.15204,                0.11713,                 0.0452,                 2.7412,                 1.9843,                 1.6203,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.3549,                 1.9215,                 1.4971,                0.30548,                0.16614,                0.13296,                0.05092,                  2.759,                 2.0124,                 1.6498,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.3844,                 1.8789,                 1.4792,                0.24394,                0.18509,                0.13272,                0.04861,                 2.6808,                 1.9519,                  1.622,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.3303,                 1.8645,                 1.4545,                0.24191,                0.18495,                0.12299,                0.04601,                 2.7141,                 1.9525,                 1.5916,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.3169,                  1.847,                 1.4751,                0.26072,                0.18966,                 0.1436,                0.05417,                  2.685,                 1.9327,                 1.6025,             0.00022193,             0.00022193,             0.00022193
                     26,                  2.325,                 1.8569,                 1.4418,                0.24946,                0.18025,                0.12024,                0.04477,                 2.7316,                 2.0842,                 1.5841,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.2607,                 1.8026,                 1.4268,                0.27936,                0.18966,                0.14044,                0.05168,                 2.7281,                 2.0684,                 1.5632,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.2121,                  1.778,                 1.3877,                0.25075,                0.18339,                0.14507,                0.05734,                 2.7162,                 1.9681,                 1.6429,             0.00022054,             0.00022054,             0.00022054
                     29,                 2.1884,                   1.74,                 1.4139,                0.25811,                0.20219,                0.14116,                 0.0537,                 2.7384,                 1.8706,                 1.6423,             0.00022008,             0.00022008,             0.00022008
