                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2524,                 7.4893,                 2.8638,                0.01712,                0.05956,                0.00472,                0.00096,                 3.9959,                 5.6946,                 1.9575,               4.66e-05,               4.66e-05,               4.66e-05
                      2,                 3.7565,                 4.0883,                 2.0927,                0.06142,                0.12382,                0.02693,                0.00619,                 3.4018,                 5.3381,                 1.8388,             9.5341e-05,             9.5341e-05,             9.5341e-05
                      3,                 3.4714,                 3.3277,                 1.9116,                0.17668,                0.10815,                0.05055,                 0.0148,                 3.0448,                 4.7879,                 1.6946,             0.00014389,             0.00014389,             0.00014389
                      4,                 3.2835,                 2.9387,                 1.8357,                0.14701,                0.12853,                0.06822,                0.02442,                 3.1571,                 2.6817,                 1.6276,             0.00019224,             0.00019224,             0.00019224
                      5,                 3.1698,                 2.7145,                 1.7442,                0.24729,                0.15517,                0.10127,                0.02971,                 3.1346,                 2.3782,                 1.6672,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.1943,                 3.0823,                 1.7948,                0.19145,                0.13009,                0.09843,                0.03496,                 3.0925,                 2.2017,                 1.7447,             0.00023069,             0.00023069,             0.00023069
                      7,                 3.0185,                 2.5049,                 1.7172,                0.21061,                0.16301,                0.10147,                0.03426,                 2.9628,                 2.1964,                 1.7229,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9264,                 2.5068,                 1.7113,                0.17909,                0.14704,                0.09418,                0.03428,                 2.9401,                 2.2777,                  1.635,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.9644,                 2.4722,                 1.6984,                0.21398,                0.17398,                0.10967,                0.04407,                 2.9701,                 2.5546,                 1.6088,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.8558,                 2.2967,                 1.6457,                0.28033,                0.16301,                 0.1228,                0.04808,                 2.8416,                 2.1782,                 1.6389,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.8515,                 2.2532,                 1.6718,                0.31176,                0.17712,                0.12489,                0.04522,                  3.024,                 2.1798,                 1.6821,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.8759,                   2.35,                 1.6433,                0.25612,                0.15987,                0.11527,                0.04512,                 2.9931,                 2.2093,                 1.6642,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.7504,                   2.22,                 1.6026,                0.28775,                0.16614,                0.12259,                0.04545,                 2.8432,                 2.0921,                 1.6141,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.7709,                 2.2066,                 1.6661,                0.27911,                0.16771,                0.12565,                0.04475,                 2.8357,                 2.1202,                  1.638,               0.000227,               0.000227,               0.000227
                     15,                 2.7277,                 2.1355,                 1.6107,                0.29296,                0.18025,                0.12175,                0.04437,                 2.7431,                 2.0873,                 1.5628,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.6819,                 2.1948,                 1.5401,                0.24638,                0.17398,                0.11592,                0.04184,                 2.7693,                 2.0282,                  1.561,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.6234,                 2.0923,                 1.5224,                 0.2928,                0.15674,                0.12437,                 0.0481,                 2.7902,                 2.0305,                  1.594,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.6202,                 2.0577,                 1.5535,                0.29258,                0.19122,                0.13259,                0.04827,                 2.8199,                 2.0436,                 1.6112,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.6009,                 2.0714,                 1.5746,                0.33405,                0.18398,                0.14535,                0.05308,                 2.9035,                 1.9848,                 1.6798,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.6023,                 2.0572,                 1.5166,                0.29365,                0.18025,                0.13817,                0.04727,                 2.7939,                 2.0322,                 1.6289,             0.00022423,             0.00022423,             0.00022423
                     21,                  2.447,                 1.9575,                 1.4912,                0.31871,                0.16458,                0.13631,                 0.0524,                 2.7709,                 2.0095,                 1.6282,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.4329,                 1.9201,                 1.4845,                0.33603,                0.16771,                0.14425,                0.06039,                 2.7037,                 1.9535,                 1.5712,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.5064,                 1.8849,                 1.5007,                0.29872,                0.18025,                0.13386,                0.04488,                 2.8999,                 2.0311,                 1.6276,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.4051,                 1.8487,                  1.471,                0.27913,                0.16751,                0.12372,                0.04735,                 2.8395,                 1.9934,                 1.6776,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.3963,                 1.8524,                 1.4793,                0.28347,                0.16928,                0.12647,                0.04901,                 2.7985,                 1.9511,                 1.6575,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.4576,                 1.9308,                 1.4786,                0.33336,                0.15987,                 0.1344,                0.04974,                 2.8168,                  1.951,                 1.6384,             0.00022147,             0.00022147,             0.00022147
                     27,                  2.327,                 1.8032,                 1.4144,                0.29223,                0.17712,                0.12931,                0.04944,                 2.9319,                 2.0609,                 1.6341,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.3163,                 1.7847,                 1.4087,                0.27869,                0.20469,                0.14283,                 0.0537,                 2.8172,                  1.976,                 1.6228,             0.00022054,             0.00022054,             0.00022054
                     29,                 2.2677,                 1.7421,                 1.4111,                0.28861,                 0.2116,                0.14459,                0.05756,                 2.6494,                 1.9707,                 1.6013,             0.00022008,             0.00022008,             0.00022008
                     30,                 2.2437,                 1.7219,                 1.3794,                0.25104,                0.17085,                 0.1176,                0.04585,                 2.7203,                 2.0616,                 1.5966,             0.00021962,             0.00021962,             0.00021962
                     31,                 2.2851,                 1.7608,                 1.4127,                0.24124,                0.16771,                0.10914,                0.04028,                 2.6951,                 1.9443,                 1.5776,             0.00021916,             0.00021916,             0.00021916
                     32,                 2.1021,                 1.6128,                 1.3321,                0.24296,                0.16928,                0.11497,                0.04502,                 2.7364,                 1.9526,                  1.609,              0.0002187,              0.0002187,              0.0002187
                     33,                 2.2521,                 1.7209,                 1.3849,                0.24796,                0.17555,                0.13165,                0.04883,                 2.7528,                  1.965,                 1.6264,             0.00021824,             0.00021824,             0.00021824
                     34,                 2.1502,                 1.6164,                 1.3577,                0.25247,                0.18652,                0.12784,                0.04985,                 2.7958,                  1.983,                 1.6247,             0.00021778,             0.00021778,             0.00021778
                     35,                 2.0554,                 1.5323,                  1.309,                0.21669,                0.19906,                0.11063,                0.04153,                 2.7014,                 1.9825,                 1.5916,             0.00021731,             0.00021731,             0.00021731
                     36,                 2.0499,                 1.5181,                 1.2843,                0.26153,                0.19436,                0.13665,                0.05116,                 2.7289,                 1.9504,                  1.609,             0.00021685,             0.00021685,             0.00021685
                     37,                 2.0249,                 1.5195,                 1.3022,                0.24222,                0.17241,                 0.1172,                0.04273,                 2.8931,                  2.028,                 1.6814,             0.00021639,             0.00021639,             0.00021639
                     38,                 2.0522,                 1.5055,                 1.2908,                 0.2636,                0.15831,                0.11841,                  0.048,                  2.824,                 2.0612,                 1.6721,             0.00021593,             0.00021593,             0.00021593
                     39,                 2.0393,                 1.4894,                  1.314,                0.24836,                0.16614,                0.12094,                0.04704,                 2.6986,                 2.0605,                 1.5864,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.9867,                   1.47,                 1.2691,                0.27423,                0.14734,                0.12017,                0.04758,                   2.83,                 2.0887,                 1.6149,             0.00021501,             0.00021501,             0.00021501
                     41,                  1.943,                 1.4136,                 1.2566,                0.27975,                0.17398,                0.12158,                0.04584,                 2.7558,                  2.043,                 1.5829,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.9789,                 1.4053,                 1.2593,                 0.2375,                0.17868,                 0.1119,                0.04158,                 2.7355,                 2.0587,                 1.5617,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.9176,                  1.375,                 1.2301,                0.28491,                0.20063,                0.13974,                0.05148,                 2.7677,                 1.9921,                 1.5875,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.8138,                 1.3033,                 1.1966,                0.28492,                0.17712,                0.13858,                0.05122,                 2.7813,                 1.9871,                 1.6589,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.8579,                 1.3453,                 1.2303,                0.27446,                0.16771,                0.13031,                0.04802,                  2.778,                 2.0411,                 1.6233,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.8085,                 1.2954,                  1.202,                0.31154,                0.19279,                0.13507,                0.05011,                 2.7262,                 1.9616,                 1.6227,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.7794,                 1.2681,                  1.196,                0.24788,                0.17712,                0.12068,                0.04705,                 2.6981,                 2.0751,                 1.5772,             0.00021178,             0.00021178,             0.00021178
                     48,                 1.7881,                 1.2673,                 1.1741,                0.22095,                0.16144,                0.11351,                 0.0458,                 2.8025,                 2.0094,                 1.6702,             0.00021132,             0.00021132,             0.00021132
                     49,                 1.7343,                 1.2329,                 1.1705,                 0.1935,                0.16928,                0.11039,                0.04176,                 2.7158,                 2.0896,                 1.5857,             0.00021086,             0.00021086,             0.00021086
                     50,                 1.7027,                 1.2139,                 1.1523,                0.24036,                0.14263,                0.10439,                0.03837,                 2.7363,                 2.0988,                 1.5879,             0.00021039,             0.00021039,             0.00021039
                     51,                    1.7,                 1.2075,                 1.1486,                0.22835,                0.16614,                0.11531,                0.04242,                 2.7529,                   2.04,                 1.5964,             0.00020993,             0.00020993,             0.00020993
