                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2458,                 6.0199,                 2.9016,                0.05336,                0.04334,                0.01167,                0.00239,                  3.935,                 3.4248,                 1.9573,              2.796e-05,              2.796e-05,              2.796e-05
                      2,                 3.8803,                  3.629,                 2.2688,                0.05884,                0.08204,                0.01747,                0.00409,                 3.6443,                 22.324,                 1.8524,             5.8249e-05,             5.8249e-05,             5.8249e-05
                      3,                 3.5874,                 3.2122,                 2.0398,                0.16256,                0.08204,                0.03992,                0.01249,                 3.3378,                 5.2688,                 1.7084,             8.8537e-05,             8.8537e-05,             8.8537e-05
                      4,                 3.3916,                 2.8839,                    1.9,                0.11385,                0.15944,                0.06564,                0.02174,                 3.0744,                 6.8382,                 1.6505,             0.00011882,             0.00011882,             0.00011882
                      5,                 3.3093,                 2.8881,                 1.8994,                0.11382,                0.18111,                 0.0486,                 0.0134,                 3.0267,                 4.6443,                 1.6209,              0.0001491,              0.0001491,              0.0001491
                      6,                 3.0849,                 2.6145,                  1.839,                0.10669,                0.11765,                0.04476,                0.01538,                 2.9885,                  2.839,                 1.5655,             0.00017937,             0.00017937,             0.00017937
                      7,                 3.2175,                 2.6065,                 1.7908,                0.07071,                0.14551,                0.02775,                0.00803,                  3.048,                  6.791,                 1.5758,             0.00020963,             0.00020963,             0.00020963
                      8,                 3.0897,                 2.6658,                 1.8017,                0.16902,                0.14551,                0.07504,                0.02072,                 2.9687,                  3.495,                 1.6186,             0.00023289,             0.00023289,             0.00023289
                      9,                 3.0248,                 2.5056,                 1.7609,                0.14388,                0.17183,                0.06873,                0.02297,                 2.8822,                 3.1216,                 1.5584,             0.00023285,             0.00023285,             0.00023285
                     10,                 2.9723,                 2.4205,                 1.8191,                0.19496,                0.16099,                0.08659,                0.02777,                 2.9136,                 2.3824,                 1.6101,             0.00023282,             0.00023282,             0.00023282
                     11,                 3.0517,                 2.3698,                 1.7854,                0.21688,                0.14362,                0.09831,                  0.031,                 2.8333,                 2.1716,                 1.5357,             0.00023277,             0.00023277,             0.00023277
                     12,                 2.9735,                 2.3203,                 1.7622,                0.22185,                0.17183,                0.11215,                0.04047,                 2.8582,                 1.9371,                 1.5615,             0.00023272,             0.00023272,             0.00023272
                     13,                  2.918,                 2.2405,                 1.7265,                0.17712,                0.15789,                0.08939,                0.02822,                 2.9373,                 2.3975,                 1.5864,             0.00023267,             0.00023267,             0.00023267
                     14,                 2.8769,                  2.199,                 1.7271,                0.19705,                0.16409,                 0.1097,                 0.0369,                 2.8694,                 2.0655,                 1.5415,             0.00023262,             0.00023262,             0.00023262
                     15,                  2.902,                 2.2014,                 1.6705,                0.22508,                0.17337,                0.10834,                0.04086,                 2.8712,                 2.0593,                 1.5612,             0.00023255,             0.00023255,             0.00023255
                     16,                 2.7848,                 2.2123,                 1.6681,                 0.1991,                0.20124,                0.11803,                 0.0443,                   2.79,                 2.1143,                 1.5351,             0.00023249,             0.00023249,             0.00023249
                     17,                 2.7413,                 2.1529,                 1.6524,                0.20308,                0.18885,                0.11507,                0.04239,                 2.8706,                 2.1438,                 1.5709,             0.00023242,             0.00023242,             0.00023242
                     18,                 2.7982,                  2.157,                 1.6764,                 0.2028,                0.18885,                0.11235,                0.04359,                  2.872,                 2.0255,                 1.5616,             0.00023234,             0.00023234,             0.00023234
                     19,                 2.7149,                 2.1099,                 1.5997,                 0.2383,                0.18742,                 0.1221,                0.04197,                  2.903,                 2.0838,                 1.5981,             0.00023226,             0.00023226,             0.00023226
                     20,                 2.7973,                 2.1311,                 1.6345,                0.21077,                0.16099,                0.10034,                0.03547,                 2.8797,                 2.0492,                 1.6094,             0.00023218,             0.00023218,             0.00023218
                     21,                 2.6204,                   2.08,                 1.6289,                0.24921,                0.19505,                0.12495,                 0.0447,                 2.7748,                 1.9023,                 1.5964,             0.00023209,             0.00023209,             0.00023209
                     22,                 2.5849,                 2.0374,                 1.6011,                0.29165,                0.19505,                0.13479,                 0.0467,                 2.8295,                 1.9815,                 1.5948,               0.000232,               0.000232,               0.000232
                     23,                 2.5446,                 1.9872,                 1.5951,                0.27045,                0.20433,                0.13351,                0.05082,                  2.751,                 1.9998,                 1.5444,              0.0002319,              0.0002319,              0.0002319
                     24,                 2.4897,                 1.9608,                 1.5617,                0.29473,                0.16563,                0.13529,                0.04891,                 2.7982,                 2.0076,                 1.5923,              0.0002318,              0.0002318,              0.0002318
                     25,                 2.5287,                  1.907,                   1.55,                0.28986,                0.18266,                0.13676,                0.05325,                  2.722,                  1.889,                 1.5285,             0.00023169,             0.00023169,             0.00023169
                     26,                 2.5598,                 1.9529,                 1.5797,                0.30895,                0.17647,                0.12712,                0.04513,                 2.7965,                 1.8826,                 1.5688,             0.00023158,             0.00023158,             0.00023158
                     27,                 2.4691,                 1.9383,                 1.5164,                0.27416,                0.16718,                0.11475,                0.04313,                 2.7073,                 1.9369,                 1.5387,             0.00023146,             0.00023146,             0.00023146
