                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2958,                 5.9138,                 3.0087,                0.00876,                0.09752,                0.00601,                0.00153,                 3.8072,                 4.3905,                 1.9941,              2.796e-05,              2.796e-05,              2.796e-05
                      2,                 3.9462,                  3.922,                 2.4462,                0.04321,                0.07121,                 0.0147,                0.00429,                 3.7515,                 3.4213,                 1.7735,             5.8249e-05,             5.8249e-05,             5.8249e-05
                      3,                 3.6351,                 3.3088,                 2.1029,                0.04437,                0.08359,                0.01815,                0.00532,                 3.5031,                 3.0261,                 1.7421,             8.8537e-05,             8.8537e-05,             8.8537e-05
                      4,                 3.4524,                 3.0227,                  1.982,                0.12897,                0.10836,                0.05428,                0.02164,                 3.2033,                 2.9528,                 1.7574,             0.00011882,             0.00011882,             0.00011882
                      5,                 3.3218,                 2.9413,                 2.0102,                 0.1797,                0.12848,                0.06454,                0.02339,                 3.1672,                 2.9386,                 1.7541,              0.0001491,              0.0001491,              0.0001491
                      6,                  3.163,                  2.729,                 1.9166,                0.15568,                0.06192,                0.03779,                0.01473,                 3.1384,                 2.5481,                 1.7026,             0.00017937,             0.00017937,             0.00017937
                      7,                 3.1767,                 2.7827,                 1.8724,                0.18779,                0.13622,                0.08693,                0.03038,                 3.1337,                  3.063,                 1.7514,             0.00020963,             0.00020963,             0.00020963
                      8,                 3.1406,                 2.6898,                 1.9274,                 0.1567,                0.12848,                0.07504,                 0.0281,                 3.0444,                 3.1321,                 1.7263,             0.00023289,             0.00023289,             0.00023289
                      9,                 3.0176,                 2.4987,                 1.8079,                0.15529,                0.13313,                0.06356,                 0.0212,                 2.9919,                 3.2548,                 1.6901,             0.00023285,             0.00023285,             0.00023285
                     10,                 2.9109,                 2.3788,                 1.8322,                0.21455,                0.15789,                0.10152,                0.03785,                 2.9482,                 2.6309,                 1.6786,             0.00023282,             0.00023282,             0.00023282
                     11,                 3.0112,                 2.3923,                 1.8335,                0.22198,                0.14551,                0.11442,                 0.0413,                 2.9055,                 2.5848,                 1.6229,             0.00023277,             0.00023277,             0.00023277
                     12,                  2.987,                 2.4227,                 1.8102,                0.20571,                0.13003,                 0.0933,                0.03082,                 3.0744,                 2.3332,                 1.7045,             0.00023272,             0.00023272,             0.00023272
                     13,                 2.9027,                 2.2958,                 1.7821,                0.19802,                0.17028,                 0.1031,                0.03902,                 2.8934,                 2.1567,                 1.6315,             0.00023267,             0.00023267,             0.00023267
                     14,                  2.859,                 2.1929,                 1.7578,                0.20841,                0.17957,                 0.1173,                0.04149,                  2.893,                 2.2136,                 1.6903,             0.00023262,             0.00023262,             0.00023262
                     15,                 2.8723,                 2.1607,                  1.703,                0.23374,                0.15789,                 0.1182,                0.04628,                 2.8225,                 2.1173,                 1.6269,             0.00023255,             0.00023255,             0.00023255
                     16,                 2.8034,                 2.1599,                 1.6912,                 0.2372,                0.15635,                0.11191,                0.04375,                 2.8793,                 2.0432,                 1.6688,             0.00023249,             0.00023249,             0.00023249
                     17,                 2.7249,                 2.0905,                 1.6839,                0.23424,                0.16563,                0.12483,                0.04665,                 2.7524,                 1.9911,                 1.5845,             0.00023242,             0.00023242,             0.00023242
                     18,                 2.7879,                  2.128,                 1.7386,                0.21805,                0.15789,                0.11117,                0.04276,                 2.8409,                   2.02,                 1.6309,             0.00023234,             0.00023234,             0.00023234
                     19,                 2.7081,                 2.0717,                 1.6722,                0.23176,                0.16718,                0.11208,                0.04264,                 2.8791,                 1.9445,                 1.6368,             0.00023226,             0.00023226,             0.00023226
                     20,                  2.785,                 2.1284,                 1.6687,                0.27836,                0.15167,                0.12343,                 0.0448,                 2.8849,                 1.9932,                 1.6137,             0.00023218,             0.00023218,             0.00023218
                     21,                 2.6073,                 2.0486,                 1.6435,                0.24345,                0.12229,                0.11015,                0.04202,                 2.8332,                 2.0564,                 1.5957,             0.00023209,             0.00023209,             0.00023209
                     22,                 2.6173,                 2.0252,                 1.6258,                0.24698,                0.19505,                0.11194,                0.04123,                 2.8048,                 2.1247,                 1.5834,               0.000232,               0.000232,               0.000232
                     23,                 2.5396,                 2.0074,                 1.6127,                0.25457,                0.18266,                  0.111,                0.04219,                 2.8402,                 1.9713,                 1.5917,              0.0002319,              0.0002319,              0.0002319
                     24,                 2.4783,                 1.9852,                 1.5929,                0.23615,                 0.1548,                0.11486,                0.04516,                 2.8188,                 2.0517,                   1.61,              0.0002318,              0.0002318,              0.0002318
                     25,                 2.4581,                 1.8773,                 1.5541,                 0.2233,                 0.1517,                0.10724,                0.04054,                 2.9001,                 2.0683,                 1.6558,             0.00023169,             0.00023169,             0.00023169
                     26,                 2.4784,                 1.9149,                 1.5877,                0.28108,                0.16873,                0.12827,                  0.041,                 2.9106,                 1.9733,                 1.6672,             0.00023158,             0.00023158,             0.00023158
                     27,                 2.3854,                 1.8792,                 1.5296,                0.28092,                0.16563,                0.12818,                0.04558,                 2.8461,                 1.9021,                 1.6267,             0.00023146,             0.00023146,             0.00023146
                     28,                 2.5328,                 1.8722,                 1.5806,                0.27341,                0.17028,                0.11862,                0.04575,                 2.8105,                 1.9347,                 1.5887,             0.00023134,             0.00023134,             0.00023134
                     29,                 2.4432,                 1.8716,                 1.5634,                0.24119,                0.16873,                0.11502,                0.04917,                 2.7827,                 1.9116,                  1.564,             0.00023122,             0.00023122,             0.00023122
                     30,                 2.3851,                 1.7955,                 1.5133,                0.23369,                0.16873,                0.11171,                0.04673,                 2.8283,                 1.9874,                 1.5937,             0.00023109,             0.00023109,             0.00023109
                     31,                 2.2971,                 1.7251,                 1.4802,                0.23045,                0.17337,                0.10728,                0.04205,                 2.8176,                 2.1513,                 1.6058,             0.00023096,             0.00023096,             0.00023096
                     32,                  2.293,                 1.7273,                 1.4823,                0.25467,                0.15325,                0.11372,                0.04554,                 2.8387,                 1.9112,                 1.6291,             0.00023082,             0.00023082,             0.00023082
                     33,                  2.302,                 1.7287,                 1.4725,                0.26085,                0.17183,                0.12938,                0.05189,                 2.7885,                  1.837,                 1.5891,             0.00023068,             0.00023068,             0.00023068
                     34,                 2.2298,                 1.6855,                 1.4542,                0.23698,                0.14087,                 0.1144,                0.04271,                 2.7843,                 1.9656,                 1.5734,             0.00023053,             0.00023053,             0.00023053
                     35,                 2.1776,                 1.6895,                 1.4278,                0.25848,                0.16099,                0.12441,                0.04704,                 2.7644,                 1.9204,                 1.5623,             0.00023038,             0.00023038,             0.00023038
                     36,                 2.1046,                 1.5909,                 1.3887,                0.25906,                0.16718,                0.12052,                0.04508,                 2.8681,                 1.8566,                  1.623,             0.00023022,             0.00023022,             0.00023022
                     37,                 2.1297,                 1.6292,                 1.3999,                 0.2268,                 0.1548,                0.11433,                0.04281,                 2.8976,                 1.9408,                  1.652,             0.00023006,             0.00023006,             0.00023006
                     38,                 2.1525,                 1.5694,                 1.3932,                0.23387,                0.14241,                0.11039,                0.04427,                 2.9272,                 1.9419,                 1.6379,              0.0002299,              0.0002299,              0.0002299
                     39,                 2.1017,                 1.5427,                 1.3724,                0.23168,                 0.1517,                 0.1168,                0.04728,                 2.8784,                 2.0521,                 1.6055,             0.00022973,             0.00022973,             0.00022973
                     40,                 1.9837,                 1.4805,                 1.3394,                0.23829,                0.14241,                0.11326,                0.04287,                 2.9155,                 1.9817,                  1.625,             0.00022955,             0.00022955,             0.00022955
                     41,                 2.1576,                 1.5781,                 1.3882,                0.21857,                0.15015,                0.10423,                0.04089,                 2.9486,                 2.0628,                 1.6691,             0.00022938,             0.00022938,             0.00022938
                     42,                 2.0696,                 1.5551,                 1.3663,                0.24049,                0.16099,                0.11293,                0.04355,                  2.879,                 2.0101,                  1.629,             0.00022919,             0.00022919,             0.00022919
                     43,                 2.0308,                 1.5116,                 1.3659,                0.24515,                0.14861,                0.11492,                0.04472,                 2.9147,                 2.0082,                 1.6333,             0.00022901,             0.00022901,             0.00022901
                     44,                 1.9454,                 1.4133,                 1.3064,                0.22575,                 0.1548,                0.11586,                0.04611,                 2.8482,                 1.9684,                 1.6239,             0.00022882,             0.00022882,             0.00022882
                     45,                 1.9436,                 1.4064,                  1.298,                0.24947,                0.14551,                  0.111,                0.04389,                 2.8685,                 1.9607,                  1.598,             0.00022862,             0.00022862,             0.00022862
                     46,                 1.9508,                 1.4047,                 1.3028,                0.24588,                0.13678,                0.11063,                0.04632,                 2.8135,                 1.9372,                 1.6071,             0.00022842,             0.00022842,             0.00022842
                     47,                 1.9693,                 1.4451,                 1.3017,                0.23785,                0.16232,                0.11355,                0.04267,                 2.8588,                 1.9257,                 1.6141,             0.00022822,             0.00022822,             0.00022822
                     48,                 1.8766,                 1.3532,                 1.2843,                0.23911,                0.14396,                0.10129,                 0.0363,                 2.9174,                 2.0354,                 1.6484,             0.00022801,             0.00022801,             0.00022801
                     49,                 1.8838,                 1.3164,                 1.2526,                0.24892,                 0.1548,                  0.113,                0.04384,                 2.8577,                   1.97,                 1.6295,             0.00022779,             0.00022779,             0.00022779
                     50,                 1.8803,                 1.3317,                 1.2752,                  0.238,                0.14706,                0.11432,                0.04153,                 2.8544,                 2.0367,                 1.6362,             0.00022758,             0.00022758,             0.00022758
                     51,                 1.8576,                 1.3236,                 1.2598,                0.24991,                0.15789,                0.11307,                0.04396,                 2.8493,                 2.0418,                 1.6431,             0.00022736,             0.00022736,             0.00022736
                     52,                 1.8292,                 1.2786,                 1.2434,                0.18857,                0.14706,                0.09981,                 0.0384,                 2.8809,                 2.2389,                 1.6233,             0.00022713,             0.00022713,             0.00022713
                     53,                   1.81,                 1.2978,                 1.2582,                0.17346,                0.14551,                0.09206,                0.03492,                 2.9692,                 2.1299,                 1.6839,              0.0002269,              0.0002269,              0.0002269
                     54,                 1.7879,                 1.2518,                 1.2418,                0.21502,                0.17978,                0.11806,                0.04487,                 2.8605,                 1.9605,                 1.6393,             0.00022666,             0.00022666,             0.00022666
