                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.295,                 6.9385,                 3.0257,                0.00307,                0.06347,                0.00718,                0.00204,                 3.9219,                 5.4045,                 2.0425,              2.796e-05,              2.796e-05,              2.796e-05
                      2,                 4.0959,                 4.4626,                  2.469,                0.04349,                 0.0387,                0.01084,                0.00232,                 3.6804,                 15.381,                 1.7826,             5.8249e-05,             5.8249e-05,             5.8249e-05
                      3,                 3.7517,                 3.4599,                 2.0804,                0.09744,                0.08824,                0.03121,                 0.0098,                 3.5631,                 9.6568,                 1.7108,             8.8537e-05,             8.8537e-05,             8.8537e-05
                      4,                 3.6157,                 3.0501,                 1.9116,                0.07103,                0.11146,                0.02301,                0.00643,                 3.3491,                 23.236,                 1.6913,             0.00011882,             0.00011882,             0.00011882
                      5,                 3.4948,                 2.8847,                 1.8818,                0.13198,                0.10526,                0.05532,                0.01726,                  3.184,                 7.5049,                 1.6087,              0.0001491,              0.0001491,              0.0001491
                      6,                 3.2009,                 2.5942,                 1.8106,                0.17018,                0.10062,                0.06954,                0.02603,                 3.1143,                 2.6559,                 1.5702,             0.00017937,             0.00017937,             0.00017937
                      7,                 3.3138,                 2.6875,                 1.7973,                0.15241,                0.11765,                0.06355,                0.01959,                 3.2199,                 3.3034,                 1.5997,             0.00020963,             0.00020963,             0.00020963
                      8,                 3.2035,                 2.6098,                 1.7802,                0.19178,                0.13622,                0.08187,                 0.0261,                 3.1162,                 2.6959,                 1.5572,             0.00023289,             0.00023289,             0.00023289
                      9,                 3.0672,                  2.482,                 1.7342,                0.17993,                0.15015,                 0.0902,                0.03191,                 3.0234,                 2.2203,                 1.5621,             0.00023285,             0.00023285,             0.00023285
                     10,                 3.0139,                 2.3865,                 1.7661,                0.22447,                0.12229,                0.08258,                0.02887,                 2.9951,                 2.2982,                 1.5634,             0.00023282,             0.00023282,             0.00023282
                     11,                 3.1349,                 2.3989,                  1.741,                0.19116,                0.14861,                0.10449,                0.03338,                  3.013,                 2.0522,                 1.5354,             0.00023277,             0.00023277,             0.00023277
                     12,                  3.072,                  2.372,                 1.7343,                0.16143,                0.12539,                0.07255,                0.02348,                 3.0941,                 2.1659,                 1.5798,             0.00023272,             0.00023272,             0.00023272
                     13,                 2.9637,                 2.2696,                 1.7151,                 0.2128,                0.15944,                0.10804,                0.03559,                 2.9296,                 2.0284,                 1.5344,             0.00023267,             0.00023267,             0.00023267
                     14,                 2.8664,                 2.1699,                 1.6648,                0.20805,                0.14861,                 0.1015,                 0.0377,                 2.8145,                 2.0571,                 1.4971,             0.00023262,             0.00023262,             0.00023262
                     15,                  2.913,                 2.1939,                 1.5962,                  0.197,                0.15609,                0.10266,                0.03816,                  2.833,                 2.0332,                 1.5034,             0.00023255,             0.00023255,             0.00023255
                     16,                 2.7656,                 2.1669,                 1.6022,                0.26243,                0.16254,                0.11377,                0.04098,                 2.8728,                 1.9469,                 1.5257,             0.00023249,             0.00023249,             0.00023249
