                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2689,                 5.9303,                 2.9699,                      0,                      0,                      0,                      0,                 3.8368,                 5.2748,                 2.1566,              2.796e-05,              2.796e-05,              2.796e-05
                      2,                 4.1686,                 5.6582,                 2.5566,                      0,                      0,                      0,                      0,                 3.5878,                 5.1737,                 1.8123,             5.8249e-05,             5.8249e-05,             5.8249e-05
                      3,                 3.9311,                 5.2798,                 2.1875,                      0,                      0,                      0,                      0,                 3.6369,                 5.0081,                 1.7149,             8.8537e-05,             8.8537e-05,             8.8537e-05
                      4,                 3.7705,                 4.5917,                 1.9733,                0.01141,                0.00929,                 0.0082,                 0.0037,                 3.5673,                 4.7002,                  1.705,             0.00011882,             0.00011882,             0.00011882
                      5,                 3.7639,                 3.9978,                 1.9773,                0.01862,                0.02167,                0.01219,                0.00539,                 3.4678,                 4.1922,                 1.6893,              0.0001491,              0.0001491,              0.0001491
                      6,                 3.5677,                 3.4332,                 1.9193,                0.01923,                0.25542,                0.02202,                0.00638,                 3.5073,                 2.9148,                 1.7422,             0.00017937,             0.00017937,             0.00017937
                      7,                 3.6297,                 3.2509,                 1.8815,                0.06087,                0.11146,                0.02537,                0.00775,                 3.4926,                 2.4872,                 1.6891,             0.00020963,             0.00020963,             0.00020963
                      8,                 3.5572,                 3.1749,                 1.8514,                0.10995,                0.09907,                0.04644,                0.01242,                 3.4265,                 2.3443,                 1.6901,             0.00023289,             0.00023289,             0.00023289
                      9,                  3.466,                 3.0677,                 1.8044,                 0.1445,                0.09907,                0.06045,                0.01592,                 3.3573,                 2.3368,                 1.6805,             0.00023285,             0.00023285,             0.00023285
                     10,                 3.4588,                 2.9906,                 1.8211,                 0.1532,                0.08978,                0.06644,                0.01826,                 3.3896,                 2.3719,                  1.681,             0.00023282,             0.00023282,             0.00023282
                     11,                 3.4715,                 2.9186,                 1.7758,                0.16581,                 0.1161,                0.08793,                0.02896,                 3.2289,                 2.1964,                 1.5914,             0.00023277,             0.00023277,             0.00023277
                     12,                 3.4405,                 2.9342,                 1.7832,                0.16484,                0.13313,                0.09246,                0.02753,                 3.2632,                 2.1857,                 1.6071,             0.00023272,             0.00023272,             0.00023272
                     13,                  3.389,                 2.8207,                 1.7764,                0.18271,                0.13313,                0.08819,                0.02778,                 3.2928,                 2.1765,                 1.6452,             0.00023267,             0.00023267,             0.00023267
                     14,                 3.3033,                 2.7794,                 1.7682,                0.20297,                0.14396,                 0.0915,                0.02929,                 3.1938,                 2.1204,                 1.6087,             0.00023262,             0.00023262,             0.00023262
                     15,                 3.3618,                 2.7607,                 1.7145,                0.18496,                0.14706,                0.08886,                0.02944,                 3.1167,                 2.1638,                 1.5484,             0.00023255,             0.00023255,             0.00023255
                     16,                 3.2454,                 2.7726,                 1.7019,                0.18945,                0.14582,                0.09122,                0.02894,                  3.184,                 2.0691,                 1.6061,             0.00023249,             0.00023249,             0.00023249
                     17,                 3.1728,                 2.6977,                 1.7071,                0.20601,                0.14087,                0.09692,                0.02781,                 3.2123,                 2.0501,                 1.6275,             0.00023242,             0.00023242,             0.00023242
                     18,                 3.2307,                 2.6892,                 1.7317,                0.21135,                0.13313,                0.10169,                0.03159,                 3.1094,                 2.0502,                 1.5728,             0.00023234,             0.00023234,             0.00023234
                     19,                 3.2011,                 2.6534,                 1.6833,                0.23194,                0.13777,                0.10406,                0.03503,                 3.0317,                 1.9954,                 1.5535,             0.00023226,             0.00023226,             0.00023226
                     20,                  3.234,                 2.6699,                 1.7244,                0.23875,                0.11455,                0.09473,                0.02984,                  3.067,                 2.1187,                 1.5772,             0.00023218,             0.00023218,             0.00023218
                     21,                 3.1712,                 2.6767,                 1.7319,                0.25681,                0.10217,                0.09077,                0.02738,                 3.1717,                 2.1645,                  1.614,             0.00023209,             0.00023209,             0.00023209
                     22,                 3.1198,                 2.5993,                 1.6972,                0.28966,                0.13003,                0.11127,                0.03702,                 3.0271,                 2.0758,                 1.5389,               0.000232,               0.000232,               0.000232
                     23,                 3.1105,                 2.6097,                 1.6604,                0.23319,                0.13622,                0.10563,                0.03712,                 2.9825,                 2.0299,                 1.4998,              0.0002319,              0.0002319,              0.0002319
                     24,                 3.0343,                 2.5646,                 1.6427,                0.23453,                0.14241,                0.10426,                0.03649,                 3.0344,                 2.0662,                 1.5457,              0.0002318,              0.0002318,              0.0002318
                     25,                 3.1141,                 2.5718,                 1.6816,                0.27088,                0.14551,                0.11194,                0.03907,                 2.9607,                 2.0109,                 1.5147,             0.00023169,             0.00023169,             0.00023169
                     26,                 3.0736,                 2.5458,                 1.6891,                0.26939,                0.13313,                0.09897,                0.03266,                 3.0067,                 2.0931,                 1.5437,             0.00023158,             0.00023158,             0.00023158
                     27,                 3.0375,                 2.5745,                 1.6522,                0.28154,                 0.1192,                0.10318,                0.03507,                 2.9163,                 2.1004,                 1.5051,             0.00023146,             0.00023146,             0.00023146
                     28,                 3.0741,                 2.5106,                 1.6618,                0.27864,                0.14551,                0.12508,                0.04198,                  2.867,                 1.9663,                  1.481,             0.00023134,             0.00023134,             0.00023134
                     29,                 2.9985,                 2.5774,                 1.6518,                0.26554,                0.14551,                0.12069,                0.03775,                 2.9451,                 1.9634,                 1.5158,             0.00023122,             0.00023122,             0.00023122
                     30,                 3.0335,                 2.5109,                 1.6711,                0.24361,                0.13158,                0.10289,                0.03584,                 2.9524,                 2.0415,                 1.5216,             0.00023109,             0.00023109,             0.00023109
                     31,                 3.0206,                 2.4972,                 1.6387,                0.23778,                0.14706,                0.11539,                0.04142,                 2.9063,                 1.9909,                 1.4839,             0.00023096,             0.00023096,             0.00023096
                     32,                 2.9983,                 2.4937,                 1.6298,                0.26793,                0.13467,                0.11305,                0.03975,                 2.9997,                 1.9848,                 1.5226,             0.00023082,             0.00023082,             0.00023082
                     33,                  3.025,                  2.517,                 1.6441,                0.28134,                0.12848,                0.11746,                0.04113,                 2.9351,                  2.012,                 1.5141,             0.00023068,             0.00023068,             0.00023068
