                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3356,                 32.403,                 2.8733,                 0.0001,                 0.0031,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,                  0.082,                  0.002,                  0.002
                      2,                 4.1929,                 3.8507,                 2.4458,                 0.0001,                 0.0031,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,                 0.0631,                 0.0041,                 0.0041
                      3,                  4.139,                 3.3465,                 2.3528,                 0.0001,                 0.0031,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,                 0.0442,              0.0061998,              0.0061998
                      4,                 4.1821,                 3.2353,                 2.3572,                 0.0001,                 0.0031,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,               0.025299,              0.0082993,              0.0082993
                      5,                 4.1181,                  3.064,                 2.2982,                0.00087,                0.01084,                0.00032,                 0.0001,                    nan,                    nan,                    nan,              0.0099984,              0.0099984,              0.0099984
                      6,                 4.1792,                 3.3011,                 2.2879,                0.00066,                0.00774,                0.00034,                  6e-05,                    nan,                    nan,                    nan,              0.0099976,              0.0099976,              0.0099976
                      7,                 4.0733,                 2.9696,                 2.3041,                0.00066,                0.00774,                0.00034,                  6e-05,                 2.0739,                    nan,                0.87248,              0.0099965,              0.0099965,              0.0099965
                      8,                 4.0206,                 2.9492,                 2.2967,                0.00066,                0.00774,                0.00034,                  6e-05,                    nan,                    nan,                    nan,              0.0099952,              0.0099952,              0.0099952
                      9,                 4.0038,                 2.9621,                 2.2489,                0.00722,                 0.0418,                0.00416,                0.00123,                  4.313,                 4.5552,                 2.2104,              0.0099937,              0.0099937,              0.0099937
                     10,                 3.9539,                 2.8838,                 2.2112,                0.00595,                0.01084,                0.00168,                0.00039,                 4.1953,                 6.0749,                 2.5206,              0.0099921,              0.0099921,              0.0099921
                     11,                 3.9041,                   2.95,                 2.2787,                0.01936,                0.01084,                0.00363,                0.00131,                   3.95,                 4.3855,                 2.3449,              0.0099902,              0.0099902,              0.0099902
                     12,                 3.9156,                 2.9931,                 2.2134,                0.01162,                0.21827,                0.01514,                0.00706,                 3.8124,                 3.0038,                 2.0306,              0.0099882,              0.0099882,              0.0099882
                     13,                 3.8244,                 2.9102,                 2.1397,                0.00659,                0.18731,                0.00836,                0.00229,                 3.8052,                 3.3743,                 2.0609,              0.0099859,              0.0099859,              0.0099859
                     14,                 3.8276,                 2.8989,                 2.1732,                0.01227,                0.05263,                 0.0062,                0.00145,                 3.9652,                 6.4202,                 2.2272,              0.0099835,              0.0099835,              0.0099835
                     15,                 3.7682,                 2.8367,                 2.1223,                0.13413,                0.03715,                0.02457,                 0.0078,                 3.7649,                 3.8649,                 2.0319,              0.0099809,              0.0099809,              0.0099809
                     16,                 3.8387,                 2.9132,                  2.104,                0.06387,                0.07585,                0.02172,                0.00556,                 3.6758,                 3.1648,                 2.0114,               0.009978,               0.009978,               0.009978
                     17,                 3.7673,                 2.8088,                  2.054,                0.10069,                0.07121,                0.03024,                 0.0077,                  3.637,                  2.793,                 2.0334,               0.009975,               0.009975,               0.009975
                     18,                 3.7791,                 2.8087,                 2.1064,                0.10495,                0.06502,                0.02425,                 0.0059,                 3.6846,                 3.1873,                 2.0423,              0.0099718,              0.0099718,              0.0099718
                     19,                 3.7287,                 2.8645,                 2.1262,                0.03405,                0.04025,                0.00853,                0.00231,                 3.8602,                 4.6378,                 2.1867,              0.0099684,              0.0099684,              0.0099684
                     20,                 3.8023,                 2.7889,                 2.0947,                0.07833,                0.04644,                0.02018,                0.00523,                  3.745,                 4.7423,                 2.0558,              0.0099648,              0.0099648,              0.0099648
                     21,                 3.7315,                 2.7471,                 2.0935,                0.08014,                0.04644,                0.02146,                0.00511,                 3.7136,                 3.9686,                 2.1098,               0.009961,               0.009961,               0.009961
                     22,                 3.6288,                 2.7277,                 2.0945,                0.11617,                0.08514,                0.03717,                0.01212,                 3.6144,                 4.6137,                  2.139,               0.009957,               0.009957,               0.009957
                     23,                 3.7467,                 2.7416,                 2.0525,                0.14607,                0.04799,                0.03129,                0.00948,                 3.8086,                  2.872,                 2.0427,              0.0099528,              0.0099528,              0.0099528
                     24,                 3.8046,                 2.8316,                 2.0637,                0.00812,                0.22601,                0.02474,                 0.0069,                 3.7062,                 3.2459,                 2.0636,              0.0099484,              0.0099484,              0.0099484
                     25,                 3.6522,                 2.7854,                  2.034,                0.11591,                0.10991,                0.04471,                0.01175,                 3.5832,                 2.7125,                 2.0133,              0.0099438,              0.0099438,              0.0099438
                     26,                 3.7221,                  2.859,                 2.0715,                 0.0152,                0.06502,                0.00707,                 0.0019,                 3.8069,                 3.9372,                 2.1584,              0.0099391,              0.0099391,              0.0099391
