                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4911,                 35.442,                 3.5191,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  0.082,                  0.002,                  0.002
                      2,                 4.4907,                 5.8992,                 4.0613,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0631,                 0.0041,                 0.0041
                      3,                 4.4167,                 3.9741,                 3.1141,                      0,                      0,                      0,                      0,                 5.2488,                 7.9289,                 23.211,                 0.0442,              0.0061998,              0.0061998
                      4,                 4.3716,                 4.1511,                 2.7009,                      0,                      0,                      0,                      0,                  4.757,                 6.0911,                 27.187,               0.025299,              0.0082993,              0.0082993
                      5,                  4.464,                 39.631,                 2.7697,                      0,                      0,                      0,                      0,                 5.0319,                 6.1928,                 59.984,              0.0099984,              0.0099984,              0.0099984
                      6,                 4.4577,                 13.568,                 2.8578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099976,              0.0099976,              0.0099976
                      7,                 4.3616,                 4.4152,                  2.614,                      0,                      0,                      0,                      0,                      0,                 10.625,                      0,              0.0099965,              0.0099965,              0.0099965
                      8,                 4.3393,                 6.9303,                 2.4173,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0099952,              0.0099952,              0.0099952
                      9,                 4.3446,                 5.8586,                 2.4284,                0.00012,                 0.0031,                  6e-05,                  2e-05,                 5.0137,                    inf,                 127.39,              0.0099937,              0.0099937,              0.0099937
                     10,                  4.322,                 3.5005,                 2.3594,                0.00065,                0.02012,                0.00036,                  8e-05,                 5.7756,                 2179.2,                 64.243,              0.0099921,              0.0099921,              0.0099921
                     11,                 4.3799,                 5.4324,                 2.4151,                0.00107,                0.00155,                0.00056,                0.00011,                      0,                 14.869,                      0,              0.0099902,              0.0099902,              0.0099902
                     12,                 4.3803,                 5.8374,                 2.3984,                0.00107,                0.00155,                0.00056,                0.00011,                      0,                      0,                      0,              0.0099882,              0.0099882,              0.0099882
                     13,                 4.3719,                 4.1366,                 2.4184,                0.00107,                0.00155,                0.00056,                0.00011,                      0,                0.04353,                      0,              0.0099859,              0.0099859,              0.0099859
                     14,                 4.4358,                 3.7256,                 2.4942,                0.00107,                0.00155,                0.00056,                0.00011,                 2.8114,                 8.5568,                 1.2714,              0.0099835,              0.0099835,              0.0099835
