                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3739,                 10.338,                 3.1038,                0.04892,                0.00929,                0.00292,                0.00069,                 4.2095,                 7.0809,                 2.2864,                 0.0802,                 0.0002,                 0.0002
                      2,                 4.2362,                 7.9372,                 2.9112,                0.04547,                0.01858,                0.00593,                0.00166,                 4.0017,                 6.0899,                 2.2016,                0.05941,                0.00041,                0.00041
                      3,                 4.1382,                 6.0505,                 2.6737,                0.01216,                 0.0387,                0.00427,                0.00108,                 3.9453,                 4.9349,                 2.1929,                0.03862,             0.00061998,             0.00061998
                      4,                  4.078,                 4.9472,                 2.4839,                0.02592,                0.03715,                0.00644,                0.00167,                 3.9306,                 8.0274,                 1.9199,                0.01783,             0.00082993,             0.00082993
                      5,                 3.9309,                 4.4079,                 2.2258,                0.03845,                0.03406,                0.01233,                0.00432,                 3.8456,                 4.4672,                 1.8532,             0.00099984,             0.00099984,             0.00099984
                      6,                 3.8891,                 4.7613,                 2.1781,                0.05264,                 0.0418,                0.01106,                0.00323,                 3.7589,                 3.6451,                 1.8923,             0.00099976,             0.00099976,             0.00099976
                      7,                 3.6927,                 3.6179,                 2.0769,                0.07947,                0.07276,                0.02515,                0.00841,                 3.6707,                 4.0262,                 1.8976,             0.00099965,             0.00099965,             0.00099965
                      8,                 3.5628,                 3.4339,                 2.0212,                0.13972,                 0.0743,                0.04432,                0.01514,                 3.5001,                 3.0183,                 1.8627,             0.00099952,             0.00099952,             0.00099952
                      9,                 3.5585,                  3.243,                  1.966,                 0.1494,                0.10062,                0.05708,                0.01699,                 3.4543,                 2.9059,                 1.8218,             0.00099937,             0.00099937,             0.00099937
                     10,                 3.4451,                  2.982,                 1.8801,                0.22717,                0.09443,                0.06758,                0.02293,                 3.2616,                 2.7951,                 1.7305,             0.00099921,             0.00099921,             0.00099921
                     11,                 3.3904,                 2.9468,                 1.8829,                0.19509,                0.07585,                0.05778,                0.01934,                  3.224,                 2.8056,                 1.7313,             0.00099902,             0.00099902,             0.00099902
                     12,                 3.3228,                 2.9621,                 1.8374,                 0.1974,                0.08824,                0.06703,                0.02289,                 3.2598,                 2.7392,                 1.7376,             0.00099882,             0.00099882,             0.00099882
                     13,                 3.2004,                 2.7732,                 1.8074,                0.24342,                0.10217,                 0.0815,                0.02564,                  3.274,                 2.5396,                 1.7404,             0.00099859,             0.00099859,             0.00099859
                     14,                 3.2124,                  2.712,                 1.8447,                0.25278,                 0.0743,                0.07482,                 0.0248,                 3.3457,                 2.4421,                 1.7745,             0.00099835,             0.00099835,             0.00099835
                     15,                 3.1313,                 2.6274,                 1.7652,                0.23441,                0.09752,                0.08295,                0.02704,                 3.2324,                 2.4122,                 1.7338,             0.00099809,             0.00099809,             0.00099809
                     16,                 3.1477,                 2.7282,                 1.7409,                0.29215,                0.07986,                0.08259,                0.02989,                 3.1591,                 2.4676,                 1.6908,              0.0009978,              0.0009978,              0.0009978
                     17,                 3.1011,                 2.6197,                 1.6969,                0.27989,                0.10526,                 0.0934,                0.03315,                 3.0831,                 2.3725,                  1.685,              0.0009975,              0.0009975,              0.0009975
                     18,                 3.0229,                 2.5324,                 1.7188,                0.24657,                0.10991,                0.09642,                0.03419,                 3.2312,                 2.3303,                 1.7114,             0.00099718,             0.00099718,             0.00099718
                     19,                 2.9767,                 2.5335,                   1.72,                0.29029,                0.10836,                0.09934,                0.03636,                 3.0808,                 2.2954,                 1.6824,             0.00099684,             0.00099684,             0.00099684
                     20,                  2.995,                 2.5173,                 1.6884,                0.24966,                0.12074,                0.10048,                0.03768,                 3.0588,                 2.3235,                 1.6384,             0.00099648,             0.00099648,             0.00099648
                     21,                 2.9414,                 2.4456,                 1.6751,                0.27025,                0.13158,                0.10379,                0.03946,                 2.9896,                 2.3146,                 1.5995,              0.0009961,              0.0009961,              0.0009961
                     22,                 2.8593,                  2.356,                 1.6381,                 0.2496,                0.13467,                0.09996,                 0.0376,                 2.9266,                 2.3079,                 1.6075,              0.0009957,              0.0009957,              0.0009957
                     23,                 2.9175,                 2.3617,                  1.664,                0.22313,                0.12938,                0.10463,                 0.0363,                 2.9706,                  2.292,                 1.6525,             0.00099528,             0.00099528,             0.00099528
                     24,                 2.8539,                 2.3078,                 1.6349,                0.25839,                 0.1192,                 0.1023,                 0.0386,                 2.9679,                 2.2292,                  1.601,             0.00099484,             0.00099484,             0.00099484
                     25,                 2.8444,                 2.3333,                 1.6248,                0.25809,                0.11765,                0.10635,                0.04156,                 2.8349,                 2.1458,                 1.6091,             0.00099438,             0.00099438,             0.00099438
