                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2869,                 9.6649,                 2.8236,                0.01169,                0.04644,                0.00338,                 0.0008,                 3.9486,                 6.3642,                  1.917,              6.524e-05,              6.524e-05,              6.524e-05
                      2,                 3.8308,                 4.9584,                 2.0795,                  0.082,                0.06192,                0.01516,                0.00342,                 3.6813,                 4.1658,                 1.7972,             0.00013255,             0.00013255,             0.00013255
                      3,                 3.6967,                 3.9801,                 2.0031,                0.11053,                0.10526,                0.03309,                0.00934,                 3.4316,                 3.9733,                 1.7379,             0.00019959,             0.00019959,             0.00019959
                      4,                  3.503,                 3.8451,                 1.9091,                0.22306,                0.05573,                0.05338,                0.01725,                 3.3349,                 2.5653,                 1.7697,             0.00023162,             0.00023162,             0.00023162
                      5,                 3.3671,                 3.1093,                 1.8231,                0.16136,                0.09752,                0.06664,                0.02234,                 3.2266,                 2.3792,                 1.6679,             0.00023115,             0.00023115,             0.00023115
                      6,                 3.1753,                 3.2112,                 1.7973,                0.25583,                0.10991,                 0.0856,                0.02663,                 3.1937,                 2.2035,                 1.7077,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.9846,                 2.8405,                 1.6845,                0.17987,                 0.1192,                0.08132,                0.02815,                 3.1056,                 2.3649,                 1.6367,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.9407,                  2.819,                 1.6257,                0.22667,                0.13777,                0.08285,                0.02693,                 3.0206,                 2.1679,                 1.5826,             0.00022977,             0.00022977,             0.00022977
                      9,                 2.9956,                 2.4944,                 1.6969,                0.25262,                0.12384,                0.09732,                0.03142,                 3.0095,                 2.2491,                 1.5932,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.8479,                 2.5746,                 1.6408,                0.27242,                0.13158,                0.11174,                0.04004,                 2.9505,                 2.1287,                 1.5783,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.9523,                 2.4496,                 1.6944,                0.25655,                0.15944,                0.10665,                0.03745,                 2.9114,                 2.1449,                  1.579,             0.00022839,             0.00022839,             0.00022839
                     12,                  2.932,                 2.4755,                  1.667,                0.22037,                0.14308,                0.09728,                0.03509,                 2.9295,                 2.2832,                 1.5678,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.8026,                 2.3153,                 1.6082,                0.24124,                0.14241,                0.10732,                0.03911,                 2.8707,                 2.0837,                 1.5665,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.8651,                 2.3605,                 1.6428,                0.23429,                0.16099,                0.10594,                0.03615,                 2.9003,                 2.2598,                 1.5984,               0.000227,               0.000227,               0.000227
                     15,                  2.826,                 2.2435,                  1.616,                0.24138,                 0.1517,                0.10425,                 0.0375,                 2.9142,                 2.1509,                  1.597,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.6759,                 2.3714,                 1.5891,                0.27306,                0.16873,                0.11728,                0.04262,                 2.8958,                 2.0589,                 1.5815,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.6747,                  2.111,                 1.5353,                0.26574,                0.15911,                0.10621,                0.03607,                   2.89,                  2.169,                 1.5827,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.6383,                 2.2771,                 1.5424,                0.27335,                0.14861,                0.11554,                0.04152,                 2.9105,                 2.1072,                 1.5768,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.6791,                 2.1418,                 1.5694,                0.26378,                0.16099,                0.12043,                0.04378,                 2.8744,                 2.0291,                 1.5371,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.6046,                 2.1281,                 1.5054,                0.33008,                 0.1548,                0.11666,                0.04251,                 2.8494,                 2.0317,                 1.5743,             0.00022423,             0.00022423,             0.00022423
                     21,                  2.671,                 2.1231,                 1.5529,                0.30949,                0.15789,                0.12159,                0.04447,                 2.8822,                 1.9919,                 1.5766,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.5309,                 2.0088,                 1.4741,                0.30227,                0.16254,                0.12444,                0.04206,                 2.9133,                 2.0327,                 1.6057,             0.00022331,             0.00022331,             0.00022331
                     23,                  2.468,                 1.9407,                 1.4635,                0.28935,                0.16563,                0.12577,                0.04602,                 2.8631,                 1.9489,                 1.5669,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.5495,                 2.0405,                 1.4912,                0.28997,                0.19195,                0.13114,                 0.0455,                  2.814,                  2.009,                 1.5675,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.5042,                 2.0552,                 1.4708,                0.27258,                0.20433,                0.14411,                0.05123,                 2.8687,                 1.9421,                  1.588,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.5337,                 1.9517,                 1.4727,                0.29101,                 0.1935,                0.13966,                0.04968,                 2.8344,                 1.9541,                 1.5765,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.4683,                 1.9375,                 1.4715,                0.42427,                0.16563,                0.14252,                0.04745,                 2.8792,                 1.9754,                 1.5923,             0.00022101,             0.00022101,             0.00022101
                     28,                  2.391,                 1.8864,                 1.4241,                0.28772,                0.17821,                0.13764,                0.04807,                 2.8454,                 1.9632,                 1.5581,             0.00022054,             0.00022054,             0.00022054
                     29,                  2.293,                 1.8192,                 1.3857,                0.30518,                0.18421,                0.13654,                 0.0492,                 2.7593,                 1.9085,                 1.5442,             0.00022008,             0.00022008,             0.00022008
                     30,                 2.3753,                 1.8359,                 1.3949,                0.33559,                0.16563,                0.13603,                0.04753,                 2.7932,                 1.9612,                  1.531,             0.00021962,             0.00021962,             0.00021962
                     31,                 2.3368,                 1.7692,                 1.3762,                0.26173,                0.17183,                0.11458,                 0.0406,                 2.8389,                 2.0029,                 1.5911,             0.00021916,             0.00021916,             0.00021916
                     32,                 2.2686,                  1.882,                 1.3354,                0.27307,                0.17957,                0.12077,                0.04073,                 2.8621,                 1.9494,                 1.5969,              0.0002187,              0.0002187,              0.0002187
                     33,                 2.1783,                 1.7286,                 1.3399,                0.24788,                0.15789,                0.10948,                   0.04,                 2.8954,                 2.0809,                 1.5879,             0.00021824,             0.00021824,             0.00021824
                     34,                 2.2588,                 1.7616,                 1.3571,                0.29724,                0.18885,                0.14218,                0.04686,                 2.8351,                  1.997,                 1.5807,             0.00021778,             0.00021778,             0.00021778
                     35,                 2.1785,                 1.6379,                 1.3219,                0.27579,                 0.1904,                0.14469,                0.05252,                 2.8066,                 1.9233,                 1.5716,             0.00021731,             0.00021731,             0.00021731
                     36,                 2.1275,                 1.6923,                 1.2772,                0.28404,                0.15325,                0.13257,                 0.0477,                 2.8035,                 1.9302,                 1.5845,             0.00021685,             0.00021685,             0.00021685
                     37,                 2.1749,                 1.7197,                  1.321,                0.30341,                0.17183,                0.14008,                0.04763,                 2.7959,                 2.0019,                 1.5847,             0.00021639,             0.00021639,             0.00021639
                     38,                 2.1204,                 1.6119,                 1.2977,                0.25561,                0.18421,                0.12971,                0.04699,                 2.8234,                 1.9953,                  1.596,             0.00021593,             0.00021593,             0.00021593
                     39,                 2.0973,                 1.5994,                 1.2933,                0.25514,                0.15635,                  0.122,                0.04483,                 2.8475,                 2.0131,                 1.5913,             0.00021547,             0.00021547,             0.00021547
                     40,                 2.1175,                 1.6305,                 1.2892,                0.24304,                 0.1548,                0.11379,                0.04064,                  2.826,                 2.0347,                 1.5856,             0.00021501,             0.00021501,             0.00021501
                     41,                  2.096,                 1.5962,                 1.2893,                0.25843,                0.16292,                0.11908,                0.04444,                 2.8046,                 2.0672,                 1.5931,             0.00021455,             0.00021455,             0.00021455
                     42,                 2.0653,                 1.5625,                 1.2922,                0.25118,                0.16408,                 0.1218,                0.04365,                 2.8579,                 2.0666,                 1.6166,             0.00021409,             0.00021409,             0.00021409
                     43,                 2.0859,                 1.5322,                 1.2576,                0.26141,                0.17802,                0.13137,                0.04771,                 2.8376,                 2.0643,                 1.5876,             0.00021362,             0.00021362,             0.00021362
                     44,                  1.918,                 1.4871,                 1.1986,                 0.2661,                0.16563,                0.12471,                0.04516,                 2.8869,                  2.037,                 1.5678,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.8652,                 1.5006,                  1.176,                0.22012,                0.17028,                0.11469,                0.04021,                 2.8695,                 2.0704,                 1.6126,              0.0002127,              0.0002127,              0.0002127
                     46,                 2.0082,                 1.4888,                 1.2507,                0.23746,                0.18576,                0.12991,                0.04936,                 2.8656,                 2.0024,                 1.6317,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.9641,                 1.5075,                 1.2255,                0.23423,                0.16478,                0.11868,                0.04115,                 2.8423,                 2.0414,                 1.6174,             0.00021178,             0.00021178,             0.00021178
