                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2382,                 6.4525,                  3.613,                0.06811,                0.13158,                0.02259,                0.00583,                 3.5478,                 4.6512,                 2.3243,              6.524e-05,              6.524e-05,              6.524e-05
                      2,                 3.3666,                 3.0832,                 2.1886,                0.10484,                0.19195,                0.04811,                0.01341,                 3.2306,                 4.6092,                 1.5695,             0.00013255,             0.00013255,             0.00013255
                      3,                 3.1035,                 2.7598,                 1.8133,                0.04014,                0.36068,                0.02868,                0.00859,                 3.1069,                 4.6274,                  1.446,             0.00019959,             0.00019959,             0.00019959
                      4,                 2.8456,                 2.9936,                  1.579,                0.09549,                0.14952,                0.04672,                0.01583,                 2.9728,                 2.6334,                 1.3583,             0.00023162,             0.00023162,             0.00023162
                      5,                 2.8369,                 2.4875,                 1.3994,                0.18301,                0.17802,                0.10378,                0.03789,                 2.8675,                  2.586,                 1.2532,             0.00023115,             0.00023115,             0.00023115
                      6,                 2.7117,                 2.7122,                 1.3512,                 0.2131,                0.21053,                0.12975,                0.04738,                 2.7563,                 3.0606,                 1.1223,             0.00023069,             0.00023069,             0.00023069
                      7,                 2.5594,                 2.8702,                  1.248,                0.26357,                0.22601,                0.17433,                0.06992,                 2.7536,                 2.5012,                 1.0948,             0.00023023,             0.00023023,             0.00023023
                      8,                 2.5583,                 2.9885,                 1.1863,                0.26878,                0.21827,                0.16784,                0.06993,                 2.5676,                 2.3525,                 1.1797,             0.00022977,             0.00022977,             0.00022977
                      9,                  2.493,                 2.2501,                 1.2673,                0.30917,                0.21981,                0.19763,                0.08233,                 2.5348,                 2.4651,                 1.1577,             0.00022931,             0.00022931,             0.00022931
                     10,                 2.3558,                 2.7843,                 1.1955,                0.31992,                0.23684,                0.21753,                0.09375,                 2.4928,                  2.393,                 1.1562,             0.00022885,             0.00022885,             0.00022885
                     11,                 2.3752,                 2.3863,                 1.2529,                0.36497,                0.21362,                0.20764,                0.09324,                 2.3481,                 2.3493,                 1.1362,             0.00022839,             0.00022839,             0.00022839
                     12,                 2.2825,                 2.1959,                 1.2213,                0.29964,                0.21392,                0.19092,                 0.0893,                  2.238,                 2.2086,                 1.1176,             0.00022793,             0.00022793,             0.00022793
                     13,                 2.2026,                 2.1362,                 1.1954,                0.26401,                0.26376,                0.18339,                 0.0862,                 2.2454,                 2.3824,                 1.0638,             0.00022746,             0.00022746,             0.00022746
                     14,                 2.2394,                 2.2286,                 1.1809,                0.32066,                0.24923,                0.22352,                0.10869,                 2.1654,                 2.0936,                 1.0377,               0.000227,               0.000227,               0.000227
                     15,                 2.1698,                 2.0819,                 1.1918,                0.35746,                0.25542,                0.23569,                0.11272,                 2.1311,                 2.1345,                 1.0506,             0.00022654,             0.00022654,             0.00022654
                     16,                 2.0461,                 2.6797,                 1.1204,                0.41917,                0.23839,                0.24659,                0.11921,                 2.1428,                 2.0751,                 1.0626,             0.00022608,             0.00022608,             0.00022608
                     17,                 2.1154,                 2.0454,                 1.1791,                0.36179,                0.28793,                0.26117,                0.12253,                 2.1484,                 2.0515,                 1.0793,             0.00022562,             0.00022562,             0.00022562
                     18,                 2.0589,                 2.7412,                 1.0995,                0.35232,                0.25542,                0.23912,                0.11199,                 2.1731,                 2.0653,                 1.0208,             0.00022516,             0.00022516,             0.00022516
                     19,                 2.1225,                 2.0806,                 1.1041,                0.34575,                 0.2678,                0.23775,                0.11764,                 2.1048,                 2.0676,                 1.0177,              0.0002247,              0.0002247,              0.0002247
                     20,                 2.0878,                 2.1097,                 1.0982,                0.34946,                0.20588,                0.21194,                0.10594,                 2.1009,                  2.091,                 1.0156,             0.00022423,             0.00022423,             0.00022423
                     21,                 2.0436,                 2.0317,                 1.1142,                0.44859,                0.25232,                 0.2622,                0.12593,                 2.0377,                 2.0175,                 1.0255,             0.00022377,             0.00022377,             0.00022377
                     22,                 2.0767,                 1.9971,                 1.1118,                0.43211,                0.26006,                0.25813,                0.11308,                 2.1349,                  2.031,                 1.0086,             0.00022331,             0.00022331,             0.00022331
                     23,                 2.1133,                 1.9929,                 1.1353,                0.47336,                0.25851,                0.26879,                 0.1255,                 2.1006,                 2.0194,                 1.0037,             0.00022285,             0.00022285,             0.00022285
                     24,                 2.1132,                 1.9957,                 1.1113,                0.38828,                0.29102,                0.27286,                0.13237,                 2.1351,                 1.9954,                 1.0586,             0.00022239,             0.00022239,             0.00022239
                     25,                 2.1318,                 2.1327,                 1.1039,                0.36996,                0.25997,                0.24004,                0.11535,                 2.1164,                 2.0121,                  1.025,             0.00022193,             0.00022193,             0.00022193
                     26,                 2.0372,                 1.9699,                 1.0918,                0.38785,                0.23839,                0.23863,                 0.1171,                 2.1066,                 2.0481,                 1.0166,             0.00022147,             0.00022147,             0.00022147
                     27,                 2.0299,                 1.9862,                 1.1081,                0.33313,                0.24923,                0.22421,                0.10913,                 2.1168,                 2.1353,                 1.0164,             0.00022101,             0.00022101,             0.00022101
                     28,                 2.0135,                 1.9685,                 1.0857,                0.44596,                0.26161,                0.27053,                0.13291,                 2.0571,                  1.978,                0.99491,             0.00022054,             0.00022054,             0.00022054
                     29,                 1.9463,                 1.9844,                 1.0713,                0.40624,                0.31269,                0.26731,                0.13046,                 2.0707,                 1.9913,                 1.0092,             0.00022008,             0.00022008,             0.00022008
                     30,                 2.0006,                 1.9393,                 1.0727,                0.38866,                0.27864,                0.25613,                 0.1252,                 2.0425,                 2.0292,                0.97959,             0.00021962,             0.00021962,             0.00021962
                     31,                 1.9784,                 1.9179,                 1.0559,                 0.3962,                 0.3065,                0.27998,                0.13645,                 1.9796,                  1.928,                0.98485,             0.00021916,             0.00021916,             0.00021916
                     32,                 1.9136,                 2.4373,                 1.0256,                0.40703,                0.25183,                0.24818,                0.12617,                  2.027,                 1.9614,                 1.0296,              0.0002187,              0.0002187,              0.0002187
                     33,                 1.8857,                 1.9554,                 1.0547,                0.46134,                0.27974,                0.27062,                0.13479,                 1.9692,                 1.9469,                0.98115,             0.00021824,             0.00021824,             0.00021824
                     34,                 1.9069,                  1.947,                 1.0177,                0.39369,                0.27399,                0.26495,                0.13312,                 1.9924,                 1.9886,                0.97382,             0.00021778,             0.00021778,             0.00021778
                     35,                 1.9024,                 1.8543,                 1.0323,                0.41228,                0.30296,                0.29203,                0.14109,                 2.0054,                 1.9365,                0.97243,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.8399,                 2.1445,                0.98986,                 0.4379,                0.28173,                0.28473,                0.14037,                 2.0693,                 1.9081,                0.97906,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.9162,                 1.9227,                 1.0496,                0.34271,                0.26316,                0.25246,                0.12464,                 2.0682,                  2.009,                0.99456,             0.00021639,             0.00021639,             0.00021639
                     38,                 1.8955,                 1.8391,                 1.0071,                  0.415,                0.29101,                   0.28,                0.14071,                 2.0043,                 1.9496,                0.97535,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.8418,                 1.8297,                 1.0255,                0.49497,                0.26935,                0.28855,                0.14278,                 2.0176,                  1.971,                0.96071,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.8553,                 1.9394,                0.99206,                0.41901,                0.27687,                 0.2831,                0.14185,                 1.9856,                 1.8877,                 1.0006,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.8637,                 1.8392,                 1.0353,                0.42878,                0.26609,                0.26652,                0.12769,                 2.0562,                 2.0108,                0.98963,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.8498,                  1.824,                 1.0116,                0.37089,                0.27709,                0.27269,                 0.1334,                 2.0731,                 1.9194,                0.98867,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.8534,                 1.8012,                  1.003,                0.40035,                0.27182,                0.27906,                0.13588,                 2.0381,                 2.0289,                 1.0002,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.7751,                 2.1102,                0.95288,                0.44445,                0.28328,                0.29962,                0.14886,                 2.0172,                 1.8915,                0.98928,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.7378,                 2.2085,                0.95109,                0.36414,                0.29876,                0.28874,                0.13776,                 2.0387,                  1.947,                0.97376,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.8415,                 1.8107,                0.98539,                0.41404,                0.30805,                0.29612,                0.14386,                 1.9717,                 1.9023,                0.96165,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.7719,                 1.7753,                0.98995,                 0.4133,                0.29225,                0.28019,                0.12759,                 2.0791,                 2.0152,                 1.0011,             0.00021178,             0.00021178,             0.00021178
                     48,                 1.8082,                 1.7043,                0.99627,                0.46519,                0.29102,                0.29774,                0.14406,                 2.0439,                 1.9532,                0.98095,             0.00021132,             0.00021132,             0.00021132
                     49,                 1.7861,                 1.7969,                0.97582,                0.42852,                0.30341,                0.28227,                0.13581,                 2.0181,                 1.9166,                0.97122,             0.00021086,             0.00021086,             0.00021086
                     50,                 1.8234,                 1.7463,                0.97875,                0.43924,                0.28173,                0.28728,                0.14677,                 2.0033,                 1.8927,                0.97317,             0.00021039,             0.00021039,             0.00021039
                     51,                 1.7489,                  1.655,                0.99018,                0.41871,                0.29721,                0.29677,                 0.1491,                 2.0395,                 1.9093,                0.99345,             0.00020993,             0.00020993,             0.00020993
                     52,                 1.7631,                 1.7315,                0.97823,                0.39362,                0.28328,                0.26844,                0.13874,                 2.0228,                 1.9879,                0.97666,             0.00020947,             0.00020947,             0.00020947
                     53,                 1.7498,                 1.6938,                0.97983,                0.44876,                0.28328,                0.28411,                0.14728,                 2.0885,                 1.9021,                 0.9861,             0.00020901,             0.00020901,             0.00020901
                     54,                  1.693,                 1.8993,                0.93686,                0.44696,                0.28775,                0.28744,                0.14506,                 2.0557,                 1.9174,                0.96971,             0.00020855,             0.00020855,             0.00020855
                     55,                  1.716,                 1.6815,                0.97388,                0.39702,                0.30495,                 0.2878,                0.13788,                 2.0444,                 1.9255,                0.98189,             0.00020809,             0.00020809,             0.00020809
                     56,                 1.7272,                 1.6695,                0.95797,                0.43635,                0.29102,                0.29654,                0.14719,                 2.0177,                 1.8459,                0.99417,             0.00020763,             0.00020763,             0.00020763
                     57,                 1.6685,                 1.6085,                0.98432,                 0.3989,                0.30186,                0.30555,                0.15164,                 2.0019,                 1.8609,                0.98945,             0.00020716,             0.00020716,             0.00020716
                     58,                 1.6658,                 1.6369,                0.96945,                0.37465,                0.31424,                0.28401,                0.14217,                 2.0149,                 1.9556,                0.97677,              0.0002067,              0.0002067,              0.0002067
                     59,                 1.6258,                 1.7127,                0.97109,                0.40866,                0.29098,                0.29401,                 0.1477,                 2.0349,                 1.9069,                0.98203,             0.00020624,             0.00020624,             0.00020624
                     60,                 1.6539,                 1.6632,                0.96358,                0.40979,                0.31734,                0.27356,                0.13833,                 2.0351,                 1.8826,                 0.9831,             0.00020578,             0.00020578,             0.00020578
                     61,                 1.6689,                 1.5902,                0.96272,                0.46196,                0.27709,                0.28679,                0.14661,                 2.0264,                   1.92,                0.97477,             0.00020532,             0.00020532,             0.00020532
                     62,                 1.6578,                 1.6118,                0.95851,                0.45483,                0.27864,                0.29093,                0.14679,                 2.0588,                 1.9191,                0.98479,             0.00020486,             0.00020486,             0.00020486
                     63,                 1.6724,                  1.567,                0.92827,                0.43205,                0.28615,                0.27945,                0.13809,                 2.0755,                 1.9669,                0.99609,              0.0002044,              0.0002044,              0.0002044
                     64,                 1.6175,                 1.5826,                0.96146,                0.42861,                0.28173,                0.27807,                0.14006,                  2.079,                 1.9926,                0.99076,             0.00020394,             0.00020394,             0.00020394
                     65,                 1.6043,                 1.5603,                0.95323,                0.40807,                   0.27,                  0.275,                 0.1407,                 2.0708,                 1.9288,                 0.9967,             0.00020347,             0.00020347,             0.00020347
                     66,                 1.6195,                 1.5407,                0.96922,                0.41854,                0.28328,                0.28753,                0.14467,                 2.0188,                 1.9523,                0.98659,             0.00020301,             0.00020301,             0.00020301
                     67,                 1.4823,                 1.4499,                0.91267,                0.42435,                0.28185,                0.28226,                0.13881,                 1.9875,                 1.8777,                0.97232,             0.00020255,             0.00020255,             0.00020255
                     68,                   1.65,                 1.6214,                0.99176,                0.36727,                0.29876,                0.26775,                0.12708,                 2.0585,                 1.9976,                0.99768,             0.00020209,             0.00020209,             0.00020209
                     69,                 1.5691,                 1.4791,                0.93723,                0.39792,                 0.3065,                0.29574,                0.14527,                 2.0191,                 1.8965,                0.96346,             0.00020163,             0.00020163,             0.00020163
                     70,                 1.5789,                 1.4693,                0.91806,                0.37568,                0.28328,                0.26699,                0.13355,                 2.0403,                 1.9619,                0.99475,             0.00020117,             0.00020117,             0.00020117
                     71,                 1.5768,                  1.489,                0.92204,                0.43931,                0.28638,                0.27684,                0.13165,                 2.0721,                 1.9309,                 1.0039,             0.00020071,             0.00020071,             0.00020071
                     72,                 1.4932,                 1.6068,                0.88303,                0.36378,                0.28638,                 0.2756,                0.12658,                 2.0662,                 1.9161,                 1.0155,             0.00020024,             0.00020024,             0.00020024
                     73,                 1.6108,                 1.5246,                0.90676,                0.43724,                0.28019,                0.29089,                0.13986,                 2.0773,                 1.8857,                 1.0158,             0.00019978,             0.00019978,             0.00019978
                     74,                  1.474,                 1.3771,                0.92291,                0.37216,                0.29257,                0.26904,                0.13105,                 2.0863,                 1.9462,                 1.0178,             0.00019932,             0.00019932,             0.00019932
                     75,                 1.5501,                 1.4086,                0.94622,                0.37548,                0.30341,                0.27607,                0.13573,                 2.0521,                 1.9408,                 1.0039,             0.00019886,             0.00019886,             0.00019886
                     76,                  1.535,                 1.4458,                0.92748,                0.38891,                 0.3065,                 0.2829,                0.13801,                 2.0247,                 1.9763,                0.99311,              0.0001984,              0.0001984,              0.0001984
                     77,                  1.509,                 1.3793,                0.90279,                 0.4448,                0.26625,                0.28129,                0.13884,                 2.0274,                 1.9871,                0.99377,             0.00019794,             0.00019794,             0.00019794
                     78,                 1.4704,                 1.3512,                0.91193,                0.39949,                0.31734,                0.28368,                0.13732,                 2.0221,                 1.9439,                0.99068,             0.00019748,             0.00019748,             0.00019748
                     79,                 1.4293,                 1.3219,                 0.8921,                0.38094,                0.31269,                0.29238,                0.13987,                 2.0438,                 1.9213,                0.99574,             0.00019702,             0.00019702,             0.00019702
                     80,                  1.417,                 1.2857,                0.89812,                0.40288,                0.28947,                0.27435,                0.13834,                 2.0867,                 1.9258,                0.99533,             0.00019655,             0.00019655,             0.00019655
                     81,                 1.4409,                 1.3222,                 0.9027,                0.40792,                0.29435,                 0.2764,                0.13913,                 2.1138,                 1.9277,                 1.0144,             0.00019609,             0.00019609,             0.00019609
                     82,                 1.4182,                 1.3222,                0.89594,                0.40188,                0.30341,                0.28707,                0.13843,                 2.0869,                 1.8705,                 1.0185,             0.00019563,             0.00019563,             0.00019563
                     83,                 1.3768,                 1.2755,                0.89643,                0.47457,                0.25697,                0.27117,                0.12995,                 2.0953,                 1.9684,                 1.0264,             0.00019517,             0.00019517,             0.00019517
                     84,                 1.3736,                 1.2828,                0.90254,                0.36617,                0.29721,                 0.2744,                0.13999,                 2.0208,                 1.9617,                 1.0018,             0.00019471,             0.00019471,             0.00019471
                     85,                 1.3396,                 1.3209,                0.85808,                0.43319,                0.29694,                0.28926,                0.13658,                 2.0573,                 1.9706,                 1.0068,             0.00019425,             0.00019425,             0.00019425
                     86,                 1.3426,                 1.2615,                0.87899,                0.45704,                0.28947,                 0.2872,                 0.1471,                 2.0229,                 1.8811,                 1.0064,             0.00019379,             0.00019379,             0.00019379
                     87,                 1.4018,                 1.2614,                0.87573,                0.37421,                0.27709,                0.26993,                0.13634,                 2.0731,                 1.9537,                0.99357,             0.00019332,             0.00019332,             0.00019332
