Label,Count
,365
Turdus merula_Eurasian Blackbird,10
Sylvia,118
Sturnus,840
Streptopelia decaocto_Eurasian Collared-Dove,238
Serinus serinus_European Serin,2
Saxicola rubicola_European Stonechat,95
Pica pica_Eurasian Magpie,8
Passer,295
Parus major_Great Tit,19
Motacilla flava_Western Yellow Wagtail,13
Milvus migrans_Black Kite,37
Merops apiaster_European Bee-eater,2
Melanocorypha calandra_Calandra Lark,49
Luscinia megarhynchos_Common Nightingale,243
Linaria cannabina_Eurasian Linnet,5
Hippolais polyglotta_Melodious Warbler,2
Galerida theklae_Thekla's Lark,72
Galerida cristata_Crested Lark,3
Falco tinnunculus_Eurasian Kestrel,5
Emberiza calandra_Corn Bunting,191
Cyanopica cooki_Iberian Magpie,9
Cisticola juncidis_Zitting Cisticola,129
Ciconia ciconia_White Stork,151
Chloris chloris_European Greenfinch,16
Cettia cetti_Cetti's Warbler,25
Carduelis carduelis_European Goldfinch,152
Calandrella brachydactyla_Greater Short-toed Lark,21
Anthus pratensis_Meadow Pipit,4
