Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Sturnus unicolor,Spotless Starling,0.6212
6.0,9.0,Sturnus unicolor,Spotless Starling,0.5945
9.0,12.0,Sturnus unicolor,Spotless Starling,0.9720
12.0,15.0,Sturnus unicolor,Spotless Starling,0.9773
15.0,18.0,Sturnus unicolor,Spotless Starling,0.9971
42.0,45.0,Buteo buteo,Common Buzzard,0.8238
42.0,45.0,Sturnus unicolor,Spotless Starling,0.5540
45.0,48.0,Sturnus unicolor,Spotless Starling,0.5006
54.0,57.0,Sturnus unicolor,Spotless Starling,0.8863
57.0,60.0,Sturnus unicolor,Spotless Starling,0.8621
