file,start,end,specie
AM1_20230512_060000.WAV,0.467143,1.461429,Unk
AM1_20230512_060000.WAV,3.008571,4.05,Unk
AM1_20230512_060000.WAV,5.494286,7.118571,Unk
AM1_20230512_060000.WAV,7.675714,9.047143,Galerida theklae
AM1_20230512_060000.WAV,9.111429,9.96,Unk
AM1_20230512_060000.WAV,11.884286,12.222857,Unk
AM1_20230512_060000.WAV,13.525714,14.76,Galerida theklae
AM1_20230512_060000.WAV,15.338571,15.998571,Galerida theklae
AM1_20230512_060000.WAV,17.691429,19.684286,Galerida theklae
AM1_20230512_060000.WAV,19.71,20.965714,Unk
AM1_20230512_060000.WAV,21.788571,22.225714,Galerida theklae
AM1_20230512_060000.WAV,22.688571,26.035714,Galerida theklae
AM1_20230512_060000.WAV,22.688571,24.342857,
AM1_20230512_060000.WAV,28.234286,29.897143,Unk
AM1_20230512_060000.WAV,30.424286,33.985714,Galerida theklae
AM1_20230512_060000.WAV,33.985714,34.842857,Sylviidae
AM1_20230512_060000.WAV,35.288571,37.221429,Unk
AM1_20230512_060000.WAV,37.29,37.834286,Galerida theklae
AM1_20230512_060000.WAV,37.954286,44.121429,Galerida theklae
AM1_20230512_060000.WAV,44.232857,45.398571,Unk
AM1_20230512_060000.WAV,45.462857,46.577143,Galerida theklae
AM1_20230512_060000.WAV,47.318571,49.29,Galerida theklae
AM1_20230512_060000.WAV,49.337143,52.375714,Unk
AM1_20230512_060000.WAV,55.028571,57.124286,Galerida theklae
AM1_20230512_060000.WAV,57.377143,59.352857,Unk
AM1_20230512_060000.WAV,59.575714,60.0,Galerida theklae
AM1_20230512_063000.WAV,7.512924,8.008329,Unk
AM1_20230512_063000.WAV,17.472717,17.744113,Galerida theklae
AM1_20230512_063000.WAV,17.782883,18.29552,Unk
AM1_20230512_063000.WAV,19.684286,20.139288,Unk
AM1_20230512_063000.WAV,23.327111,23.981907,Unk
AM1_20230512_063000.WAV,25.528432,25.610281,Unk
AM1_20230512_063000.WAV,41.618323,42.600517,Unk
AM1_20230512_063000.WAV,43.548248,44.284894,Unk
AM1_20230512_063000.WAV,46.748995,47.494256,Curruca melanocephala
AM1_20230512_063000.WAV,57.161114,57.81591,Curruca melanocephala
AM1_20230512_063000.WAV,58.410396,58.496554,Unk
AM1_20230512_070000.WAV,9.96,11.161689,Unk
AM1_20230512_070000.WAV,13.156232,13.233774,Unk
AM1_20230512_070000.WAV,23.908673,24.740092,Galerida theklae
AM1_20230512_070000.WAV,26.035714,28.354394,Turdus merula
AM1_20230512_070000.WAV,28.858415,30.086157,Galerida theklae
AM1_20230512_070000.WAV,34.368179,35.423607,Galerida theklae
AM1_20230512_070000.WAV,39.468696,40.601666,Galerida theklae
AM1_20230512_070000.WAV,44.427053,45.564331,galerida theklae
AM1_20230512_070000.WAV,48.894314,50.126364,Galerida theklae
AM1_20230512_070000.WAV,55.222573,56.480471,Galerida theklae
AM1_20230512_080000.WAV,2.701034,5.190982,Paridae
AM1_20230512_080000.WAV,10.463814,15.417863,Unk
AM1_20230512_080000.WAV,22.870477,23.159104,Galerida theklae
AM1_20230512_080000.WAV,23.482194,23.572659,Unk
AM1_20230512_080000.WAV,30.124928,30.275704,Unk
AM1_20230512_080000.WAV,37.271683,39.300689,Unk
AM1_20230512_080000.WAV,54.658242,55.399196,Cyanopica cooki
AM1_20230512_083000.WAV,4.411258,5.212522,abiotic noise
AM1_20230512_083000.WAV,8.594199,11.50201,abiotic noise
AM1_20230512_083000.WAV,15.305859,17.847501,abiotic noise
AM1_20230512_083000.WAV,22.31907,23.464963,Curruca undata
AM1_20230512_083000.WAV,29.81907,30.896037,abiotic noise
AM1_20230512_083000.WAV,30.896037,31.710224,abiotic noise
AM1_20230512_083000.WAV,34.630959,35.13498,Curruca undata
AM1_20230512_083000.WAV,35.725158,37.736933,abiotic noise
AM1_20230512_083000.WAV,38.732051,38.839747,Unk
AM1_20230512_083000.WAV,46.473291,47.856117,abiotic noise
AM1_20230512_083000.WAV,53.676048,56.480471,abiotic noise
AM1_20230512_090000.WAV,0.702183,1.753303,Curruca undata
AM1_20230512_090000.WAV,5.165135,7.064905,Unk
AM1_20230512_090000.WAV,11.161689,11.941413,Curruca undata
AM1_20230512_090000.WAV,15.852958,18.006893,Curruca undata
AM1_20230512_090000.WAV,20.738082,22.284607,Curruca conspicillata
AM1_20230512_090000.WAV,25.954911,27.410971,Curruca undata
AM1_20230512_090000.WAV,31.917002,33.166284,Curruca undata
AM1_20230512_090000.WAV,33.166284,39.516083,Carduelis carduelis
AM1_20230512_090000.WAV,39.989948,41.919874,Curruca undata
AM1_20230512_090000.WAV,43.82826,45.9305,Carduelis carduelis
AM1_20230512_090000.WAV,47.856117,49.385411,Curruca undata
AM1_20230512_090000.WAV,49.428489,50.561459,Curruca conspicillata
AM1_20230512_090000.WAV,56.480471,57.31189,Curruca undata
AM1_20230512_093000.WAV,2.291786,3.03274,Unk
AM1_20230512_093000.WAV,3.911545,4.484492,Unk
AM1_20230512_093000.WAV,9.072372,10.481045,abiotic noise
AM1_20230512_093000.WAV,10.476738,10.903217,Sylviidae
AM1_20230512_093000.WAV,10.498277,11.476163,abiotic noise
AM1_20230512_093000.WAV,13.212234,13.48363,Unk
AM1_20230512_093000.WAV,17.352096,18.058587,Curruca undata
AM1_20230512_093000.WAV,18.088742,18.278288,Unk
AM1_20230512_093000.WAV,22.521539,23.572659,Unk
AM1_20230512_093000.WAV,27.10942,30.392016,Regulus ignicapilla
AM1_20230512_093000.WAV,31.154509,31.65853,abiotic noise
AM1_20230512_093000.WAV,38.258185,46.25359,abiotic noise
AM1_20230512_093000.WAV,39.300689,43.617174,Unk
AM1_20230512_093000.WAV,47.438254,48.161976,Sylviidae
AM1_20230512_093000.WAV,50.712234,51.082711,Unk
AM1_20230512_093000.WAV,51.939977,52.870477,Unk
AM1_20230512_093000.WAV,55.761057,60.0,abiotic noise
AM1_20230512_100000.WAV,0.0,60.0,abiotic noise
AM1_20230512_100000.WAV,2.2444,3.713383,Unk
AM1_20230512_100000.WAV,6.099943,8.620046,abiotic noise
AM1_20230512_100000.WAV,8.654509,10.045951,Unk
AM1_20230512_100000.WAV,16.688685,17.645032,Unk
AM1_20230512_100000.WAV,20.699311,20.794084,Unk
AM1_20230512_100000.WAV,44.082424,45.504021,Unk
AM1_20230512_100000.WAV,57.548823,57.686674,Unk
AM1_20230512_103000.WAV,0.0,1.555141,abiotic noise
AM1_20230512_103000.WAV,0.0,60.0,abiotic noise
AM1_20230512_103000.WAV,2.601953,6.099943,Curruca undata
AM1_20230512_103000.WAV,8.637277,9.240379,Curruca undata
AM1_20230512_103000.WAV,11.424469,11.734635,abiotic noise
AM1_20230512_103000.WAV,13.070075,14.004882,Curruca undata
AM1_20230512_103000.WAV,14.715681,16.710224,abiotic noise
AM1_20230512_103000.WAV,16.744687,17.278863,Unk
AM1_20230512_103000.WAV,17.808731,17.899196,abiotic noise
AM1_20230512_103000.WAV,18.622918,20.117748,Curruca undata
AM1_20230512_103000.WAV,21.427341,22.853245,abiotic noise
AM1_20230512_103000.WAV,22.870477,24.80471,Curruca undata
AM1_20230512_103000.WAV,25.403504,25.765365,Unk
AM1_20230512_103000.WAV,27.393739,27.927915,Unk
AM1_20230512_103000.WAV,29.689833,30.964963,abiotic noise
AM1_20230512_103000.WAV,31.227743,31.568064,Sylviidae
AM1_20230512_103000.WAV,31.774842,32.136703,abiotic noise
