file,start,end,specie
AM1_20230515_060000.WAV,0.0,2.957143,Quiroptera
AM1_20230515_060000.WAV,0.865714,1.8,Unk
AM1_20230515_060000.WAV,4.174286,16.088571,abiotic noise
AM1_20230515_060000.WAV,15.96,16.894286,Unk
AM1_20230515_060000.WAV,23.434286,25.285714,Alaudidae
AM1_20230515_060000.WAV,36.944285,38.805284,Alaudidae
AM1_20230515_060000.WAV,37.099368,37.58185,Unk
AM1_20230515_060000.WAV,45.473866,46.593912,Alaudidae
AM1_20230515_060000.WAV,52.314762,54.184377,Alaudidae
AM1_20230515_060000.WAV,55.731429,55.86,Unk
AM1_20230515_063000.WAV,0.0,1.102814,Galerida theklae
AM1_20230515_063000.WAV,0.0,1.430213,Curruca melanocephala
AM1_20230515_063000.WAV,4.174286,17.343481,abiotic noise
AM1_20230515_063000.WAV,5.531304,7.211373,Galerida theklae
AM1_20230515_063000.WAV,12.613441,14.121195,Unk
AM1_20230515_063000.WAV,16.214819,17.825962,uNK
AM1_20230515_063000.WAV,17.825962,18.808156,CURMEL/CURUND
AM1_20230515_063000.WAV,21.522114,25.347501,Galerida theklae
AM1_20230515_063000.WAV,23.271109,24.942562,CURMEL/CURUND
AM1_20230515_063000.WAV,49.350948,49.79035,Galerida theklae
AM1_20230515_063000.WAV,53.219414,54.141298,Galerida theklae
AM1_20230515_070000.WAV,0.0,0.913268,Curruca melanocephala
AM1_20230515_070000.WAV,4.174286,17.343481,abiotic noise
AM1_20230515_070000.WAV,5.884549,7.133831,Curruca melanocephala
AM1_20230515_070000.WAV,12.225732,13.414704,Curruca melanocephala
AM1_20230515_070000.WAV,18.09305,20.186674,Curruca melanocephala
AM1_20230515_070000.WAV,24.623779,25.838599,Curruca melanocephala
AM1_20230515_070000.WAV,30.137852,31.774842,Curruca melanocephala
AM1_20230515_070000.WAV,35.462378,35.919012,Galerida theklae
AM1_20230515_070000.WAV,36.36703,38.10741,Curruca melanocephala
AM1_20230515_070000.WAV,43.518093,45.086157,Curruca melanocephala
AM1_20230515_070000.WAV,51.323952,53.555428,Curruca melanocephala
AM1_20230515_073000.WAV,0.0,3.205055,Curruca undata
AM1_20230515_073000.WAV,1.430213,1.852384,Galerida theklae
AM1_20230515_073000.WAV,4.174286,7.400919,abiotic noise
AM1_20230515_073000.WAV,5.376221,7.133831,Curruca undata
AM1_20230515_073000.WAV,9.029294,11.019529,Curruca undata
AM1_20230515_073000.WAV,13.259621,15.232625,Curruca undata
AM1_20230515_073000.WAV,17.119472,18.756462,Curruca undata
AM1_20230515_073000.WAV,22.969558,25.285714,Curruca undata
AM1_20230515_073000.WAV,28.836875,30.887421,Curruca undata
AM1_20230515_073000.WAV,35.272832,37.151063,Curruca undata
