file,start,end,specie
AM16_20230303_060000.WAV,0.356881,1.389092,Saxicola rubicola
AM16_20230303_060000.WAV,4.342972,5.929722,Saxicola rubicola
AM16_20230303_060000.WAV,9.904832,11.068814,Saxicola rubicola
AM16_20230303_060000.WAV,15.702782,17.679356,Saxicola rubicola
AM16_20230303_060000.WAV,17.544839,18.686859,Unk
AM16_20230303_060000.WAV,21.412884,22.428624,Saxicola rubicola
AM16_20230303_060000.WAV,27.984993,29.379575,Saxicola rubicola
AM16_20230303_060000.WAV,33.607247,35.193997,Saxicola rubicola
AM16_20230303_060000.WAV,38.120425,39.482064,Saxicola rubicola
AM16_20230303_060000.WAV,43.29795,45.0,Saxicola rubicola
AM16_20230303_060000.WAV,45.362372,45.856515,Unk
AM16_20230303_060000.WAV,50.215959,51.780747,Saxicola rubicola
AM16_20230303_060000.WAV,52.167826,52.785505,Unk
AM16_20230303_060000.WAV,56.348829,58.089312,Saxicola rubicola
AM16_20230303_063000.WAV,0.049742,1.459101,Saxicola rubicola
AM16_20230303_063000.WAV,4.244657,5.654016,Saxicola rubicola
AM16_20230303_063000.WAV,8.389831,9.58364,Saxicola rubicola
AM16_20230303_063000.WAV,12.485262,13.833825,Saxicola rubicola
AM16_20230303_063000.WAV,16.304348,17.679356,Saxicola rubicola
AM16_20230303_063000.WAV,20.720339,22.295505,Saxicola rubicola
AM16_20230303_063000.WAV,25.423729,26.507001,Saxicola rubicola
AM16_20230303_063000.WAV,30.038688,31.779661,Saxicola rubicola
AM16_20230303_063000.WAV,32.498158,32.619749,Saxicola rubicola
AM16_20230303_063000.WAV,34.217023,34.670228,Saxicola rubicola
AM16_20230303_063000.WAV,34.515475,35.560059,Saxicola rubicola
AM16_20230303_063000.WAV,37.273397,37.57185,Saxicola rubicola
AM16_20230303_063000.WAV,39.036478,41.086957,Saxicola rubicola
AM16_20230303_063000.WAV,39.589167,39.865512,Saxicola rubicola
AM16_20230303_063000.WAV,43.419307,44.452837,Saxicola rubicola
AM16_20230303_063000.WAV,44.03832,44.336772,Saxicola rubicola
AM16_20230303_063000.WAV,45.536109,45.806927,Unk
AM16_20230303_063000.WAV,47.780029,48.819086,Saxicola rubicola
AM16_20230303_063000.WAV,50.300295,50.449521,Saxicola rubicola
AM16_20230303_063000.WAV,51.494105,53.329035,Saxicola rubicola
AM16_20230303_063000.WAV,55.191599,55.606116,Saxicola rubicola
AM16_20230303_063000.WAV,56.25829,56.518055,Unk
AM16_20230303_063000.WAV,56.711496,58.402727,Saxicola rubicola
AM16_20230303_070000.WAV,0.0,60.033161,Unk - abiotic noise?
AM16_20230303_070000.WAV,2.078113,2.38762,Unk
AM16_20230303_070000.WAV,9.428887,9.638909,Motacilla flava
AM16_20230303_070000.WAV,12.927413,13.159543,Motacilla flava
AM16_20230303_070000.WAV,14.939204,15.154753,Motacilla flava
AM16_20230303_070000.WAV,17.022845,17.730287,Phylloscopus spp?
AM16_20230303_070000.WAV,19.432572,20.554532,Motacilla flava
AM16_20230303_070000.WAV,20.554532,23.312454,Phylloscopus spp?
AM16_20230303_070000.WAV,30.806927,31.005895,Unk - Motacilla Flava?
AM16_20230303_070000.WAV,36.350405,36.875461,Unk
AM16_20230303_070000.WAV,38.290346,38.494842,Unk
AM16_20230303_070000.WAV,43.839352,44.088062,Motacilla flava?
AM16_20230303_073000.WAV,0.0,3.406451,Unk
AM16_20230303_073000.WAV,0.049742,60.0,Unk - abiotic noise?
AM16_20230303_073000.WAV,1.614746,3.406451,
AM16_20230303_073000.WAV,3.406451,5.552072,Anthus pratensis
AM16_20230303_073000.WAV,5.787095,9.049767,Melanocorypha calandra/Alaudala rufescens/Calandrella brachydactyla?
AM16_20230303_073000.WAV,9.174191,18.735478,Alaudidae
AM16_20230303_073000.WAV,19.111515,36.962201,Cisticola juncidis
AM16_20230303_073000.WAV,19.205524,23.756675,Passer hispaniolensis?
AM16_20230303_073000.WAV,20.693081,23.756675,Calandrella brachydactyla?
AM16_20230303_073000.WAV,31.985244,32.619749,Galerida cristata?
AM16_20230303_073000.WAV,33.920727,60.005512,Alaudidae?
AM16_20230303_080000.WAV,0.049742,2.018433,Linaria cannabina?
AM16_20230303_080000.WAV,4.263593,7.183408,Linaria cannabina
AM16_20230303_080000.WAV,6.865436,7.960366,Calandrella brachydactyla
AM16_20230303_080000.WAV,8.71244,10.114283,Calandrella brachydactyla
AM16_20230303_080000.WAV,11.651609,13.418429,Calandrella brachydactyla
AM16_20230303_080000.WAV,13.761286,15.505986,Calandrella brachydactyla
AM16_20230303_080000.WAV,16.017507,18.248842,
AM16_20230303_080000.WAV,18.702298,22.070039,Calandrella brachydactyla
AM16_20230303_080000.WAV,22.780638,25.070038,Calandrella brachydactyla
AM16_20230303_080000.WAV,26.446997,27.873724,Calandrella brachydactyla
AM16_20230303_080000.WAV,28.291236,28.860821,Calandrella brachydactyla
AM16_20230303_080000.WAV,29.283862,30.423032,Calandrella brachydactyla
AM16_20230303_080000.WAV,30.669115,32.156672,Calandrella brachydactyla
AM16_20230303_080000.WAV,32.413815,34.490312,Calandrella brachydactyla
AM16_20230303_080000.WAV,34.7281,36.121648,Calandrella brachydactyla
AM16_20230303_080000.WAV,36.616579,37.874643,Calandrella brachydactyla
AM16_20230303_080000.WAV,38.717961,40.103214,Calandrella brachydactyla
AM16_20230303_080000.WAV,40.374181,41.482937,Calandrella brachydactyla
AM16_20230303_080000.WAV,41.770494,43.924411,Calandrella brachydactyla
AM16_20230303_080000.WAV,43.490309,45.273719,Unk
AM16_20230303_080000.WAV,44.217498,54.127172,Calandrella brachydactyla
AM16_20230303_080000.WAV,54.514269,55.979706,Calandrella brachydactyla
AM16_20230303_080000.WAV,56.25829,57.290305,Calandrella brachydactyla
AM16_20230303_080000.WAV,57.87095,60.0,Calandrella brachydactyla
AM16_20230303_083000.WAV,1.282949,3.799077,Saxicola rubicola
AM16_20230303_083000.WAV,4.08387,7.305067,Calandrella brachydactyla?
AM16_20230303_083000.WAV,6.270966,6.359445,Cisticola juncidis
AM16_20230303_083000.WAV,6.94562,7.089399,Cisticola juncidis
AM16_20230303_083000.WAV,8.250689,8.389831,Cisticola juncidis
AM16_20230303_083000.WAV,8.665435,12.558522,Calandrella brachydactyla?
AM16_20230303_083000.WAV,8.975112,9.085712,Cisticola juncidis
AM16_20230303_083000.WAV,13.100457,34.031326,Calandrella brachydactyla?
AM16_20230303_083000.WAV,20.164971,20.554532,Tringa ochropus?
AM16_20230303_083000.WAV,26.184324,26.355752,Motacilla flava
AM16_20230303_083000.WAV,28.269116,28.589853,Anthus pratensis
AM16_20230303_083000.WAV,28.94377,29.109669,Anthus pratensis
AM16_20230303_083000.WAV,31.172341,31.498608,Motacilla flava
AM16_20230303_083000.WAV,33.251603,33.53363,Motacilla flava
AM16_20230303_083000.WAV,35.193997,43.050678,Calandrella brachydactyla?
AM16_20230303_083000.WAV,42.77971,44.900447,Tringa ochropus
AM16_20230303_083000.WAV,44.886622,60.005512,Calandrella brachydactyla
AM16_20230303_083000.WAV,56.610121,57.030397,Unk
AM16_20230303_090000.WAV,0.0,60.0,Melanocorypha calandra?
AM16_20230303_090000.WAV,0.575115,1.305069,Anthus pratensis
AM16_20230303_090000.WAV,9.865435,10.341011,Anthus pratensis
AM16_20230303_090000.WAV,10.988015,11.115204,Anthus pratensis
AM16_20230303_090000.WAV,11.690319,11.817508,Anthus pratensis
AM16_20230303_090000.WAV,12.76313,12.851609,Anthus pratensis
AM16_20230303_090000.WAV,13.714282,13.833825,Anthus pratensis
AM16_20230303_090000.WAV,15.544696,15.627645,Anthus pratensis
AM16_20230303_090000.WAV,17.872806,20.140086,Anthus pratensis
AM16_20230303_090000.WAV,24.171421,24.514278,Anthus pratensis
AM16_20230303_090000.WAV,32.720727,33.091234,Anthus pratensis
AM16_20230303_090000.WAV,36.182477,36.304136,Anthus pratensis
AM16_20230303_090000.WAV,42.995379,43.802752,Anthus pratensis
AM16_20230303_090000.WAV,50.781551,50.92533,Anthus pratensis
AM16_20230303_090000.WAV,53.972334,54.293071,Anthus pratensis
AM16_20230303_090000.WAV,54.37049,57.400904,Unk
AM16_20230303_090000.WAV,57.804591,58.324406,Anthus pratensis?
AM16_20230303_093000.WAV,0.049742,32.232049,Melanocorypha calandra
AM16_20230303_093000.WAV,32.619749,33.80098,Linaria cannabina
AM16_20230303_093000.WAV,34.594066,59.84351,Melanocorypha calandra
AM16_20230303_093000.WAV,35.464737,37.874643,Linaria cannabina
AM16_20230303_100000.WAV,0.931014,1.784443,Abiotic noise
AM16_20230303_100000.WAV,2.112022,2.525806,Unk
AM16_20230303_100000.WAV,7.655004,8.975112,Melanocrypha calandra
AM16_20230303_100000.WAV,12.706617,13.594528,Melanocorypha calandra
AM16_20230303_100000.WAV,14.723814,15.973786,Bisbita pratensis?
AM16_20230303_100000.WAV,17.085831,17.544839,Unk
AM16_20230303_100000.WAV,23.085699,28.137312,Melanocorypha calandra?
AM16_20230303_100000.WAV,25.240824,26.355752,Abiotic noise
AM16_20230303_100000.WAV,29.430387,33.145822,Unk
AM16_20230303_100000.WAV,35.680249,36.654366,Unk
AM16_20230303_100000.WAV,44.452837,51.780747,Galeridae?
AM16_20230303_100000.WAV,52.645393,55.128097,Unk
AM16_20230303_103000.WAV,0.356881,60.0,Sturnidae
AM16_20230303_103000.WAV,1.094803,1.646515,Sturnidae
AM16_20230303_103000.WAV,3.327513,5.17661,Waterbird?
AM16_20230303_103000.WAV,7.430871,7.655004,Unk
AM16_20230303_103000.WAV,9.288589,13.159543,Unk
AM16_20230303_103000.WAV,13.310052,15.249664,Abiotic noise
AM16_20230303_103000.WAV,14.021243,14.521232,Unk
AM16_20230303_103000.WAV,17.24531,18.995272,Abiotic noise
AM16_20230303_103000.WAV,19.986629,21.128845,Galeridae?
AM16_20230303_103000.WAV,21.37453,21.775383,Unk
AM16_20230303_103000.WAV,22.960702,23.633101,Unk
AM16_20230303_103000.WAV,27.012336,28.214896,Abiotic noise
AM16_20230303_103000.WAV,29.943306,32.969102,anthus pratensis?
AM16_20230303_103000.WAV,37.318144,39.378444,Abiotic noise
AM16_20230303_103000.WAV,39.727574,43.214566,Unk
AM16_20230303_103000.WAV,57.886657,58.80043,Sturnidae
