Species,Specie_Name
Abiotic noise,Abiotic noise
Actitis hypoleucos,Actitis hypoleucos
Alaudidae,Alaudidae
Bird,Bird
Cardualis carduelis,Carduelis carduelis
Carduelis carduelis,Carduelis carduelis
Chiroptera,Abiotic noise
Chloris chloris,Chloris chloris
Ciconia ciconia,Ciconia ciconia
Cisticola juncidis,Cisticola juncidis
Columba palumbus,Columba palumbus
Emberiza caladnra,Emberiza calandra
Emberiza calandra,Emberiza calandra
Fringilla coelebs,Fringillidae
Galerida theklae,Galerida theklae
Lanius senator,Lanius senator
Luscinia megarhynchos,Luscinia megarhynchos
Merops apiaster,Merops apiaster
Milvus migrans,Milvus migrans
Milvus migrnas,Milvus migrans
Motacilla alba,Motacilla alba
Motacilla flava,Motacilla flava
No audio,No bird
Parus major,Parus major
Passer sp,Passer sp.
Rain,Abiotic noise
Saxicola rubicola,Saxicola rubicola
Sturnus unicolor,Sturnus unicolor
Turdus merula,Turdus merula
Upupa epops,Upupa epops
Wind,Abiotic noise
abiotic noise,Abiotic noise
abiotic noise?,Abiotic noise
abiotic sound,Abiotic noise
abitoic noise,Abiotic noise
actitis hypoleucos,Actitis hypoleucos
alauda arvensis,Alauda arvensis
alaudidae,Alaudidae
alaudidae?,Bird
alectoris rufa,Alectoris rufa
anas plathyrynchos,Anas platyrhynchos
anas platyrhynchos,Anas platyrhynchos
anatidae,Anatidae
anthus pratensis,Anthus pratensis
anthus pratensis?,Bird
arthopoda,Insect
arthopods,Insect
arthro,Insect
arthropoda,Insect
arthropods,Insect
athene noctua,Athene noctua
bird,Bird
bird?,Unknown
bird? abiotic noise?,Unknown
bisbita pratensis?,Bird
burhinus oedicnemus,Burhinus oedicnemus
buteo buteo,Buteo buteo
buteo buteo?/sturnidae?,Bird
c,Unknown
caeduelis carduelis,Carduelis carduelis
calandrella brachydactyla,Calandrella brachydactyla
calandrella brachydactyla?,Bird
carduelis c arduelis,Carduelis carduelis
carduelis carduelis,Carduelis carduelis
carduelis carduelis?,Bird
carduelsi carduelis?,Bird
cettia cetti,Cettia cetti
charadrius hiaticula,Charadrius hiaticula
chloris chloris,Chloris chloris
ciconia ciconia,Ciconia ciconia
cis,Bird
cisticola juncidis,Cisticola juncidis
cisticola juncidis?,Bird
clamator glandarius,Clamator glandarius
corvidae,Corvidae
corvidae?,Bird
curmel/curund,Sylviidae
curruc melanocephala,Curruca conspicillata
curruca conspicillata,Curruca conspicillata
curruca conspicillata?,Bird
curruca mel/rabilarga?,Bird
curruca melanicephala/undata,Sylviidae
curruca melanocephala,Curruca melanocephala
curruca melanocephala/undata,Sylviidae
curruca melanocephala/undata?,Sylviidae
curruca melanocephala?,Bird
curruca melanocephaña,Curruca melanocephala
curruca melanochephala/undata,Sylviidae
curruca merlanocephala/undata,Sylviidae
curruca undata,Curruca undata
curruca undata melanocephala,Sylviidae
curruca undata/melanocephala,Sylviidae
curruca? conspicillata?,Bird
curund/curmel,Sylviidae
cyanistes caeruleus,Cyanistes caeruleus
cyanopica cooki,Cyanopica cooki
delichon urbicum,Delichon urbicum
delicon urbicum,Delichon urbicum
dog?,Unknown
dryobates minor,Dryobates minor
emberiza calandra,Emberiza calandra
emberiza calandra?,Bird
emebriza calandra,Emberiza calandra
eritahcus rubecula,Erithacus rubecula
erithacus rubecola,Erithacus rubecula
erithacus rubecula,Erithacus rubecula
falco naumanni/tinnunculus?,Falco sp.
falco tinnunculus,Falco tinnunculus
falco tinnunculus/naumanni,Falco
falcus tinnunculus,Falco tinnunculus
fringillidae,Fringillidae
fulica atra,Fulica atra
galerida cristata,Galerida cristata
galerida cristata/teklae,Galerida
galerida cristata?,Bird
galerida o curruca?,Bird
galerida sp,Galerida sp.
galerida theklae,Galerida theklae
galerida theklae?,Bird
galeridae,Galerida sp.
galeridae?,Bird
gallus gallus,Gallus gallus
garrulus glandarius,Garrulus glandarius
haematopus ostralegus,Haematopus ostralegus
hieraaetus pennatus,Hieraaetus pennatus
hippolais polyglotta,Hippolais polyglotta
hirundo rustica,Hirundo rustica
irundo rustica,Hirundo rustica
lanius meridionalis,Lanius meridionalis
lanius meridionalis/senator,Lanius sp.
lanius meridionalis/senator?,Lanius sp.
lanius meridionalis?,Bird
lanius senator,Lanius senator
lanmer/lansen,Lanius sp.
lanmer/lanser,Lanius sp.
linaria cannabina,Linaria cannabina
linaria cannabina?,Bird
lullula arborea,Lullula arborea
luscinia meagrrhyncos,Luscinia megarhynchos
luscinia megarhynchos,Luscinia megarhynchos
luscinia megarhynchos ,Luscinia megarhynchos
luscinia megarrhynchos,Luscinia megarhynchos
luscinia megarrhynchos?,Bird
luscinia megarrhyncos,Luscinia megarhynchos
melanocorypha calandra,Melanocorypha calandra
melanocorypha calandra/alaudala rufescens/calandrella brachydactyla?,Bird
melanocorypha calandra/galerida cristata,Bird
melanocorypha calandra?,Bird
melanocrypha calandra,Melanocorypha calandra
merops apiaster,Merops apiaster
milvus migrans,Milvus migrans
milvus migrans?,Bird
milvus milvus,Milvus milvus
motacilla alba,Motacilla alba
motacilla alba?,Bird
motacilla flava,Motacilla flava
motacilla flava?,Bird
no audio,No bird
no audios,No bird
no bird sound,No bird
no data,No bird
paridae,Paridae
parus major,Parus major
parus major?,Bird
paseriforme - call,Bird
passer domesticus,Passer domesticus
passer domesticus/hispaniolensis,Passer sp.
passer domesticus/hispanolensis,Passer sp.
passer domesticus/hispanolensis?,Passer sp.
passer hispaniolensis,Passer hispaniolensis
passer hispaniolensis?,Bird
passer sp,Passer sp.
passerus domesticus,Passer domesticus
phylloscopus sp,Phylloscopus
phylloscopus spp?,Bird
pica pica,Pica pica
pica pica?,Bird
pterocles alchata,Pterocles alchata
quiroptera,Quiroptera
raptor?,Bird
regulus ignicapilla,Regulus ignicapilla
saxicola rubicola,Saxicola rubicola
saxicola rubicola?,Bird
saxicola rubicola? phoenicurus ochruros? ,Bird
saxicola rubicola?cisticola juncidis,Bird
saxola/cisjun,Bird
serinus serins,Serinus serinus
serinus serinus,Serinus serinus
serinus serinus?,Bird
spinus spinus?,Bird
streptopelia decaocto,Streptopelia decaocto
streptopelia turtur,Streptopelia turtur
streptotelia decaocto,Streptopelia decaocto
strurnidae,Sturnus sp.
sturnidae,Sturnus sp.
sturnidae ,Sturnus sp.
sturnidae?,Bird
sturnus sp,Sturnus sp.
