Species
abiotic noise
actitic hypoleucus
actitis hypoleucos
actitis hypoleucus
acuatica
acuática
alauda arvensis
alaudidae
alaudidae?
alectoris rufa
anas plathyrynchos
anas platyrhynchos
anthus pratensis
anthus pratensis?
arthropoda
athene noctua
athene nocua
bisbita pratensis?
burhinus oedicnemus
c
calandrella brachydactyla
calandrella brachydactyla?
campana?
carduelis carduelis
carduelis carduelis?
carduelsi carduelis?
certhia brachydactyla
cettia cetti
chicharra
chloris chloris
ciconia ciconia
cisticola juncidis
coturnix coturnix
curmel/curund
curruca conspicillata
curruca melanocephala
curruca melanocephala?
curruca undata
curund/curmel
cyanistes caeruleus
cyanopica cooki
emberiza calanddra?
emberiza calandra
emberiza calandra?
eritahcus rubecula
erithacus rubecola
erithacus rubecula
falco naumanni/tinnunculus?
falco tinnunculus
falcus tinnunculus
fringillidae
fulica atra
galerida cristata
galerida cristata?
galerida sp
galerida theklae
galerida theklae?
galeridae?
gallus gallus
garrulus glandarius
golpe
gorrion
gorrion ?
gorrion comun
haematopus ostralegus
hieraaetus pennatus
hirundo rustica
lanius meridionalis
lanius meridionalis?
lanius senator
lanmer/lansen
lanmer/lanser
linaria cannabina
linaria cannabina?
lullula arborea
luscinia megarhynchos
luscinia megarhynchos 
melanocorypha calandra
melanocorypha calandra/alaudala rufescens/calandrella brachydactyla?
melanocorypha calandra?
melanocrypha calandra
merops apiaster
milvus milvus
motacilla alba
motacilla alba?
motacilla flava
motacilla flava?
paridae
parus major
parus major?
parus major? periparus ater?
passer domesticus
passer hispaniolensis?
passer sp
passerus domesticus
phylloscopus collybita
phylloscopus spp?
pica pica
regulus ignicapilla
riparia riparia?
saxicola rubicola
saxicola rubicola?
saxicola rubicola? phoenicurus ochruros? 
saxola/cisjun
serinus serinus
serinus serinus?
spinus spinus?
streptopelia decaocto
streptotelia decaocto
sturnidae
sturnus un/vul
sturnus un/vulg
sturnus un/vulg?
sturnus un/vulgaris
sturnus uni/vul
sturnus uni/vul?
sturnus uni/vulg
sturnus vulg
sylviidae
tringa glareola
tringa nebularia
tringa ochropus
tringa ochropus?
tringa stagnatilis
troglodytes troglodytes
turdus merula
turdus merula/sturnus un/vulg
ukn
unk 
unk  - alaudido
unk - abiotic noise?
unk - acuática
unk - acuática? córvido?
unk - alaudido
unk - alaudido?
unk - anthus pratensis
unk - bat?
unk - calandrella brachydactyla?
unk - cettia cetti?
unk - chloris chloris
unk - cow?
unk - galerida theklae
unk - galerida theklae?
unk - limicola
unk - limicola?
unk - limícola?
unk - melanocorypha calandra?
unk - motacilla alba?
unk - motacilla flava?
unk - passerine calls?
unk - phylloscopus or is it sturnus un/vulg?
unk - rapaz? caballo?
unk - sturnus uni/vul
unk - vaca
unk - vuelo de algo?
unk - waterbird
unk - waterbird?
unk acuatica?
unk?
unknown
wader
waterbird
waterbird?
waterbirds?
xx
""
