path,annotator,recorder,date,time,audio_duration,start_time,end_time,low_frequency,high_frequency,specie,bbox
AM8/2023_03_03/AM8_20230303_073000.WAV,Edu,AM8,2023/03/03,07:30:00,00:01:00,14.974153,15.749569,3522.901367,4204.58252,actitis hypoleucos,"[1, 0.25591397849462366, 0.2041748444468015, 0.012903225806451613, 0.01705212849748324]"
AM8/2023_03_03/AM8_20230303_080000.WAV,Edu,AM8,2023/03/03,08:00:00,00:01:00,0.0,1.641298,1371.751709,4411.17627,actitis hypoleucos,"[1, 0.013440860215053764, 0.24732473335576202, 0.026881720430107527, 0.11259978135670476]"
AM8/2023_03_03/AM8_20230303_080000.WAV,Edu,AM8,2023/03/03,08:00:00,00:01:00,22.396611,23.542504,3831.372803,4950.62793,actitis hypoleucos,"[1, 0.38225806451612904, 0.1922561141397525, 0.01827956989247312, 0.024706364078930707]"
AM8/2023_03_03/AM8_20230303_080000.WAV,Edu,AM8,2023/03/03,08:00:00,00:01:00,46.843768,47.800115,5144.625,6360.402344,actitis hypoleucos,"[1, 0.7881720430107527, 0.16597245941309768, 0.015053763440860216, 0.020450121654952556]"
AM8/2023_03_03/AM8_20230303_083000.WAV,Edu,AM8,2023/03/03,08:30:00,00:01:00,39.959793,41.682941,3060.569336,4138.202148,actitis hypoleucos,"[1, 0.6801075268817204, 0.21172281070573798, 0.02903225806451613, 0.0290799373411524]"
AM8/2023_03_03/AM8_20230303_083000.WAV,Edu,AM8,2023/03/03,08:30:00,00:01:00,43.406088,44.491671,4452.779297,5524.640625,actitis hypoleucos,"[1, 0.7317204301075269, 0.17972373417369292, 0.01827956989247312, 0.020792396109961253]"
AM8/2023_03_03/AM8_20230303_083000.WAV,Edu,AM8,2023/03/03,08:30:00,00:01:00,18.196439,19.126939,4138.202148,5023.181641,actitis hypoleucos,"[1, 0.310752688172043, 0.18784162349917757, 0.015053763440860216, 0.018682437071968386]"
AM8/2023_03_03/AM8_20230303_083000.WAV,Edu,AM8,2023/03/03,08:30:00,00:01:00,11.045376,12.303274,3864.174289,6257.463251,actitis hypoleucos,"[1, 0.19408602150537635, 0.1805539160954015, 0.02043010752688172, 0.04646717694989223]"
AM8/2023_03_03/AM8_20230303_083000.WAV,Edu,AM8,2023/03/03,08:30:00,00:01:00,8.443423,9.287766,3305.07959,3748.433838,actitis hypoleucos,"[1, 0.14677419354838708, 0.2127862772515482, 0.013978494623655914, 0.012134541075051236]"
AM8/2023_03_04/AM8_20230304_093000.WAV,Giulia,AM8,2023/03/04,09:30:00,00:01:00,2.580791,5.168893,3443.238132,16000.0,actitis hypoleucos,"[1, 0.06451612903225806, 0.14086244862416417, 0.043010752688172046, 0.14808672887985005]"
AM8/2023_03_04/AM8_20230304_103000.WAV,Giulia,AM8,2023/03/04,10:30:00,00:01:00,54.394007,55.402928,3707.384624,11300.941037,actitis hypoleucos,"[1, 0.9145161290322581, 0.15405898914860625, 0.016129032258064516, 0.10744303006644472]"
AM8/2023_03_04/AM8_20230304_103000.WAV,Giulia,AM8,2023/03/04,10:30:00,00:01:00,25.807909,33.776924,3749.861365,15933.103445,actitis hypoleucos,"[1, 0.4962365591397849, 0.1369526403047778, 0.13225806451612904, 0.13945932254342921]"
AM8/2023_03_04/AM8_20230304_103000.WAV,Giulia,AM8,2023/03/04,10:30:00,00:01:00,45.269851,46.351882,3963.837476,16000.0,actitis hypoleucos,"[1, 0.7629032258064516, 0.13407590650954998, 0.01827956989247312, 0.13451364465062166]"
AM15/2023_03_29/AM15_20230329_073000.WAV,Edu,AM15,2023/03/29,07:30:00,00:01:00,33.252441,33.519529,4086.488281,6859.043457,anthus pratensis,"[2, 0.5559139784946237, 0.17343330986889277, 0.004301075268817204, 0.04992359803950579]"
AM15/2023_03_29/AM15_20230329_093000.WAV,Edu,AM15,2023/03/29,09:30:00,00:01:00,23.062337,25.397872,5528.097901,7137.125272,anthus pratensis,"[2, 0.4032258064516129, 0.1569538104336607, 0.03870967741935484, 0.024626836954015456]"
AM16/2023_03_03/AM16_20230303_073000.WAV,Giulia,AM16,2023/03/03,07:30:00,00:01:00,3.406451,5.552072,4344.639064,8199.24745,anthus pratensis,"[2, 0.07419354838709677, 0.16187832452382936, 0.03655913978494624, 0.0612233315233282]"
AM16/2023_03_03/AM16_20230303_083000.WAV,Giulia,AM16,2023/03/03,08:30:00,00:01:00,28.269116,28.589853,3565.489258,6819.46582,anthus pratensis,"[2, 0.4736559139784946, 0.18028594776141182, 0.005376344086021506, 0.06251317403083614]"
AM16/2023_03_03/AM16_20230303_083000.WAV,Giulia,AM16,2023/03/03,08:30:00,00:01:00,28.94377,29.109669,4589.452637,16000.0,anthus pratensis,"[2, 0.48333333333333334, 0.12701231781178546, 0.0032258064516129032, 0.12038646725509264]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,24.171421,24.514278,5268.647949,7829.07959,anthus pratensis,"[2, 0.40483870967741936, 0.15481061399303264, 0.005376344086021506, 0.03818108807465617]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,36.182477,36.304136,6329.851536,8000.705755,anthus pratensis,"[2, 0.603225806451613, 0.144920606471594, 0.002150537634408602, 0.022581884074142213]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,32.720727,33.091234,5524.640625,7141.974609,anthus pratensis,"[2, 0.5478494623655914, 0.156951225701114, 0.005376344086021506, 0.02475262083519662]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,9.865435,10.341011,5144.625,8383.637695,anthus pratensis,"[2, 0.16774193548387098, 0.1526601486895902, 0.008602150537634409, 0.047074743101967464]"
