	start	end	specie	file
0	3.565714	15.497143	abiotic noise	AM1_20230514_060000.WAV
1	5.545714	7.362857	Unk	AM1_20230514_060000.WAV
2	10.662857	12.3	Curruca undata	AM1_20230514_060000.WAV
3	16.2	17.605714	Unk	AM1_20230514_060000.WAV
4	21.18	23.031429	Curruca undata	AM1_20230514_060000.WAV
5	26.014286	26.845714	Curruca undata	AM1_20230514_060000.WAV
6	28.954286	32.288571	CUrruca undata	AM1_20230514_060000.WAV
7	34.414286	36.505714	Curruca undata	AM1_20230514_060000.WAV
8	39.145714	41.331429	Curruca undata	AM1_20230514_060000.WAV
9	43.225714	45.025714	Curruca undata	AM1_20230514_060000.WAV
10	47.708571	50.4	Curruca undata	AM1_20230514_060000.WAV
11	53.991429	55.182857	Curruca undata	AM1_20230514_060000.WAV
12	55.448571	56.828571	Unk	AM1_20230514_060000.WAV
13	58.714286	59.228571	Galerida theklae	AM1_20230514_060000.WAV
14	1.206203	1.309592	Unk	AM1_20230514_063000.WAV
15	2.317634	2.774268	Galerida theklae	AM1_20230514_063000.WAV
16	3.958932	4.303561	Cyanopica cooki	AM1_20230514_063000.WAV
17	4.971281	6.121482	Galerida theklae	AM1_20230514_063000.WAV
18	6.987364	7.090752	Unk	AM1_20230514_063000.WAV
19	8.779437	10.528432	Galerida theklae	AM1_20230514_063000.WAV
20	11.023837	12.212809	Cyanopica cooki	AM1_20230514_063000.WAV
21	16.912694	16.998851	Unk	AM1_20230514_063000.WAV
22	17.675187	18.024124	Cyanopica cooki	AM1_20230514_063000.WAV
23	18.519529	18.816772	Cyanopica cooki	AM1_20230514_063000.WAV
24	23.723435	24.391155	Unk	AM1_20230514_063000.WAV
25	32.877657	33.243825	Cyanopica cooki	AM1_20230514_063000.WAV
26	38.891442	40.024411	Cyanopica cooki	AM1_20230514_063000.WAV
27	44.551982	44.633831	Unk	AM1_20230514_063000.WAV
28	47.916427	49.742964	Unk	AM1_20230514_063000.WAV
29	52.375072	52.530155	Unk	AM1_20230514_063000.WAV
30	57.854681	59.315049	Unk	AM1_20230514_063000.WAV
31	59.487364	59.780299	Cyanopica cooki	AM1_20230514_063000.WAV
32	0.275704	2.959506	Unk	AM1_20230514_070000.WAV
33	7.301838	8.038484	Unk	AM1_20230514_070000.WAV
34	18.054279	18.661689	Unk	AM1_20230514_070000.WAV
35	27.751292	28.07869	Galerida theklae	AM1_20230514_070000.WAV
36	30.456634	32.16255	Unk	AM1_20230514_070000.WAV
37	33.523837	33.730615	Unk	AM1_20230514_070000.WAV
38	40.114877	41.773406	Chloris chloris	AM1_20230514_070000.WAV
39	41.816485	42.436818	Cyanopica cooki	AM1_20230514_070000.WAV
40	42.484204	46.266513	Chloris chloris	AM1_20230514_070000.WAV
41	46.529294	53.28834	Chloris chloris	AM1_20230514_070000.WAV
42	53.658817	54.326536	Cyanopica cooki	AM1_20230514_070000.WAV
43	54.343768	59.956921	Chloris chloris	AM1_20230514_070000.WAV
44	3.028432	4.863584	Unk	AM1_20230514_073000.WAV
45	6.272257	7.831706	Unk	AM1_20230514_073000.WAV
46	7.8834	10.493969	Galerida theklae	AM1_20230514_073000.WAV
47	10.580126	10.993682	Cyanopica cooki	AM1_20230514_073000.WAV
48	11.924182	12.708214	Unk	AM1_20230514_073000.WAV
49	17.209937	17.808731	Cyanopica cooki	AM1_20230514_073000.WAV
50	18.713383	23.098794	Unk	AM1_20230514_073000.WAV
51	26.209075	26.4417	Galerida theklae	AM1_20230514_073000.WAV
52	28.750718	29.651063	Galerida theklae	AM1_20230514_073000.WAV
53	36.582424	36.866743	Unk	AM1_20230514_073000.WAV
54	38.55112	39.072372	Unk	AM1_20230514_073000.WAV
55	39.860712	40.5112	Unk	AM1_20230514_073000.WAV
56	55.448571	57.247272	Unk	AM1_20230514_073000.WAV
57	57.363584	57.738369	Unk	AM1_20230514_073000.WAV
58	3.565714	5.001436	Unk	AM1_20230514_080000.WAV
