	start	end	specie	file
0	0.214286	11.048571	Unk	AM16_20230530_060000.WAV
1	0.582857	60.0	Cisticola juncidis	AM16_20230530_060000.WAV
2	12.942857	23.46	Unk	AM16_20230530_060000.WAV
3	24.017143	28.165714	Coturnix coturnix	AM16_20230530_060000.WAV
4	26.117143	32.357143	Unk	AM16_20230530_060000.WAV
5	34.491429	42.497143	Unk	AM16_20230530_060000.WAV
6	54.36	58.405714	Coturnix coturnix	AM16_20230530_060000.WAV
7	0.116312	59.93969	Cisticola juncidis	AM16_20230530_061000.WAV
8	40.726594	44.913843	Coturnix coturnix	AM16_20230530_061000.WAV
9	54.177023	54.977422	UnK	AM16_20230530_061000.WAV
10	0.155083	60.0	Cisticola juncidis	AM16_20230530_062000.WAV
11	2.584721	3.084434	Emberiza calandra	AM16_20230530_062000.WAV
12	5.410684	5.824239	Emberiza calandra	AM16_20230530_062000.WAV
13	10.907524	11.717404	Emberiza calandra	AM16_20230530_062000.WAV
14	16.524986	21.263642	Coturnix coturnix	AM16_20230530_062000.WAV
15	29.741528	30.861574	Unk	AM16_20230530_062000.WAV
16	34.273406	38.40896	Unk	AM16_20230530_062000.WAV
17	34.359563	35.462378	Alaudidae	AM16_20230530_062000.WAV
18	36.117174	42.940839	Coturnix coturnix	AM16_20230530_062000.WAV
19	44.913843	45.973578	Emberiza calandra	AM16_20230530_062000.WAV
20	45.094773	45.52556	Coturnix coturnix	AM16_20230530_062000.WAV
21	46.283745	47.869041	Alaudidae/Galeridae	AM16_20230530_062000.WAV
22	55.106261	55.79552	Coturnix coturnix	AM16_20230530_062000.WAV
23	55.881677	59.052269	Unk	AM16_20230530_062000.WAV
24	0.086157	7.711086	Cisticola juncidis	AM16_20230530_063000.WAV
25	0.214286	59.853532	Cisticola juncidis	AM16_20230530_063000.WAV
26	1.292361	3.584147	Coturnix coturnix	AM16_20230530_063000.WAV
27	0.0	0.116312	Emberiza calandra	AM16_20230530_064000.WAV
28	0.672028	15.129236	Cisticola juncidis	AM16_20230530_064000.WAV
29	1.219127	1.507754	Emberiza calandra	AM16_20230530_064000.WAV
30	2.584721	2.821654	Emberiza calandra	AM16_20230530_064000.WAV
31	6.134406	33.911545	Abiotic noise	AM16_20230530_064000.WAV
32	37.495692	59.276278	Cisticola juncidis	AM16_20230530_064000.WAV
33	4.342332	26.777714	Abiotic noise	AM16_20230530_065000.WAV
34	20.100517	20.514072	Emberiza calandra	AM16_20230530_065000.WAV
35	22.504308	32.153935	Cisticola juncidis	AM16_20230530_065000.WAV
36	28.983343	31.740379	Emberiza calandra	AM16_20230530_065000.WAV
37	33.609994	42.415279	Emberiza calandra	AM16_20230530_065000.WAV
38	49.859276	57.501436	Emberiza calandra	AM16_20230530_065000.WAV
39	0.0	4.342332	Cisticola juncidis	AM16_20230530_070000.WAV
40	0.887421	5.078978	Emberiza calandra	AM16_20230530_070000.WAV
41	2.614877	6.991671	Emberiza calandra	AM16_20230530_070000.WAV
42	7.405227	7.534463	Emberiza calandra	AM16_20230530_070000.WAV
43	8.34865	10.967835	Emberiza calandra	AM16_20230530_070000.WAV
44	12.647904	58.621482	Emberiza calandra	AM16_20230530_070000.WAV
45	19.213096	29.026422	Emberiza calandra	AM16_20230530_070000.WAV
46	31.283745	34.066628	Emberiza calandra	AM16_20230530_070000.WAV
47	48.058587	53.16772	Emberiza calandra	AM16_20230530_070000.WAV
48	56.028145	56.398621	Emberiza calandra	AM16_20230530_070000.WAV
49	0.52556	2.395175	Emberiza calandra	AM16_20230530_071000.WAV
50	0.628949	29.396898	Cisticola juncidis	AM16_20230530_071000.WAV
51	5.910396	11.048571	Emberiza calandra	AM16_20230530_071000.WAV
52	12.053418	12.725445	Emberiza calandra	AM16_20230530_071000.WAV
53	15.189546	15.456634	Emberiza calandra	AM16_20230530_071000.WAV
54	17.464101	18.609994	Emberiza calandra	AM16_20230530_071000.WAV
55	22.866169	23.417576	Emberiza calandra	AM16_20230530_071000.WAV
56	24.485928	26.407237	Emberiza calandra	AM16_20230530_071000.WAV
57	29.612292	32.265939	Emberiza calandra	AM16_20230530_071000.WAV
58	33.489374	45.292935	Cisticola juncidis	AM16_20230530_071000.WAV
59	37.840322	40.364733	Emberiza calandra	AM16_20230530_071000.WAV
60	43.630098	45.749569	Emberiza calandra	AM16_20230530_071000.WAV
61	46.542217	55.201034	Emberiza calandra	AM16_20230530_071000.WAV
62	55.761057	60.0	Emberiza calandra	AM16_20230530_071000.WAV
63	0.021539	1.904078	Melanocorypha calandra	AM16_20230530_072000.WAV
64	0.995118	1.748995	Emberiza calandra	AM16_20230530_072000.WAV
65	1.787766	1.929925	Cisticola juncidis	AM16_20230530_072000.WAV
66	2.153935	4.454337	Emberiza calandra	AM16_20230530_072000.WAV
67	4.786043	12.497128	Cisticola juncidis	AM16_20230530_072000.WAV
