	start	end	specie	file
0	0.467143	1.461429	Unk	AM1_20230512_060000.WAV
1	3.008571	4.05	Unk	AM1_20230512_060000.WAV
2	5.494286	7.118571	Unk	AM1_20230512_060000.WAV
3	7.675714	9.047143	Galerida theklae	AM1_20230512_060000.WAV
4	9.111429	9.96	Unk	AM1_20230512_060000.WAV
5	11.884286	12.222857	Unk	AM1_20230512_060000.WAV
6	13.525714	14.76	Galerida theklae	AM1_20230512_060000.WAV
7	15.338571	15.998571	Galerida theklae	AM1_20230512_060000.WAV
8	17.691429	19.684286	Galerida theklae	AM1_20230512_060000.WAV
9	19.71	20.965714	Unk	AM1_20230512_060000.WAV
10	21.788571	22.225714	Galerida theklae	AM1_20230512_060000.WAV
11	22.688571	26.035714	Galerida theklae	AM1_20230512_060000.WAV
12	22.688571	24.342857		AM1_20230512_060000.WAV
13	28.234286	29.897143	Unk	AM1_20230512_060000.WAV
14	30.424286	33.985714	Galerida theklae	AM1_20230512_060000.WAV
15	33.985714	34.842857	Sylviidae	AM1_20230512_060000.WAV
16	35.288571	37.221429	Unk	AM1_20230512_060000.WAV
17	37.29	37.834286	Galerida theklae	AM1_20230512_060000.WAV
18	37.954286	44.121429	Galerida theklae	AM1_20230512_060000.WAV
19	44.232857	45.398571	Unk	AM1_20230512_060000.WAV
20	45.462857	46.577143	Galerida theklae	AM1_20230512_060000.WAV
21	47.318571	49.29	Galerida theklae	AM1_20230512_060000.WAV
22	49.337143	52.375714	Unk	AM1_20230512_060000.WAV
23	55.028571	57.124286	Galerida theklae	AM1_20230512_060000.WAV
24	57.377143	59.352857	Unk	AM1_20230512_060000.WAV
25	59.575714	60.0	Galerida theklae	AM1_20230512_060000.WAV
26	7.512924	8.008329	Unk	AM1_20230512_063000.WAV
27	17.472717	17.744113	Galerida theklae	AM1_20230512_063000.WAV
28	17.782883	18.29552	Unk	AM1_20230512_063000.WAV
29	19.684286	20.139288	Unk	AM1_20230512_063000.WAV
30	23.327111	23.981907	Unk	AM1_20230512_063000.WAV
31	25.528432	25.610281	Unk	AM1_20230512_063000.WAV
32	41.618323	42.600517	Unk	AM1_20230512_063000.WAV
33	43.548248	44.284894	Unk	AM1_20230512_063000.WAV
34	46.748995	47.494256	Curruca melanocephala	AM1_20230512_063000.WAV
35	57.161114	57.81591	Curruca melanocephala	AM1_20230512_063000.WAV
36	58.410396	58.496554	Unk	AM1_20230512_063000.WAV
37	9.96	11.161689	Unk	AM1_20230512_070000.WAV
38	13.156232	13.233774	Unk	AM1_20230512_070000.WAV
39	23.908673	24.740092	Galerida theklae	AM1_20230512_070000.WAV
40	26.035714	28.354394	Turdus merula	AM1_20230512_070000.WAV
41	28.858415	30.086157	Galerida theklae	AM1_20230512_070000.WAV
42	34.368179	35.423607	Galerida theklae	AM1_20230512_070000.WAV
43	39.468696	40.601666	Galerida theklae	AM1_20230512_070000.WAV
