	start	end	specie	file
0	34.066628	34.497415	Curruca melanocephala	AM4_20230530_091000.WAV
1	4.066628	4.846353	CURMEL/CURUND	AM4_20230530_092000.WAV
2	12.092188	12.449742	Galerida theklae	AM4_20230530_092000.WAV
3	13.169156	14.065192	Galerida theklae	AM4_20230530_092000.WAV
4	22.142447	23.016944	Galerida theklae	AM4_20230530_092000.WAV
5	30.676335	31.499138	Unk	AM4_20230530_092000.WAV
6	32.36502	33.493682	Unk	AM4_20230530_092000.WAV
7	33.946008	37.172602	Galerida theklae	AM4_20230530_092000.WAV
8	37.202757	37.362148	Curruca melanocephala	AM4_20230530_092000.WAV
9	37.887708	38.732051	Carduelis carduelis	AM4_20230530_092000.WAV
10	41.558013	42.298966	Chloris chloris	AM4_20230530_092000.WAV
11	42.423894	43.440551	Unk	AM4_20230530_092000.WAV
12	45.318782	46.064044	Chloris chloris	AM4_20230530_092000.WAV
13	46.473291	47.050546	Galerida theklae	AM4_20230530_092000.WAV
14	47.636416	48.485066	Chloris chloris	AM4_20230530_092000.WAV
15	48.515221	49.049397	Galerida theklae	AM4_20230530_092000.WAV
16	49.73004	50.376221	Abiotic noise	AM4_20230530_092000.WAV
17	49.755887	50.259908	Chloris chloris	AM4_20230530_092000.WAV
18	50.216829	52.250144	Galerida theklae	AM4_20230530_092000.WAV
19	52.857553	53.822516	Galerida theklae	AM4_20230530_092000.WAV
20	56.76479	57.479897	Chloris chloris	AM4_20230530_092000.WAV
21	58.531017	58.647329	Unk	AM4_20230530_092000.WAV
22	59.056577	59.982769	Chloris chloris	AM4_20230530_092000.WAV
23	3.713383	4.643883	Unk	AM4_20230530_093000.WAV
24	5.531304	6.375646	Curruca melanocephala	AM4_20230530_093000.WAV
25	7.857553	8.805284	Unk	AM4_20230530_093000.WAV
26	9.382539	9.589316	Unk	AM4_20230530_093000.WAV
27	11.506318	12.927915	Galerida theklae	AM4_20230530_093000.WAV
28	13.104538	13.901493	Unk	AM4_20230530_093000.WAV
29	18.890006	19.424182	Tringa ochropus	AM4_20230530_093000.WAV
30	32.761344	32.838886	Passer sp	AM4_20230530_093000.WAV
31	33.747846	37.70247	Curruca melanocephala	AM4_20230530_093000.WAV
32	34.290638	37.452613	abiotic noise	AM4_20230530_093000.WAV
33	40.627513	41.648478	Galerida theklae	AM4_20230530_093000.WAV
34	54.429925	59.982769	abiotic noise	AM4_20230530_093000.WAV
35	54.882252	55.050258	Unk	AM4_20230530_093000.WAV
36	56.17892	57.643596	Galerida theklae	AM4_20230530_093000.WAV
37	9.529006	11.355543	Unk	AM4_20230530_094000.WAV
38	14.203044	14.582137	Chloris chloris	AM4_20230530_094000.WAV
39	26.196152	26.915566	Wader	AM4_20230530_094000.WAV
40	35.027283	35.350373	Chloris chloris	AM4_20230530_094000.WAV
41	38.08587	38.951752	Curruca undata	AM4_20230530_094000.WAV
42	39.787478	39.998564	Curruca undata	AM4_20230530_094000.WAV
43	43.785181	44.078116	Curruca undata	AM4_20230530_094000.WAV
44	45.659104	46.184664	Curruca undata	AM4_20230530_094000.WAV
45	46.520678	46.92131	Chloris chloris	AM4_20230530_094000.WAV
46	49.755887	50.13498	Curruca undata	AM4_20230530_094000.WAV
47	53.930213	54.214532	Curruca undata	AM4_20230530_094000.WAV
48	54.585009	55.907524	Curruca melanocephala	AM4_20230530_094000.WAV
49	56.902642	57.910684	Galerida theklae	AM4_20230530_094000.WAV
50	58.048535	58.285468	Curruca undata	AM4_20230530_094000.WAV
