	start	end	specie	file
0	0.0	2.134549	Carduelis carduelis	AM4_20230601_060000.WAV
1	2.134549	2.920735	Chloris chloris	AM4_20230601_060000.WAV
2	2.75919	3.27398	Unk	AM4_20230601_060000.WAV
3	3.27398	4.448571	Unk	AM4_20230601_060000.WAV
4	4.448571	4.902857	Luscinia megarhynchos	AM4_20230601_060000.WAV
5	4.755887	5.249138	Unk	AM4_20230601_060000.WAV
6	5.298679	5.785468	Unk	AM4_20230601_060000.WAV
7	5.593768	5.84147	Unk	AM4_20230601_060000.WAV
8	5.7	6.745714	Luscinia megarhynchos	AM4_20230601_060000.WAV
9	6.612579	6.840896	Unk	AM4_20230601_060000.WAV
10	6.636272	9.99641	Unk	AM4_20230601_060000.WAV
11	8.225876	8.464963	Unk	AM4_20230601_060000.WAV
12	9.99641	11.222124	Luscinia megarhynchos	AM4_20230601_060000.WAV
13	10.918294	11.002298	Unk	AM4_20230601_060000.WAV
14	11.88	12.642857	Chloris chloris	AM4_20230601_060000.WAV
15	12.604825	12.699598	Unk	AM4_20230601_060000.WAV
16	12.642857	13.014072	Unk	AM4_20230601_060000.WAV
17	12.968571	13.362857	Coturnix coturnix	AM4_20230601_060000.WAV
18	13.534286	13.62	Luscinia megarhynchos	AM4_20230601_060000.WAV
19	13.765796	13.996267	Turdus merula	AM4_20230601_060000.WAV
20	13.996267	15.734492	Unk	AM4_20230601_060000.WAV
21	15.187392	15.286473	Unk	AM4_20230601_060000.WAV
22	15.734492	16.139431	Curruca melanocephala	AM4_20230601_060000.WAV
23	16.139431	17.091429	Unk	AM4_20230601_060000.WAV
24	16.180356	16.257898	Unk	AM4_20230601_060000.WAV
25	17.091429	17.185714	Luscinia megarhynchos	AM4_20230601_060000.WAV
26	17.708571	18.582857	Luscinia megarhynchos	AM4_20230601_060000.WAV
27	18.334291	18.409678	Unk	AM4_20230601_060000.WAV
28	19.060167	19.667576	Unk	AM4_20230601_060000.WAV
29	19.667576	20.774698	Luscinia megarhynchos	AM4_20230601_060000.WAV
30	20.292217	20.744543	Unk	AM4_20230601_060000.WAV
31	20.774698	21.557143	Unk	AM4_20230601_060000.WAV
32	20.79193	20.886703	Unk	AM4_20230601_060000.WAV
33	21.557143	22.868571	Luscinia megarhynchos	AM4_20230601_060000.WAV
34	22.84463	22.926479	Unk	AM4_20230601_060000.WAV
35	22.868571	23.588571	Unk	AM4_20230601_060000.WAV
36	23.588571	24.094286	Luscinia megarhynchos	AM4_20230601_060000.WAV
37	23.818208	23.902211	Unk	AM4_20230601_060000.WAV
38	24.094286	24.78	Unk	AM4_20230601_060000.WAV
39	24.78	25.688571	Luscinia megarhynchos	AM4_20230601_060000.WAV
40	25.62	26.014286	Curruca melanocephala	AM4_20230601_060000.WAV
41	26.014286	26.663555	Unk	AM4_20230601_060000.WAV
42	26.346927	26.43093	Unk	AM4_20230601_060000.WAV
43	26.663555	27.236502	Unk	AM4_20230601_060000.WAV
44	27.247272	28.067921	Unk	AM4_20230601_060000.WAV
45	27.51436	28.421166	Unk	AM4_20230601_060000.WAV
46	28.165714	29.125714	Luscinia megarhynchos	AM4_20230601_060000.WAV
47	29.854286	30.197143	Coturnix coturnix	AM4_20230601_060000.WAV
48	30.641872	30.98004	Unk	AM4_20230601_060000.WAV
49	30.652642	31.886847	Carduelis carduelis	AM4_20230601_060000.WAV
50	31.012349	31.169586	Coturnix coturnix	AM4_20230601_060000.WAV
51	31.886847	32.854286	Unk	AM4_20230601_060000.WAV
52	32.854286	33.394286	Luscinia megarhynchos	AM4_20230601_060000.WAV
53	33.394286	34.637421	Unk	AM4_20230601_060000.WAV
54	34.628571	35.271429	Luscinia megarhynchos	AM4_20230601_060000.WAV
55	35.038053	35.130672	Unk	AM4_20230601_060000.WAV
56	35.391298	35.475302	Unk	AM4_20230601_060000.WAV
57	35.647616	35.740235	Unk	AM4_20230601_060000.WAV
58	35.895319	36.901206	Luscinia megarhynchos	AM4_20230601_060000.WAV
59	36.659966	36.765508	Unk	AM4_20230601_060000.WAV
60	36.901206	40.463814	Unk	AM4_20230601_060000.WAV
61	37.988943	38.09664	Unk	AM4_20230601_060000.WAV
62	39.302843	39.376077	Unk	AM4_20230601_060000.WAV
63	40.360425	40.442275	Unk	AM4_20230601_060000.WAV
64	40.463814	41.43093	Luscinia megarhynchos	AM4_20230601_060000.WAV
65	40.463814	41.43093	Unk	AM4_20230601_060000.WAV
66	40.720132	40.821367	Unk	AM4_20230601_060000.WAV
67	40.821367	42.291429	Luscinia megarhynchos	AM4_20230601_060000.WAV
68	41.329696	41.411545	Unk	AM4_20230601_060000.WAV
69	42.497128	42.589747	Unk	AM4_20230601_060000.WAV
70	43.01838	44.53475	Chloris chloris	AM4_20230601_060000.WAV
71	43.774411	43.860569	Unk	AM4_20230601_060000.WAV
72	44.853532	46.44529	Luscinia megarhynchos	AM4_20230601_060000.WAV
73	45.284319	45.372631	Unk	AM4_20230601_060000.WAV
74	45.651429	46.071429	Luscinia megarhynchos	AM4_20230601_060000.WAV
75	46.44529	47.718265	Unk	AM4_20230601_060000.WAV
76	47.013929	47.115164	Unk	AM4_20230601_060000.WAV
77	47.718265	47.793653	Merops apiaster	AM4_20230601_060000.WAV
78	47.810885	48.069357	Luscinia megarhynchos	AM4_20230601_060000.WAV
79	48.069357	49.238943	Unk	AM4_20230601_060000.WAV
80	48.508759	48.599225	Unk	AM4_20230601_060000.WAV
81	49.238943	49.982051	Chloris chloris	AM4_20230601_060000.WAV
82	49.602857	50.888571	Luscinia megarhynchos	AM4_20230601_060000.WAV
83	50.305141	50.389144	Unk	AM4_20230601_060000.WAV
84	50.511429	51.445714	Cettia cetti	AM4_20230601_060000.WAV
85	51.445714	53.919443	Unk	AM4_20230601_060000.WAV
86	51.922746	52.008903	Unk	AM4_20230601_060000.WAV
87	53.93452	54.255457	Unk	AM4_20230601_060000.WAV
88	54.050833	55.765365	Luscinia megarhynchos	AM4_20230601_060000.WAV
89	54.658242	54.731476	Unk	AM4_20230601_060000.WAV
90	55.765365	56.934951	Luscinia megarhynchos	AM4_20230601_060000.WAV
91	56.934951	58.492246	Unk	AM4_20230601_060000.WAV
92	58.492246	58.815336	Unk	AM4_20230601_060000.WAV
93	58.93811	59.836301	Luscinia megarhynchos	AM4_20230601_060000.WAV
94	0.0	1.180356	Chloris chloris	AM4_20230601_061000.WAV
95	0.366169	0.495405	Unk	AM4_20230601_061000.WAV
