Species,Specie_Name
abiotic noise,abiotic noise
actitic hypoleucus,actitis hypoleucos
actitis hypoleucos,actitis hypoleucos
actitis hypoleucus,actitis hypoleucos
acuatica,bird
acuática,bird
alauda arvensis,alauda arvensis
alaudidae,alaudidae
alaudidae?,alaudidae
alectoris rufa,alectoris rufa
anas plathyrynchos,anas platyrhynchos
anas platyrhynchos,anas platyrhynchos
anthus pratensis,anthus pratensis
anthus pratensis?,anthus pratensis
arthropoda,insect
athene noctua,athene noctua
athene nocua,athene noctua
bisbita pratensis?,bird
burhinus oedicnemus,burhinus oedicnemus
c,unknown
calandrella brachydactyla,calandrella brachydactyla
calandrella brachydactyla?,bird
campana?,unknown
carduelis carduelis,carduelis carduelis
carduelis carduelis?,bird
carduelsi carduelis?,bird
certhia brachydactyla,certhia brachydactyla
cettia cetti,cettia cetti
chicharra,insect
chloris chloris,chloris chloris
ciconia ciconia,ciconia ciconia
cisticola juncidis,cisticola juncidis
coturnix coturnix,coturnix coturnix
curmel/curund,curruca
curruca conspicillata,curruca
curruca melanocephala,curruca
curruca melanocephala?,bird
curruca undata,curruca
curund/,curruca
cyanistes caeruleus,cyanistes caeruleus
cyanopica ,cyanopica cooki
emberiza calanddra?,bird
emberiza calandra,emberiza calandra
emberiza calandra?,bird
eritahcus rubecula,erithacus rubecula
erithacus rubecola,erithacus rubecula
erithacus rubecula,erithacus rubecula
falco naumanni/tinnunculus?,bird
falco tinnunculus,falco tinnunculus
falcus tinnunculus,falco tinnunculus
fringillidae,fringilla
fulica atra,fulica atra
galerida cristata,galerida
galerida cristata?,bird
galerida sp,galerida
galerida theklae,galerida
galerida theklae?,bird
galeridae?,bird
gallus gallus,gallus gallus
garrulus glandarius,garrulus glandarius
golpe,abiotic noise
gorrion,passer
gorrion ?,bird
gorrion comun,passer
haematopus ostralegus,haematopus ostralegus
hieraaetus pennatus,hieraaetus pennatus
hirundo rustica,hirundo rustica
lanius meridionalis,lanius
lanius meridionalis?,bird
lanius senator,lanius
lanmer/lansen,lanius
lanmer/lanser,lanius
linaria cannabina,linaria cannabina
linaria cannabina?,bird
lullula arborea,lullula arborea
luscinia megarhynchos,luscinia megarhynchos
luscinia megarhynchos ,luscinia megarhynchos
melanocorypha calandra,melanocorypha calandra
melanocorypha calandra/alaudala rufescens/calandrella brachydactyla?,bird
melanocorypha calandra?,bird
melanocrypha calandra,melanocorypha calandra
merops apiaster,merops apiaster
milvus milvus,milvus milvus
motacilla alba,motacilla
motacilla alba?,bird
motacilla flava,motacilla
motacilla flava?,bird
paridae,paridae
parus major,parus major
parus major?,bird
parus major? periparus ater?,bird
passer domesticus,passer
passer hispaniolensis?,bird
passer sp,passer
passerus domesticus,passer
phylloscopus collybita,phylloscopus collybita
phylloscopus spp?,bird
pica pica,pica pica
regulus ignicapilla,regulus ignicapilla
riparia riparia?,bird
saxicola rubicola,saxicola rubicola
saxicola rubicola?,bird
saxicola rubicola? phoenicurus ochruros? ,bird
saxola/cisjun,bird
serinus serinus,serinus serinus
serinus serinus?,bird
spinus spinus?,bird
streptopelia decaocto,streptopelia decaocto
streptotelia decaocto,streptopelia decaocto
sturnidae,sturnus
sturnus un/vul,sturnus
sturnus un/vulg,sturnus
sturnus un/vulg?,bird
sturnus un/vulgaris,sturnus
sturnus uni/vul,sturnus
sturnus uni/vul?,bird
sturnus uni/vulg,sturnus
sturnus vulg,sturnus
sylviidae,sylvia
tringa glareola,tringa
tringa nebularia,tringa
tringa ochropus,tringa
tringa ochropus?,bird
tringa stagnatilis,tringa
troglodytes troglodytes,troglodytes troglodytes
turdus merula,turdus merula
turdus merula/sturnus un/vulg,bird
ukn,unknown
unk,unknown
unk  - alaudido,bird
unk - abiotic noise?,unknown
unk - acuática,bird
unk - acuática? córvido?,bird
unk - alaudido,bird
unk - alaudido?,bird
unk - anthus pratensis,bird
unk - bat?,unknown
unk - calandrella brachydactyla?,bird
unk - cettia cetti?,bird
unk - chloris chloris,bird
unk - cow?,unknown
unk - galerida theklae,bird
unk - galerida theklae?,bird
unk - limicola,bird
unk - limicola?,bird
unk - limícola?,bird
unk - melanocorypha calandra?,bird
unk - motacilla alba?,bird
unk - motacilla flava?,bird
unk - passerine calls?,bird
unk - phylloscopus or is it sturnus un/vulg?,bird
unk - rapaz? caballo?,unknown
unk - sturnus uni/vul
unk - vaca,unknown
unk - vuelo de algo?,unknown
unk - waterbird,bird
unk - waterbird?,bird
unk acuatica?,bird
unk?,unknown
unknown,unknown
wader,bird
waterbird,bird
waterbird?,bird
waterbirds?,bird
xx,unknown
"",unknown
